signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
short__close_location_bin__high__top_parent_loop__cycle_07__66912ebf6f,SHORT,pairwise,2,75,63,20,52.5068779445,0.0320858895706,1,1,-0.3,False,False,"[""fdr_not_passed"",""insufficient_rows""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""loop"",""feature"":""top_parent_loop"",""operator"":""=="",""value"":""cycle_07""}]"
short__close_location_bin__high__universe_breadth_bin__mixed__e16a27fa6c,SHORT,pairwise,2,808,99,20,11.2140224123,0.0387525562372,0.303227552787,0.999955450325,-0.3,True,False,"[""fdr_not_passed""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""mixed""}]"
short__close_location_bin__high__universe_breadth_bin__weak__f601871306,SHORT,pairwise,2,959,138,20,-1.87920944961,0.0371884269359,0.553794914139,0.999955450325,-0.3,False,False,"[""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""high""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""weak""}]"
short__close_location_bin__low__0d1e2f430c,SHORT,univariate,1,3500,252,20,-10.0464105087,0.00189541338008,0.97087143861,0.999955450325,-0.15,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""}]"
short__close_location_bin__low__compatibility_entropy_bin__diffuse__decision_clock__clock_36__8d4e981da8,SHORT,three_condition,3,4,4,4,-146.776466885,-0.461247443763,1,1,-1.49695251165,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""diffuse""},{""family"":""clock"",""feature"":""decision_clock"",""operator"":""=="",""value"":""clock_36""}]"
short__close_location_bin__low__decision_clock__clock_36__f3708c34ae,SHORT,pairwise,2,1748,243,20,0.112763020698,-0.0024373751129,0.605186005678,0.999955450325,-0.3,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""clock"",""feature"":""decision_clock"",""operator"":""=="",""value"":""clock_36""}]"
short__close_location_bin__low__departure_probability_bin__high__return_12_bin__zero_to_plus_one__c3d1000789,SHORT,three_condition,3,164,114,20,-0.188537090667,0.0326549952616,0.794963070435,0.999955450325,-0.45,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""structural_state"",""feature"":""departure_probability_bin"",""operator"":""=="",""value"":""high""},{""family"":""price_displacement"",""feature"":""return_12_bin"",""operator"":""=="",""value"":""zero_to_plus_one""}]"
short__close_location_bin__low__historical_activity_bin__middle__31652be9a8,SHORT,pairwise,2,1344,237,20,-3.42574783478,0.00601446099912,0.897675722596,0.999955450325,-0.3,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""liquidity_cost"",""feature"":""historical_activity_bin"",""operator"":""=="",""value"":""middle""}]"
short__close_location_bin__low__historical_activity_bin__middle__state_motif_2__1gt3__00743a402d,SHORT,three_condition,3,104,69,20,16.0570876187,0.0195217870064,0.387347281072,0.999955450325,0.241861202955,True,False,"[""fdr_not_passed""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""liquidity_cost"",""feature"":""historical_activity_bin"",""operator"":""=="",""value"":""middle""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""1>3""}]"
short__close_location_bin__low__prior_completed_dwell_bin__1_2__ea8ec47f65,SHORT,pairwise,2,1596,249,20,-11.0386102966,-0.0163852883743,0.983062932297,0.999955450325,-0.397254511297,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""structural_state"",""feature"":""prior_completed_dwell_bin"",""operator"":""=="",""value"":""1_2""}]"
short__close_location_bin__low__prior_completed_dwell_bin__missing__5bb4512249,SHORT,pairwise,2,304,155,20,-20.0580538256,0.0321736088688,0.773544060971,0.999955450325,-0.30945135077,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""structural_state"",""feature"":""prior_completed_dwell_bin"",""operator"":""=="",""value"":""missing""}]"
short__close_location_bin__low__prior_completed_dwell_bin__missing__state_motif_2__3gt1__904166ed5c,SHORT,three_condition,3,0,0,0,,,1,1,,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""zero_discovery_support""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""structural_state"",""feature"":""prior_completed_dwell_bin"",""operator"":""=="",""value"":""missing""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""3>1""}]"
short__close_location_bin__low__state_age_bin__2_3__state_motif_2__3gt4__c89b21e887,SHORT,three_condition,3,43,35,17,26.7870444159,0.050380463214,1,1,-0.11652445798,False,False,"[""fdr_not_passed"",""insufficient_rows""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""structural_state"",""feature"":""state_age_bin"",""operator"":""=="",""value"":""2_3""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""3>4""}]"
short__close_location_bin__low__state_motif_2__3gt4__389fbdb21d,SHORT,pairwise,2,106,77,20,5.31585639966,-0.0178512173477,0.652176375729,0.999955450325,-0.311623644712,False,False,"[""fdr_not_passed"",""non_positive_discovery_lift""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""3>4""}]"
short__close_location_bin__low__state_motif_2__7gt5__ffe8aef3c4,SHORT,pairwise,2,66,53,16,5.85905971654,0.0387525562372,1,1,-0.3,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""7>5""}]"
short__close_location_bin__low__state_motif_3__4gt2gt1__d80586a1fb,SHORT,pairwise,2,5,5,4,-32.2653733125,-0.261247443763,1,1,-0.618666240256,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""4>2>1""}]"
short__close_location_bin__low__stock_vs_market_return_bin__minus_one_to_zero__512f8b1ed4,SHORT,pairwise,2,1037,240,20,-10.0731154789,-0.00994561155449,0.88863760561,0.999955450325,-0.304309367315,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""low""},{""family"":""cross_sectional"",""feature"":""stock_vs_market_return_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
short__close_location_bin__middle__5a9659c936,SHORT,univariate,1,2758,250,20,-13.7025397522,-0.00983337559744,0.959904813111,0.999955450325,-0.159119779455,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""}]"
short__close_location_bin__middle__departure_probability_bin__high__realised_volatility_bin__middle__22dfa444d9,SHORT,three_condition,3,273,159,20,-16.1807102753,-0.0326760151914,0.915653783509,0.999955450325,-0.455679902919,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""structural_state"",""feature"":""departure_probability_bin"",""operator"":""=="",""value"":""high""},{""family"":""range"",""feature"":""realised_volatility_bin"",""operator"":""=="",""value"":""middle""}]"
short__close_location_bin__middle__historical_activity_bin__high__previous_state__6.0__6328fe4b89,SHORT,three_condition,3,78,69,19,-75.6151929067,-0.0125294950448,1,1,-0.508793456033,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""liquidity_cost"",""feature"":""historical_activity_bin"",""operator"":""=="",""value"":""high""},{""family"":""structural_state"",""feature"":""previous_state"",""operator"":""=="",""value"":6.0}]"
short__close_location_bin__middle__realised_volatility_bin__middle__3c0c880aa8,SHORT,pairwise,2,658,219,20,-5.65324902273,-0.00684014892995,0.704434864125,0.999955450325,-0.3,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""range"",""feature"":""realised_volatility_bin"",""operator"":""=="",""value"":""middle""}]"
short__close_location_bin__middle__return_12_bin__zero_to_plus_one__return_6_cross_sectional_rank_bin__middle_60__d4e8a4ff66,SHORT,three_condition,3,357,183,20,-5.66914200916,0.000937430186799,0.530290966889,0.999955450325,-0.451370486845,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""price_displacement"",""feature"":""return_12_bin"",""operator"":""=="",""value"":""zero_to_plus_one""},{""family"":""cross_sectional"",""feature"":""return_6_cross_sectional_rank_bin"",""operator"":""=="",""value"":""middle_60""}]"
short__close_location_bin__middle__state_motif_2__1gt0__b93a5eedd1,SHORT,pairwise,2,83,65,12,-17.6236868119,-0.0757052750881,1,1,-0.352769359647,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""1>0""}]"
short__close_location_bin__middle__state_motif_3__1gt2gt1__ffeb1a97d6,SHORT,pairwise,2,36,34,13,-17.8368483734,-0.0723585548739,1,1,-0.331015678255,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""1>2>1""}]"
short__close_location_bin__middle__state_motif_3__4gt1gt3__3781ab51dc,SHORT,pairwise,2,33,30,19,38.7592455465,0.144813162298,1,1,-0.0532420132955,False,False,"[""fdr_not_passed"",""insufficient_rows""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""4>1>3""}]"
short__close_location_bin__middle__state_motif_3__6gt4gt3__9ac17e8bec,SHORT,pairwise,2,26,21,14,3.70178032147,-0.0766320591474,1,1,-0.350581466526,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_lift""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""6>4>3""}]"
short__close_location_bin__middle__top_parent_loop__cycle_06__ac7f6a3cd8,SHORT,pairwise,2,49,38,16,-26.7530475621,0.00814031133926,1,1,-0.368997537665,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""close_location_bin"",""operator"":""=="",""value"":""middle""},{""family"":""loop"",""feature"":""top_parent_loop"",""operator"":""=="",""value"":""cycle_06""}]"
short__compatibility_entropy_bin__concentrated__3dccd78e7d,SHORT,univariate,1,466,202,20,-13.2436153322,-0.00201997595162,0.834791700281,0.999955450325,-0.196055572497,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""loop"",""feature"":""compatibility_entropy_bin"",""operator"":""=="",""value"":""concentrated""}]"
