signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
long__body_to_range_bin__small__prior_completed_dwell_bin__3_6__state_motif_3__1gt2gt1__18dbaff26b,LONG,three_condition,3,5,4,4,-35.6688808118,-0.0412065439673,1,1,-1.2048585232,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""small""},{""family"":""structural_state"",""feature"":""prior_completed_dwell_bin"",""operator"":""=="",""value"":""3_6""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""1>2>1""}]"
long__body_to_range_bin__small__prior_completed_dwell_bin__3_6__state_motif_3__3gt1gt0__d99d9afdb5,LONG,three_condition,3,13,12,7,-5.7173858443,0.0203319175712,1,1,-0.564370655165,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_payoff"",""stock_concentration""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""small""},{""family"":""structural_state"",""feature"":""prior_completed_dwell_bin"",""operator"":""=="",""value"":""3_6""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""3>1>0""}]"
long__body_to_range_bin__small__range_to_cost_bin__high__return_6_bin__minus_one_to_zero__060eed67e4,LONG,three_condition,3,208,141,20,0.984368354536,0.0155242252635,0.675133090074,0.999955450325,-0.417628678505,False,False,"[""chronology_not_consistent"",""fdr_not_passed""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""small""},{""family"":""movement_permission"",""feature"":""range_to_cost_bin"",""operator"":""=="",""value"":""high""},{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""=="",""value"":""minus_one_to_zero""}]"
long__body_to_range_bin__small__realised_volatility_bin__middle__rolling_high_low_location_bin__low__f540b4d6d8,LONG,three_condition,3,254,145,20,-21.0517503092,0.0154863694185,0.992273051393,0.999955450325,-0.45,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""small""},{""family"":""range"",""feature"":""realised_volatility_bin"",""operator"":""=="",""value"":""middle""},{""family"":""price_location"",""feature"":""rolling_high_low_location_bin"",""operator"":""=="",""value"":""low""}]"
long__body_to_range_bin__small__state_motif_2__1gt3__universe_breadth_bin__strong__5e773736b4,LONG,three_condition,3,22,20,12,-1.32290675939,0.0133389105782,1,1,-0.45,False,False,"[""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""insufficient_sessions"",""non_positive_discovery_payoff""]","[{""family"":""bar_shape"",""feature"":""body_to_range_bin"",""operator"":""=="",""value"":""small""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""1>3""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""strong""}]"
long__clock_phase__middle__compatibility_mass_bin__low__return_1_bin__zero_to_plus_one__762e810469,LONG,three_condition,3,70,57,17,17.9596097437,-0.0126351153959,1,1,0.0475885162346,False,False,"[""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""middle""},{""family"":""loop"",""feature"":""compatibility_mass_bin"",""operator"":""=="",""value"":""low""},{""family"":""price_displacement"",""feature"":""return_1_bin"",""operator"":""=="",""value"":""zero_to_plus_one""}]"
long__clock_phase__middle__compatibility_mass_bin__low__wick_asymmetry_bin__lower_dominant__610df8cbcc,LONG,three_condition,3,70,58,19,-17.2478013186,-0.0126351153959,1,1,-0.45,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""middle""},{""family"":""loop"",""feature"":""compatibility_mass_bin"",""operator"":""=="",""value"":""low""},{""family"":""bar_shape"",""feature"":""wick_asymmetry_bin"",""operator"":""=="",""value"":""lower_dominant""}]"
long__clock_phase__middle__opening_range_position_bin__above_range__state_motif_2__0gt1__d13192e3b3,LONG,three_condition,3,40,37,11,-17.1781492035,-0.141206543967,1,1,-0.684460839264,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""middle""},{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""above_range""},{""family"":""state_history"",""feature"":""state_motif_2"",""operator"":""=="",""value"":""0>1""}]"
long__clock_phase__middle__prior_completed_dwell_bin__1_2__state_motif_3__1gt3gt1__b202a6be0d,LONG,three_condition,3,50,42,13,-15.9672442041,-0.00120654396728,1,1,-0.458154505397,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_rows"",""non_positive_discovery_lift"",""non_positive_discovery_payoff""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""middle""},{""family"":""structural_state"",""feature"":""prior_completed_dwell_bin"",""operator"":""=="",""value"":""1_2""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""1>3>1""}]"
long__clock_phase__middle__state_motif_3__4gt6gt4__wick_asymmetry_bin__upper_dominant__c940ba80d7,LONG,three_condition,3,3,2,3,-23.3709008992,-0.441206543967,1,1,-1.56208876018,False,False,"[""chronology_not_consistent"",""fdr_not_passed"",""insufficient_directional_outcomes"",""insufficient_months"",""insufficient_rows"",""insufficient_sessions"",""insufficient_stocks"",""non_positive_discovery_lift"",""non_positive_discovery_payoff"",""stock_concentration""]","[{""family"":""clock"",""feature"":""clock_phase"",""operator"":""=="",""value"":""middle""},{""family"":""state_history"",""feature"":""state_motif_3"",""operator"":""=="",""value"":""4>6>4""},{""family"":""bar_shape"",""feature"":""wick_asymmetry_bin"",""operator"":""=="",""value"":""upper_dominant""}]"
