model_id,period,rows,brier_long,brier_short,macro_brier,log_loss,ece_long,ece_short,calibration_slope_long,calibration_slope_short,directional_precision,directional_recall,false_direction_rate,auc_long,auc_short
always_neutral,2024,9780,0.441206543967,0.461247443763,0.451226993865,24.9357251911,0.441206543967,0.461247443763,0.0170124051467,0.0111832421751,,0,0,0.5,0.5
always_neutral,2025,9815,0.450636780438,0.455832908813,0.453234844626,25.0466831246,0.450636780438,0.455832908813,,,,0,0,0.5,0.5
always_neutral,2026,4501,0.471228615863,0.431237502777,0.45123305932,24.9360603806,0.471228615863,0.431237502777,,,,0,0,0.5,0.5
clock_only_base_rate,2024,9780,0.246538352951,0.248379853066,0.247459103009,0.944450571589,6.61516097283e-05,7.836680253e-05,0.0530639577504,1.00454986401,0.461247443763,0.511103557671,0.441206543967,0.502263005177,0.510946145057
clock_only_base_rate,2025,9815,0.247703151611,0.248215693212,0.247959422412,0.938917842444,0.00949472615521,0.00532806299428,0.0436943320384,0.026573481207,0.455832908813,0.502866134652,0.450636780438,0.489865723313,0.499083786603
clock_only_base_rate,2026,4501,0.250013400514,0.245829847443,0.247921623978,0.945732877979,0.0300765809907,0.0298747940369,6.82386280922,1.94588308013,0.431237502777,0.477843426883,0.471228615863,0.515383282026,0.521211883372
current_state_alone,2024,9780,0.245785230009,0.247801987559,0.246793608784,0.938715201449,0.000273863289398,0.000295696207636,1.00699885254,1.00200304569,0.471267893661,0.522207115341,0.43118609407,0.530312056392,0.528445428456
current_state_alone,2025,9815,0.247891612728,0.248793010716,0.248342311722,0.93402249607,0.0118096462149,0.0146373140799,0.34230255711,-0.0743567128434,0.450534895568,0.497021467911,0.455934793683,0.510399656738,0.49424710807
current_state_alone,2026,4501,0.250808857221,0.246937847631,0.248873352426,0.945401077599,0.0310754785282,0.0329508281572,0.0264056681801,-0.0118864962801,0.439013552544,0.486459871984,0.463452566096,0.502387885847,0.495107125032
current_state_plus_history,2024,9780,0.241596236834,0.243661962323,0.242629099579,0.924707109918,0.00929561734673,0.0117286956611,1.2336351423,1.19940822156,0.496572188683,0.549852707908,0.406237218814,0.572736692679,0.572081492536
current_state_plus_history,2025,9815,0.252185452261,0.252257395328,0.252221423794,0.95275809881,0.0421486701211,0.0357575275208,-0.0271134745813,-0.0253597198967,0.446736799101,0.491626390918,0.458685685176,0.500968287063,0.493898383278
current_state_plus_history,2026,4501,0.253432998938,0.248623046897,0.251028022917,0.957415952933,0.0514132134574,0.0474419960111,0.0665189637383,0.0634811559429,0.448176156584,0.496061053668,0.453899133526,0.504770423021,0.5101407538
directional_signature_atlas_v1,2024,9780,0.246543330622,0.248498240924,0.247520785773,0.944968232334,3.30797947362e-05,3.9225424848e-05,0.052890635931,0.0235775101761,,0,0,0.5,0.5
directional_signature_atlas_v1,2025,9815,0.247652826909,0.248078162009,0.247865494459,0.93915152408,0.00946331626556,0.00537530952489,0.0443471161844,0.0268875735358,,0,0,0.5,0.5
directional_signature_atlas_v1,2026,4501,0.250075519598,0.246169962767,0.248122741182,0.946282719895,0.0300551516906,0.0299707155608,,,,0,0,0.5,0.5
movement_permission_plus_momentum,2024,9780,0.452658486708,0.476993865031,0.464826175869,22.8987143297,0.452658486708,0.476993865031,0.000511026476712,-0.00495870941515,0.437441204139,0.105370496261,0.100920245399,0.500652418901,0.493087898547
movement_permission_plus_momentum,2025,9815,0.462557310239,0.467549668874,0.465053489557,22.9803388048,0.462557310239,0.467549668874,-0.000330582670854,-0.00202816099201,0.446146703807,0.108013937282,0.0984207845135,0.499531800656,0.497397851005
movement_permission_plus_momentum,2026,4501,0.482115085537,0.452566096423,0.46734059098,22.8181527411,0.482115085537,0.452566096423,-0.00227439392106,-0.0044294608254,0.432932469935,0.115214180207,0.108864696734,0.496478492387,0.493956481839
one_bar_momentum,2024,9780,0.496114519427,0.509100204499,0.502607361963,15.7112585302,0.496114519427,0.509100204499,-0.000191945331593,-0.00278065663858,0.446239435113,0.47258101065,0.436605316973,0.499343658529,0.490398325781
