period,decision_clock,state_motif_2,state_motif_3,state_motif_4,rows
2024,clock_12,0>1,1>0>1,0>1>0>1,3
2024,clock_12,0>1,1>0>1,2>1>0>1,1
2024,clock_12,0>1,1>0>1,3>1>0>1,1
2024,clock_12,0>1,1>0>1,4>1>0>1,1
2024,clock_12,0>1,1>0>1,6>1>0>1,1
2024,clock_12,0>1,2>0>1,4>2>0>1,1
2024,clock_12,0>1,3>0>1,0>3>0>1,1
2024,clock_12,0>1,3>0>1,1>3>0>1,1
2024,clock_12,0>1,3>0>1,4>3>0>1,1
2024,clock_12,0>1,3>0>1,6>3>0>1,3
2024,clock_12,0>1,4>0>1,0>4>0>1,1
2024,clock_12,0>1,4>0>1,6>4>0>1,1
2024,clock_12,0>1,4>0>1,,2
2024,clock_12,0>1,,,1
2024,clock_12,0>2,3>0>2,6>3>0>2,1
2024,clock_12,0>2,4>0>2,3>4>0>2,1
2024,clock_12,0>2,6>0>2,3>6>0>2,1
2024,clock_12,0>3,1>0>3,2>1>0>3,1
2024,clock_12,0>3,1>0>3,3>1>0>3,1
2024,clock_12,0>3,1>0>3,4>1>0>3,2
2024,clock_12,0>3,2>0>3,3>2>0>3,1
2024,clock_12,0>3,2>0>3,4>2>0>3,1
2024,clock_12,0>3,3>0>3,0>3>0>3,2
2024,clock_12,0>3,3>0>3,6>3>0>3,9
2024,clock_12,0>3,3>0>3,,1
2024,clock_12,0>3,4>0>3,0>4>0>3,1
2024,clock_12,0>3,4>0>3,3>4>0>3,1
2024,clock_12,0>3,4>0>3,,1
2024,clock_12,0>3,6>0>3,0>6>0>3,1
2024,clock_12,0>3,6>0>3,3>6>0>3,1
2024,clock_12,0>3,6>0>3,4>6>0>3,3
2024,clock_12,0>3,6>0>3,,1
2024,clock_12,0>3,,,2
2024,clock_12,0>4,1>0>4,3>1>0>4,2
2024,clock_12,0>4,1>0>4,4>1>0>4,1
2024,clock_12,0>4,2>0>4,4>2>0>4,1
2024,clock_12,0>4,2>0>4,6>2>0>4,1
2024,clock_12,0>4,3>0>4,4>3>0>4,3
2024,clock_12,0>4,3>0>4,6>3>0>4,2
2024,clock_12,0>4,3>0>4,,1
2024,clock_12,0>4,4>0>4,0>4>0>4,1
2024,clock_12,0>4,4>0>4,2>4>0>4,1
2024,clock_12,0>4,4>0>4,3>4>0>4,2
2024,clock_12,0>4,4>0>4,6>4>0>4,2
2024,clock_12,0>4,4>0>4,,4
2024,clock_12,0>4,6>0>4,,3
2024,clock_12,0>4,,,17
2024,clock_12,0>5,,,1
2024,clock_12,0>6,2>0>6,6>2>0>6,1
2024,clock_12,0>6,3>0>6,4>3>0>6,1
2024,clock_12,0>6,6>0>6,,1
2024,clock_12,0>6,,,10
2024,clock_12,1>0,0>1>0,1>0>1>0,1
2024,clock_12,1>0,0>1>0,3>0>1>0,2
2024,clock_12,1>0,0>1>0,4>0>1>0,1
2024,clock_12,1>0,0>1>0,,1
2024,clock_12,1>0,2>1>0,1>2>1>0,1
2024,clock_12,1>0,2>1>0,4>2>1>0,4
2024,clock_12,1>0,3>1>0,0>3>1>0,3
2024,clock_12,1>0,3>1>0,1>3>1>0,1
2024,clock_12,1>0,3>1>0,4>3>1>0,1
2024,clock_12,1>0,3>1>0,6>3>1>0,5
2024,clock_12,1>0,3>1>0,,2
2024,clock_12,1>0,4>1>0,0>4>1>0,1
2024,clock_12,1>0,4>1>0,1>4>1>0,1
2024,clock_12,1>0,4>1>0,3>4>1>0,1
2024,clock_12,1>0,4>1>0,6>4>1>0,3
2024,clock_12,1>0,4>1>0,,3
2024,clock_12,1>2,0>1>2,4>0>1>2,1
2024,clock_12,1>2,2>1>2,1>2>1>2,2
2024,clock_12,1>2,2>1>2,4>2>1>2,7
2024,clock_12,1>2,2>1>2,6>2>1>2,3
2024,clock_12,1>2,3>1>2,1>3>1>2,1
2024,clock_12,1>2,3>1>2,2>3>1>2,1
2024,clock_12,1>2,3>1>2,4>3>1>2,2
2024,clock_12,1>2,3>1>2,6>3>1>2,4
2024,clock_12,1>2,4>1>2,0>4>1>2,1
2024,clock_12,1>2,4>1>2,1>4>1>2,1
2024,clock_12,1>2,4>1>2,2>4>1>2,1
2024,clock_12,1>2,4>1>2,3>4>1>2,2
2024,clock_12,1>2,4>1>2,6>4>1>2,10
2024,clock_12,1>2,4>1>2,,7
2024,clock_12,1>2,6>1>2,4>6>1>2,3
2024,clock_12,1>2,6>1>2,,3
2024,clock_12,1>3,0>1>3,1>0>1>3,2
2024,clock_12,1>3,0>1>3,3>0>1>3,2
2024,clock_12,1>3,0>1>3,4>0>1>3,1
2024,clock_12,1>3,0>1>3,,1
2024,clock_12,1>3,2>1>3,0>2>1>3,1
2024,clock_12,1>3,2>1>3,1>2>1>3,5
2024,clock_12,1>3,2>1>3,3>2>1>3,1
2024,clock_12,1>3,2>1>3,4>2>1>3,9
2024,clock_12,1>3,2>1>3,6>2>1>3,5
2024,clock_12,1>3,3>1>3,0>3>1>3,4
2024,clock_12,1>3,3>1>3,1>3>1>3,7
2024,clock_12,1>3,3>1>3,2>3>1>3,3
2024,clock_12,1>3,3>1>3,4>3>1>3,11
2024,clock_12,1>3,3>1>3,6>3>1>3,18
2024,clock_12,1>3,3>1>3,,2
2024,clock_12,1>3,4>1>3,0>4>1>3,3
2024,clock_12,1>3,4>1>3,2>4>1>3,1
2024,clock_12,1>3,4>1>3,3>4>1>3,7
2024,clock_12,1>3,4>1>3,6>4>1>3,12
2024,clock_12,1>3,4>1>3,,10
2024,clock_12,1>3,5>1>3,,1
2024,clock_12,1>3,6>1>3,3>6>1>3,1
2024,clock_12,1>3,6>1>3,4>6>1>3,3
2024,clock_12,1>3,6>1>3,5>6>1>3,1
2024,clock_12,1>3,6>1>3,,4
2024,clock_12,1>4,0>1>4,2>0>1>4,1
2024,clock_12,1>4,0>1>4,,1
2024,clock_12,1>4,2>1>4,0>2>1>4,2
2024,clock_12,1>4,2>1>4,1>2>1>4,4
2024,clock_12,1>4,2>1>4,3>2>1>4,1
2024,clock_12,1>4,2>1>4,4>2>1>4,9
2024,clock_12,1>4,2>1>4,6>2>1>4,1
2024,clock_12,1>4,3>1>4,0>3>1>4,1
2024,clock_12,1>4,3>1>4,1>3>1>4,4
2024,clock_12,1>4,3>1>4,4>3>1>4,4
2024,clock_12,1>4,3>1>4,6>3>1>4,7
2024,clock_12,1>4,3>1>4,,1
2024,clock_12,1>4,4>1>4,0>4>1>4,2
2024,clock_12,1>4,4>1>4,1>4>1>4,4
2024,clock_12,1>4,4>1>4,2>4>1>4,1
2024,clock_12,1>4,4>1>4,3>4>1>4,2
2024,clock_12,1>4,4>1>4,5>4>1>4,1
2024,clock_12,1>4,4>1>4,6>4>1>4,7
2024,clock_12,1>4,4>1>4,,9
2024,clock_12,1>4,6>1>4,2>6>1>4,1
2024,clock_12,1>4,6>1>4,4>6>1>4,3
2024,clock_12,1>4,6>1>4,5>6>1>4,1
2024,clock_12,1>4,6>1>4,,7
2024,clock_12,1>6,2>1>6,4>2>1>6,1
2024,clock_12,1>6,4>1>6,,1
2024,clock_12,1>6,6>1>6,4>6>1>6,1
2024,clock_12,1>6,6>1>6,,2
2024,clock_12,2>0,1>2>0,2>1>2>0,2
2024,clock_12,2>0,1>2>0,3>1>2>0,4
2024,clock_12,2>0,1>2>0,4>1>2>0,2
2024,clock_12,2>0,4>2>0,1>4>2>0,1
2024,clock_12,2>0,4>2>0,2>4>2>0,1
2024,clock_12,2>0,4>2>0,6>4>2>0,3
2024,clock_12,2>0,4>2>0,,5
2024,clock_12,2>0,5>2>0,,1
2024,clock_12,2>0,6>2>0,4>6>2>0,1
2024,clock_12,2>0,6>2>0,,1
2024,clock_12,2>1,0>2>1,1>0>2>1,1
2024,clock_12,2>1,0>2>1,2>0>2>1,1
2024,clock_12,2>1,0>2>1,3>0>2>1,2
2024,clock_12,2>1,1>2>1,0>1>2>1,1
2024,clock_12,2>1,1>2>1,2>1>2>1,3
2024,clock_12,2>1,1>2>1,3>1>2>1,3
2024,clock_12,2>1,1>2>1,4>1>2>1,2
2024,clock_12,2>1,1>2>1,6>1>2>1,2
2024,clock_12,2>1,3>2>1,4>3>2>1,1
2024,clock_12,2>1,3>2>1,6>3>2>1,2
2024,clock_12,2>1,4>2>1,0>4>2>1,2
2024,clock_12,2>1,4>2>1,1>4>2>1,3
2024,clock_12,2>1,4>2>1,3>4>2>1,6
2024,clock_12,2>1,4>2>1,5>4>2>1,2
2024,clock_12,2>1,4>2>1,6>4>2>1,13
2024,clock_12,2>1,4>2>1,,4
2024,clock_12,2>1,6>2>1,2>6>2>1,1
2024,clock_12,2>1,6>2>1,4>6>2>1,3
2024,clock_12,2>1,6>2>1,5>6>2>1,1
2024,clock_12,2>1,6>2>1,,3
2024,clock_12,2>3,0>2>3,3>0>2>3,1
2024,clock_12,2>3,1>2>3,2>1>2>3,1
2024,clock_12,2>3,1>2>3,3>1>2>3,4
2024,clock_12,2>3,1>2>3,4>1>2>3,5
2024,clock_12,2>3,1>2>3,6>1>2>3,1
2024,clock_12,2>3,3>2>3,4>3>2>3,4
2024,clock_12,2>3,3>2>3,6>3>2>3,4
2024,clock_12,2>3,4>2>3,1>4>2>3,1
2024,clock_12,2>3,4>2>3,2>4>2>3,1
2024,clock_12,2>3,4>2>3,3>4>2>3,3
2024,clock_12,2>3,4>2>3,5>4>2>3,1
2024,clock_12,2>3,4>2>3,6>4>2>3,11
2024,clock_12,2>3,4>2>3,,10
2024,clock_12,2>3,5>2>3,4>5>2>3,1
2024,clock_12,2>3,5>2>3,6>5>2>3,1
2024,clock_12,2>3,6>2>3,2>6>2>3,1
2024,clock_12,2>3,6>2>3,4>6>2>3,5
2024,clock_12,2>3,6>2>3,,10
2024,clock_12,2>4,1>2>4,2>1>2>4,3
2024,clock_12,2>4,1>2>4,3>1>2>4,2
2024,clock_12,2>4,1>2>4,4>1>2>4,3
2024,clock_12,2>4,1>2>4,6>1>2>4,2
2024,clock_12,2>4,3>2>4,4>3>2>4,1
2024,clock_12,2>4,3>2>4,6>3>2>4,5
2024,clock_12,2>4,4>2>4,0>4>2>4,3
2024,clock_12,2>4,4>2>4,1>4>2>4,3
2024,clock_12,2>4,4>2>4,2>4>2>4,9
2024,clock_12,2>4,4>2>4,3>4>2>4,7
2024,clock_12,2>4,4>2>4,5>4>2>4,7
2024,clock_12,2>4,4>2>4,6>4>2>4,51
2024,clock_12,2>4,4>2>4,,46
2024,clock_12,2>4,5>2>4,4>5>2>4,2
2024,clock_12,2>4,5>2>4,6>5>2>4,2
