signature_id,direction,dimension,value,rows,total_net_bps,mean_net_bps
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-09-19|clock_36,1,111.583181495,111.583181495
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-09-26|clock_36,1,-4.05115931602,-4.05115931602
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-09-30|clock_12,1,-87.0077007701,-87.0077007701
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-03|clock_12,1,455.828991725,455.828991725
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-04|clock_36,1,126.068444576,126.068444576
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-07|clock_12,1,95.469842229,95.469842229
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-08|clock_36,1,-209.911594847,-209.911594847
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-11|clock_36,1,140.563371597,140.563371597
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-14|clock_36,1,-303.515692097,-303.515692097
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-15|clock_12,1,217.028012532,217.028012532
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-18|clock_36,1,254.317413496,254.317413496
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-23|clock_12,1,-504.575622208,-504.575622208
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-24|clock_36,2,-6.47748675653,-3.23874337826
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-25|clock_36,1,-128.892998679,-128.892998679
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-29|clock_12,3,542.641805588,180.880601863
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-10-31|clock_36,1,16.1282015721,16.1282015721
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-01|clock_36,1,-357.468726489,-357.468726489
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-06|clock_12,2,-54.4445745311,-27.2222872655
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-06|clock_36,1,30.295562405,30.295562405
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-07|clock_12,2,1065.0748514,532.537425702
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-08|clock_12,4,1607.4010151,401.850253776
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-08|clock_36,1,340.603773585,340.603773585
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-11|clock_12,4,-814.83136219,-203.707840547
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-11|clock_36,2,225.575739583,112.787869792
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-12|clock_12,1,-75.6403016653,-75.6403016653
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-12|clock_36,1,166.446549828,166.446549828
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-13|clock_12,3,-251.841608574,-83.9472028582
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-13|clock_36,2,-518.520158699,-259.26007935
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-14|clock_12,3,-638.911381789,-212.970460596
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-14|clock_36,2,-639.960013051,-319.980006526
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-15|clock_12,2,-187.26856567,-93.6342828351
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-15|clock_36,1,-352.777194823,-352.777194823
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-18|clock_36,2,490.210892613,245.105446306
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-19|clock_12,2,551.454874996,275.727437498
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-20|clock_12,3,-373.068802536,-124.356267512
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-20|clock_36,1,-573.792619461,-573.792619461
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-21|clock_12,7,7448.49710046,1064.07101435
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-21|clock_36,5,-425.221717851,-85.0443435701
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-22|clock_12,2,-154.310974837,-77.1554874185
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-22|clock_36,2,1626.59613288,813.298066442
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-25|clock_12,2,-777.229309917,-388.614654959
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-25|clock_36,3,-551.975773233,-183.991924411
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-26|clock_12,1,-10,-10
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-26|clock_36,1,-560.630862742,-560.630862742
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-27|clock_12,2,-388.158579953,-194.079289977
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-11-27|clock_36,1,-196.830339321,-196.830339321
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-02|clock_12,1,940.924624193,940.924624193
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-03|clock_12,5,888.800051746,177.760010349
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-03|clock_36,1,-61.3577710727,-61.3577710727
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-04|clock_12,2,-967.514936152,-483.757468076
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-04|clock_36,1,-120.7799441,-120.7799441
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-05|clock_12,3,869.828525861,289.942841954
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-05|clock_36,5,1905.95719906,381.191439811
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-06|clock_12,2,916.444542061,458.222271031
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-06|clock_36,1,283.522267206,283.522267206
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-09|clock_12,4,33.3723394453,8.34308486132
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-09|clock_36,2,-124.881284649,-62.4406423247
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-10|clock_12,2,2025.5661837,1012.78309185
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-10|clock_36,1,-268.751902588,-268.751902588
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-11|clock_12,1,429.956479328,429.956479328
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-11|clock_36,3,1606.57657469,535.525524896
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-12|clock_12,3,-1222.83802007,-407.612673358
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-13|clock_12,1,-20.9644444444,-20.9644444444
long__compression_bin__normal__departure_probability_bin__low__7769238964,LONG,hindsight_episode,2024-12-16|clock_12,1,947.121019391,947.121019391
