signature_id,direction,stage,condition_count,rows,sessions,stocks,mean_directional_net_bps,directional_lift,raw_p_value,fdr_q_value,discovery_score,discovery_supported_effect,discovery_eligible,rejection_reasons_json,conditions_json
long__current_state__7.0__opening_range_position_bin__lower_half__62b78afb33,LONG,shallow_tree,2,141,80,15,16.1180809849,0.0268785624157,0.2987763278,0.999955450325,0.110102079303,False,False,"[""chronology_not_consistent"",""fdr_not_passed""]","[{""family"":""structural_state"",""feature"":""current_state"",""operator"":""=="",""value"":7.0},{""family"":""price_location"",""feature"":""opening_range_position_bin"",""operator"":""=="",""value"":""lower_half""}]"
long__current_state__7.0__return_6_bin__above_plus_one_scale__universe_breadth_bin__mixed__2bf054099c,LONG,shallow_tree,3,1898,217,20,11.2116542138,0.0298155845891,0.657443392685,0.999955450325,0.337197727038,True,False,"[""fdr_not_passed""]","[{""family"":""structural_state"",""feature"":""current_state"",""operator"":""!="",""value"":7.0},{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""=="",""value"":""above_plus_one_scale""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""!="",""value"":""mixed""}]"
short__current_state__7.0__return_6_bin__above_plus_one_scale__universe_breadth_bin__mixed__2bf054099c,SHORT,shallow_tree,3,1710,99,20,12.9216549773,0.0410917375238,0.149165296104,0.999955450325,0.122645405322,False,False,"[""chronology_not_consistent"",""fdr_not_passed""]","[{""family"":""structural_state"",""feature"":""current_state"",""operator"":""!="",""value"":7.0},{""family"":""price_displacement"",""feature"":""return_6_bin"",""operator"":""!="",""value"":""above_plus_one_scale""},{""family"":""cross_sectional_environment"",""feature"":""universe_breadth_bin"",""operator"":""=="",""value"":""mixed""}]"
