population,scope_type,scope_value,candidate,onset_class,symbol,rows,share,absolute_contribution_bps,maximum_allowed_share,passes
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,IONQ,20,0.065067796411,4491.21154736,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,IREN,9,0.0276535241918,1908.74494029,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,MARA,1,0.00580149145126,400.439646569,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,MP,20,0.0599232553073,4136.11695856,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,MRNA,12,0.0204906857421,1414.34026499,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,NVTS,32,0.129882078723,8964.9246468,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,QBTS,32,0.122284499947,8440.51264245,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,RGTI,23,0.0930522635314,6422.79934979,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,RIOT,2,0.0110222108454,760.792332873,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,RIVN,3,0.0088918358918,613.746249869,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,SMCI,10,0.0252492051998,1742.790262,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,SOFI,3,0.00396750238035,273.851175046,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,highest_relative_momentum,not_applicable,WULF,13,0.0393364105221,2715.1394532,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,AAL,2,0.0025031420687,174.654826579,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,AAOI,24,0.0692703564003,4833.28622673,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,APLD,27,0.105715510884,7376.21905329,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,ASTS,19,0.0586186506019,4090.07158771,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,CIFR,8,0.0110807808516,773.153023234,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,HIMS,24,0.0771372314954,5382.19142976,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,IONQ,20,0.0637758188754,4449.90906625,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,IREN,7,0.0265276767583,1850.9483907,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,MARA,2,0.00192261354261,134.148891932,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,MP,16,0.0446469430869,3115.20636389,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,MRNA,4,0.00443340107093,309.337174618,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,MSTR,2,0.00524669576695,366.084191045,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,NVTS,32,0.133087079279,9286.04933856,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,QBTS,45,0.186515982452,13014.0102621,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,RGTI,30,0.118981992832,8301.87770161,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,RIOT,3,0.00663893777428,463.226814066,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,RIVN,2,0.00384207276398,268.077693507,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,SMCI,13,0.0332496937968,2319.971997,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,SOFI,3,0.00308447092155,215.216603416,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,pressure,not_applicable,WULF,16,0.0437209487775,3050.59581799,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,AAL,3,0.00924383959663,534.798972307,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,AAOI,26,0.073524559259,4253.73659073,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,APLD,23,0.0910070269327,5265.17838908,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,ASTS,16,0.0438193165506,2535.15059554,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,CIFR,15,0.0414552593991,2398.37893027,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,HIMS,19,0.0842787893789,4875.91865653,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,IONQ,22,0.0747183722035,4322.80420373,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,IREN,11,0.0301355126366,1743.47910514,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,MARA,7,0.0228871559584,1324.12807012,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,MP,17,0.0450340345292,2605.42766166,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,MRNA,6,0.0157351988478,910.354196964,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,NVTS,24,0.0819462021853,4740.9676742,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,QBTS,42,0.166121606123,9610.9050037,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,RGTI,27,0.0977947072834,5657.877163,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,RIOT,10,0.0392779272717,2272.41017325,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,RIVN,2,0.00320047786632,185.162481013,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,SMCI,11,0.0312042745275,1805.31193499,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,SOFI,5,0.00788454702137,456.15759556,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,random_within_slate,not_applicable,WULF,13,0.0407311924289,2356.48829949,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,AAL,2,0.00132126652577,91.6461413269,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,AAOI,21,0.0819120495831,5681.61164008,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,APLD,27,0.1206038275,8365.36399287,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,ASTS,13,0.0343221699885,2380.66611093,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,CIFR,11,0.0159012745581,1102.94965248,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,HIMS,21,0.0780007858417,5410.31722475,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,IONQ,19,0.0552616451423,3833.07715884,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,IREN,8,0.0241463394895,1674.84667039,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,MARA,4,0.00537447866215,372.786429856,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,MP,15,0.037679761463,2613.55652085,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,MRNA,6,0.0120214444338,833.835546458,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,MSTR,4,0.011793451639,818.02143213,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,NVTS,33,0.111343445393,7723.04219722,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,QBTS,46,0.189722502601,13159.59721,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,RGTI,31,0.130635035288,9061.1520634,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,RIOT,3,0.00741634949698,514.415374093,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,SMCI,16,0.037097292258,2573.15509234,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,SOFI,3,0.00367946920658,255.216603416,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,readiness,not_applicable,WULF,16,0.041767410929,2897.08546322,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,AAL,2,0.00257355332345,174.654826579,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,AAOI,25,0.0950724253404,6452.1134297,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,APLD,29,0.0831865805204,5645.47766006,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,ASTS,21,0.0592133084601,4018.52568045,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,CIFR,13,0.0446210738297,3028.2201035,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,HIMS,29,0.114426583263,7765.58809707,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,IONQ,20,0.0641578214549,4354.08626578,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,IREN,9,0.0251784981048,1708.74494029,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,MARA,1,0.00531110802088,360.439646569,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,MP,20,0.0558984372705,3793.56113532,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,MRNA,12,0.0222717579099,1511.47830508,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,NVTS,32,0.127304776923,8639.56986381,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,QBTS,32,0.125037807348,8485.72141843,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,RGTI,23,0.0928722700161,6302.79934979,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,RIOT,2,0.0112103379853,760.792332873,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,RIVN,3,0.00963300509351,653.746249869,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,SMCI,10,0.0197861256351,1342.790262,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,SOFI,3,0.00226700979647,153.851175046,0.2,True
economic_absolute_contribution_after_20bps,pooled,all,strongest_reversal,not_applicable,WULF,13,0.0399775197045,2713.08416555,0.2,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,AAL,1,0.00297619047619,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,AAOI,23,0.0684523809524,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,APLD,25,0.0744047619048,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,ASTS,10,0.0297619047619,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,CIFR,23,0.0684523809524,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,HIMS,27,0.0803571428571,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,IONQ,32,0.0952380952381,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,IREN,10,0.0297619047619,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,MARA,3,0.00892857142857,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,MP,9,0.0267857142857,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,MRNA,9,0.0267857142857,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,MSTR,4,0.0119047619048,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,NVTS,21,0.0625,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,QBTS,52,0.154761904762,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,RGTI,42,0.125,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,RIOT,5,0.014880952381,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,RIVN,2,0.00595238095238,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,SMCI,17,0.0505952380952,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,SOFI,1,0.00297619047619,,,True
outcome_class_rows,onset_class,DOWN_ONSET,not_applicable,DOWN_ONSET,WULF,20,0.0595238095238,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,AAL,5,0.00568828213879,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,AAOI,63,0.0716723549488,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,APLD,66,0.0750853242321,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,ASTS,54,0.061433447099,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,CIFR,61,0.0693970420933,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,HIMS,66,0.0750853242321,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,IONQ,58,0.06598407281,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,IREN,53,0.0602957906712,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,MARA,27,0.0307167235495,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,MP,50,0.0568828213879,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,MRNA,15,0.0170648464164,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,MSTR,21,0.0238907849829,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,NVTS,57,0.0648464163823,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,QBTS,73,0.0830489192264,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,RGTI,66,0.0750853242321,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,RIOT,34,0.0386803185438,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,RIVN,6,0.00682593856655,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,SMCI,35,0.0398179749716,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,SOFI,12,0.0136518771331,,,True
outcome_class_rows,onset_class,NO_ONSET,not_applicable,NO_ONSET,WULF,57,0.0648464163823,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,AAL,1,0.00289855072464,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,AAOI,32,0.0927536231884,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,APLD,29,0.0840579710145,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,ASTS,15,0.0434782608696,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,CIFR,13,0.0376811594203,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,HIMS,31,0.0898550724638,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,IONQ,25,0.0724637681159,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,IREN,10,0.0289855072464,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,MARA,4,0.0115942028986,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,MP,18,0.0521739130435,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,MRNA,9,0.0260869565217,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,MSTR,3,0.00869565217391,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,NVTS,27,0.0782608695652,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,QBTS,46,0.133333333333,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,RGTI,31,0.0898550724638,,,True
outcome_class_rows,onset_class,UP_ONSET,not_applicable,UP_ONSET,RIOT,6,0.0173913043478,,,True
