deleted_symbol,comparison,rows,sessions,stocks,full_increment,leave_one_out_increment,same_sign_as_full
IREN,D3_minus_D2_brier,1487,153,19,-0.00959845070952,-0.00907524261532,True
IREN,D3_minus_D2_log_loss,1487,153,19,-0.0252881545591,-0.0241873927563,True
MARA,A2_minus_A1_brier,1526,153,19,0.00122939627995,0.00125190835623,True
MARA,A2_minus_A1_log_loss,1526,153,19,0.00483774443215,0.00491899275119,True
MARA,A3_minus_A2_brier,1526,153,19,-0.00189282693197,-0.00169484781679,True
MARA,A3_minus_A2_log_loss,1526,153,19,-0.00625273543842,-0.00587873167187,True
MARA,D2_minus_D1_brier,1526,153,19,-0.0173504287875,-0.0174750504194,True
MARA,D2_minus_D1_log_loss,1526,153,19,-0.0423065570939,-0.0426572021237,True
MARA,D3_minus_D2_brier,1526,153,19,-0.00959845070952,-0.00916175510077,True
MARA,D3_minus_D2_log_loss,1526,153,19,-0.0252881545591,-0.0242078149377,True
MP,A2_minus_A1_brier,1483,153,19,0.00122939627995,0.000375781487267,True
MP,A2_minus_A1_log_loss,1483,153,19,0.00483774443215,0.00334205252961,True
MP,A3_minus_A2_brier,1483,153,19,-0.00189282693197,-0.00132513249667,True
MP,A3_minus_A2_log_loss,1483,153,19,-0.00625273543842,-0.00510652747346,True
MP,D2_minus_D1_brier,1483,153,19,-0.0173504287875,-0.0186091880332,True
MP,D2_minus_D1_log_loss,1483,153,19,-0.0423065570939,-0.0450753303606,True
MP,D3_minus_D2_brier,1483,153,19,-0.00959845070952,-0.00981687797156,True
MP,D3_minus_D2_log_loss,1483,153,19,-0.0252881545591,-0.0256842432757,True
MRNA,A2_minus_A1_brier,1527,153,19,0.00122939627995,0.000834174913032,True
MRNA,A2_minus_A1_log_loss,1527,153,19,0.00483774443215,0.00404132478254,True
MRNA,A3_minus_A2_brier,1527,153,19,-0.00189282693197,-0.00204395589072,True
MRNA,A3_minus_A2_log_loss,1527,153,19,-0.00625273543842,-0.00660857486689,True
MRNA,D2_minus_D1_brier,1527,153,19,-0.0173504287875,-0.0172652971629,True
MRNA,D2_minus_D1_log_loss,1527,153,19,-0.0423065570939,-0.0408531835545,True
MRNA,D3_minus_D2_brier,1527,153,19,-0.00959845070952,-0.0103130396032,True
MRNA,D3_minus_D2_log_loss,1527,153,19,-0.0252881545591,-0.0278246583259,True
MSTR,A2_minus_A1_brier,1532,153,19,0.00122939627995,0.000965876475298,True
MSTR,A2_minus_A1_log_loss,1532,153,19,0.00483774443215,0.00424833568256,True
MSTR,A3_minus_A2_brier,1532,153,19,-0.00189282693197,-0.00211487231294,True
MSTR,A3_minus_A2_log_loss,1532,153,19,-0.00625273543842,-0.00672326956916,True
MSTR,D2_minus_D1_brier,1532,153,19,-0.0173504287875,-0.0167517469243,True
MSTR,D2_minus_D1_log_loss,1532,153,19,-0.0423065570939,-0.040972167356,True
MSTR,D3_minus_D2_brier,1532,153,19,-0.00959845070952,-0.00945743777476,True
MSTR,D3_minus_D2_log_loss,1532,153,19,-0.0252881545591,-0.024738841462,True
NVTS,A2_minus_A1_brier,1455,150,19,0.00122939627995,0.00112907246823,True
NVTS,A2_minus_A1_log_loss,1455,150,19,0.00483774443215,0.0039277212901,True
NVTS,A3_minus_A2_brier,1455,150,19,-0.00189282693197,-0.00188496953732,True
NVTS,A3_minus_A2_log_loss,1455,150,19,-0.00625273543842,-0.00652644689005,True
NVTS,D2_minus_D1_brier,1455,150,19,-0.0173504287875,-0.0146112053261,True
NVTS,D2_minus_D1_log_loss,1455,150,19,-0.0423065570939,-0.0360766103059,True
NVTS,D3_minus_D2_brier,1455,150,19,-0.00959845070952,-0.00950092106417,True
NVTS,D3_minus_D2_log_loss,1455,150,19,-0.0252881545591,-0.023089977115,True
QBTS,A2_minus_A1_brier,1389,152,19,0.00122939627995,0.00206099734726,True
QBTS,A2_minus_A1_log_loss,1389,152,19,0.00483774443215,0.00716792157957,True
QBTS,A3_minus_A2_brier,1389,152,19,-0.00189282693197,-0.0023188681524,True
QBTS,A3_minus_A2_log_loss,1389,152,19,-0.00625273543842,-0.00679866410004,True
QBTS,D2_minus_D1_brier,1389,152,19,-0.0173504287875,-0.0158718423098,True
QBTS,D2_minus_D1_log_loss,1389,152,19,-0.0423065570939,-0.0395386043425,True
QBTS,D3_minus_D2_brier,1389,152,19,-0.00959845070952,-0.00975993520082,True
