record_type,draw,metric,null_value,real_value,null_q90,real_percentile,null_interpretation
draw,46,A2_minus_A1_brier_improvement,-0.00197979876023,0.00122939627995,,,admitted_bundle_within_valid_parent_slate
draw,47,A2_minus_A1_brier_improvement,-0.00229053690359,0.00122939627995,,,admitted_bundle_within_valid_parent_slate
draw,48,A2_minus_A1_brier_improvement,-0.00267650932884,0.00122939627995,,,admitted_bundle_within_valid_parent_slate
draw,49,A2_minus_A1_brier_improvement,-0.000788697579357,0.00122939627995,,,admitted_bundle_within_valid_parent_slate
draw,0,D2_minus_D1_brier_improvement,-0.0174660104197,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,1,D2_minus_D1_brier_improvement,-0.0189298484621,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,2,D2_minus_D1_brier_improvement,-0.016583409195,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,3,D2_minus_D1_brier_improvement,-0.0302666800604,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,4,D2_minus_D1_brier_improvement,-0.0145017611709,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,5,D2_minus_D1_brier_improvement,-0.020132402864,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,6,D2_minus_D1_brier_improvement,-0.0209183349587,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,7,D2_minus_D1_brier_improvement,-0.0231870749552,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,8,D2_minus_D1_brier_improvement,-0.0210586506333,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,9,D2_minus_D1_brier_improvement,-0.0317177021436,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,10,D2_minus_D1_brier_improvement,-0.0189503139611,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,11,D2_minus_D1_brier_improvement,-0.0248282833896,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,12,D2_minus_D1_brier_improvement,-0.0165375865196,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,13,D2_minus_D1_brier_improvement,-0.0188550159651,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,14,D2_minus_D1_brier_improvement,-0.0161005962064,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,15,D2_minus_D1_brier_improvement,-0.0117481629433,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,16,D2_minus_D1_brier_improvement,-0.0210532830006,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,17,D2_minus_D1_brier_improvement,-0.0167506123428,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,18,D2_minus_D1_brier_improvement,-0.0128765638669,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,19,D2_minus_D1_brier_improvement,-0.0123448422322,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,20,D2_minus_D1_brier_improvement,-0.0225356323631,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,21,D2_minus_D1_brier_improvement,-0.0288864023506,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,22,D2_minus_D1_brier_improvement,-0.0149530804764,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,23,D2_minus_D1_brier_improvement,-0.0211974046447,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,24,D2_minus_D1_brier_improvement,-0.019656031817,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,25,D2_minus_D1_brier_improvement,-0.0128134101879,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,26,D2_minus_D1_brier_improvement,-0.0192776664177,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,27,D2_minus_D1_brier_improvement,-0.020096383647,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,28,D2_minus_D1_brier_improvement,-0.022848705761,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,29,D2_minus_D1_brier_improvement,-0.0105005584977,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,30,D2_minus_D1_brier_improvement,-0.0277796324674,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,31,D2_minus_D1_brier_improvement,-0.0225597405193,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,32,D2_minus_D1_brier_improvement,-0.0225002369021,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,33,D2_minus_D1_brier_improvement,-0.0275950999778,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,34,D2_minus_D1_brier_improvement,-0.0210848865187,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,35,D2_minus_D1_brier_improvement,-0.0156049901841,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,36,D2_minus_D1_brier_improvement,-0.0176434614438,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,37,D2_minus_D1_brier_improvement,-0.0320785184675,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,38,D2_minus_D1_brier_improvement,-0.0160728765852,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,39,D2_minus_D1_brier_improvement,-0.017402459571,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,40,D2_minus_D1_brier_improvement,-0.0138308520563,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,41,D2_minus_D1_brier_improvement,-0.0197241552605,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,42,D2_minus_D1_brier_improvement,-0.0102500982747,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,43,D2_minus_D1_brier_improvement,-0.0140354927746,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,44,D2_minus_D1_brier_improvement,-0.0121093341483,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,45,D2_minus_D1_brier_improvement,-0.0202782094544,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,46,D2_minus_D1_brier_improvement,-0.0157050801169,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,47,D2_minus_D1_brier_improvement,-0.00975292270402,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,48,D2_minus_D1_brier_improvement,-0.0221542014631,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,49,D2_minus_D1_brier_improvement,-0.0168779541392,-0.0173504287875,,,admitted_bundle_within_valid_parent_slate
draw,0,pressure_minus_readiness_economic_30m,-31.1009873531,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,1,pressure_minus_readiness_economic_30m,-40.3179196768,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,2,pressure_minus_readiness_economic_30m,-45.4183101688,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,3,pressure_minus_readiness_economic_30m,-22.6243982061,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,4,pressure_minus_readiness_economic_30m,-22.034357703,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,5,pressure_minus_readiness_economic_30m,-16.5054635597,-15.501912367,,,admitted_bundle_within_valid_parent_slate
draw,6,pressure_minus_readiness_economic_30m,-28.2717447589,-15.501912367,,,admitted_bundle_within_valid_parent_slate
