admitted_slate_type,candidate,horizon,friction_bps,mean_signed_gross_return_bps,mean_signed_return_after_friction_bps,median_signed_return_after_friction_bps,positive_after_friction_rate,mean_signed_cohort_relative_return_bps,selected_rows,sessions,stocks,slates,slate_fraction
multi_candidate,confirmed,primary_30m_close_t_plus_8,0,5.2962242377,5.2962242377,0,0.496240601504,16.4200299686,266,143,18,266,0.889632107023
multi_candidate,highest_relative_momentum,primary_30m_close_t_plus_8,0,6.79930725824,6.79930725824,-21.6354658133,0.458646616541,11.1998201697,266,143,19,266,0.889632107023
multi_candidate,pressure,primary_30m_close_t_plus_8,0,23.6133381413,23.6133381413,31.1334256014,0.552631578947,23.0565778153,266,143,20,266,0.889632107023
multi_candidate,random_within_slate,primary_30m_close_t_plus_8,0,6.96344972231,6.96344972231,23.5285593897,0.548872180451,-3.02753301534,266,143,19,266,0.889632107023
multi_candidate,readiness,primary_30m_close_t_plus_8,0,40.8292582143,40.8292582143,53.2708688009,0.571428571429,37.9975666224,266,143,19,266,0.889632107023
multi_candidate,strongest_reversal,primary_30m_close_t_plus_8,0,-6.79930725824,-6.79930725824,21.6354658133,0.537593984962,-11.1998201697,266,143,19,266,0.889632107023
multi_candidate,confirmed,primary_30m_close_t_plus_8,10,5.2962242377,-4.7037757623,-10,0.492481203008,16.4200299686,266,143,18,266,0.889632107023
multi_candidate,highest_relative_momentum,primary_30m_close_t_plus_8,10,6.79930725824,-3.20069274176,-31.6354658133,0.443609022556,11.1998201697,266,143,19,266,0.889632107023
multi_candidate,pressure,primary_30m_close_t_plus_8,10,23.6133381413,13.6133381413,21.1334256014,0.541353383459,23.0565778153,266,143,20,266,0.889632107023
multi_candidate,random_within_slate,primary_30m_close_t_plus_8,10,6.96344972231,-3.03655027769,13.5285593897,0.537593984962,-3.02753301534,266,143,19,266,0.889632107023
multi_candidate,readiness,primary_30m_close_t_plus_8,10,40.8292582143,30.8292582143,43.2708688009,0.56015037594,37.9975666224,266,143,19,266,0.889632107023
multi_candidate,strongest_reversal,primary_30m_close_t_plus_8,10,-6.79930725824,-16.7993072582,11.6354658133,0.53007518797,-11.1998201697,266,143,19,266,0.889632107023
multi_candidate,confirmed,primary_30m_close_t_plus_8,20,5.2962242377,-14.7037757623,-20,0.477443609023,16.4200299686,266,143,18,266,0.889632107023
multi_candidate,highest_relative_momentum,primary_30m_close_t_plus_8,20,6.79930725824,-13.2006927418,-41.6354658133,0.443609022556,11.1998201697,266,143,19,266,0.889632107023
multi_candidate,pressure,primary_30m_close_t_plus_8,20,23.6133381413,3.6133381413,11.1334256014,0.522556390977,23.0565778153,266,143,20,266,0.889632107023
multi_candidate,random_within_slate,primary_30m_close_t_plus_8,20,6.96344972231,-13.0365502777,3.52855938971,0.515037593985,-3.02753301534,266,143,19,266,0.889632107023
multi_candidate,readiness,primary_30m_close_t_plus_8,20,40.8292582143,20.8292582143,33.2708688009,0.541353383459,37.9975666224,266,143,19,266,0.889632107023
multi_candidate,strongest_reversal,primary_30m_close_t_plus_8,20,-6.79930725824,-26.7993072582,1.63546581331,0.503759398496,-11.1998201697,266,143,19,266,0.889632107023
multi_candidate,confirmed,secondary_remaining_session,0,5.29753702028,5.29753702028,-8.27047146402,0.496240601504,21.4862493498,266,143,18,266,0.889632107023
multi_candidate,highest_relative_momentum,secondary_remaining_session,0,43.952625042,43.952625042,-18.7676930903,0.46992481203,68.8523736776,266,143,19,266,0.889632107023
multi_candidate,pressure,secondary_remaining_session,0,21.6506173413,21.6506173413,0.815256458115,0.507518796992,20.4640644783,266,143,20,266,0.889632107023
multi_candidate,random_within_slate,secondary_remaining_session,0,0.267259166436,0.267259166436,18.2159789516,0.511278195489,3.74438730325,266,143,19,266,0.889632107023
multi_candidate,readiness,secondary_remaining_session,0,38.8082405394,38.8082405394,0.582296632174,0.5,28.7251542369,266,143,19,266,0.889632107023
multi_candidate,strongest_reversal,secondary_remaining_session,0,-43.952625042,-43.952625042,18.7676930903,0.518796992481,-68.8523736776,266,143,19,266,0.889632107023
multi_candidate,confirmed,secondary_remaining_session,10,5.29753702028,-4.70246297972,-18.270471464,0.488721804511,21.4862493498,266,143,18,266,0.889632107023
multi_candidate,highest_relative_momentum,secondary_remaining_session,10,43.952625042,33.952625042,-28.7676930903,0.462406015038,68.8523736776,266,143,19,266,0.889632107023
multi_candidate,pressure,secondary_remaining_session,10,21.6506173413,11.6506173413,-9.18474354189,0.496240601504,20.4640644783,266,143,20,266,0.889632107023
multi_candidate,random_within_slate,secondary_remaining_session,10,0.267259166436,-9.73274083356,8.21597895161,0.507518796992,3.74438730325,266,143,19,266,0.889632107023
multi_candidate,readiness,secondary_remaining_session,10,38.8082405394,28.8082405394,-9.41770336783,0.496240601504,28.7251542369,266,143,19,266,0.889632107023
multi_candidate,strongest_reversal,secondary_remaining_session,10,-43.952625042,-53.952625042,8.76769309026,0.515037593985,-68.8523736776,266,143,19,266,0.889632107023
multi_candidate,confirmed,secondary_remaining_session,20,5.29753702028,-14.7024629797,-28.270471464,0.488721804511,21.4862493498,266,143,18,266,0.889632107023
multi_candidate,highest_relative_momentum,secondary_remaining_session,20,43.952625042,23.952625042,-38.7676930903,0.454887218045,68.8523736776,266,143,19,266,0.889632107023
multi_candidate,pressure,secondary_remaining_session,20,21.6506173413,1.65061734134,-19.1847435419,0.496240601504,20.4640644783,266,143,20,266,0.889632107023
multi_candidate,random_within_slate,secondary_remaining_session,20,0.267259166436,-19.7327408336,-1.78402104839,0.492481203008,3.74438730325,266,143,19,266,0.889632107023
multi_candidate,readiness,secondary_remaining_session,20,38.8082405394,18.8082405394,-19.4177033678,0.496240601504,28.7251542369,266,143,19,266,0.889632107023
multi_candidate,strongest_reversal,secondary_remaining_session,20,-43.952625042,-63.952625042,-1.23230690974,0.496240601504,-68.8523736776,266,143,19,266,0.889632107023
