population,scope_type,scope_value,target,model,bin,lower_bound_inclusive,upper_bound_exclusive_except_last,rows,mean_probability,observed_rate
primary_high_movement,checkpoint,12,up_given_onset,D1,10,0.9,1,0,,
primary_high_movement,checkpoint,12,up_given_onset,D2,1,0,0.1,0,,
primary_high_movement,checkpoint,12,up_given_onset,D2,2,0.1,0.2,2,0.189527634782,1
primary_high_movement,checkpoint,12,up_given_onset,D2,3,0.2,0.3,12,0.263155462325,0.666666666667
primary_high_movement,checkpoint,12,up_given_onset,D2,4,0.3,0.4,39,0.361906506122,0.435897435897
primary_high_movement,checkpoint,12,up_given_onset,D2,5,0.4,0.5,93,0.458967004321,0.440860215054
primary_high_movement,checkpoint,12,up_given_onset,D2,6,0.5,0.6,86,0.555780750627,0.523255813953
primary_high_movement,checkpoint,12,up_given_onset,D2,7,0.6,0.7,55,0.643746660219,0.345454545455
primary_high_movement,checkpoint,12,up_given_onset,D2,8,0.7,0.8,30,0.742357080067,0.366666666667
primary_high_movement,checkpoint,12,up_given_onset,D2,9,0.8,0.9,2,0.826273066928,1
primary_high_movement,checkpoint,12,up_given_onset,D2,10,0.9,1,1,0.959695085488,0
primary_high_movement,checkpoint,12,up_given_onset,D3,1,0,0.1,0,,
primary_high_movement,checkpoint,12,up_given_onset,D3,2,0.1,0.2,3,0.148424807815,0.666666666667
primary_high_movement,checkpoint,12,up_given_onset,D3,3,0.2,0.3,18,0.261112348767,0.777777777778
primary_high_movement,checkpoint,12,up_given_onset,D3,4,0.3,0.4,48,0.360057513165,0.5
primary_high_movement,checkpoint,12,up_given_onset,D3,5,0.4,0.5,85,0.446498770095,0.352941176471
primary_high_movement,checkpoint,12,up_given_onset,D3,6,0.5,0.6,74,0.551582785025,0.5
primary_high_movement,checkpoint,12,up_given_onset,D3,7,0.6,0.7,51,0.652514674416,0.43137254902
primary_high_movement,checkpoint,12,up_given_onset,D3,8,0.7,0.8,27,0.740281604215,0.444444444444
primary_high_movement,checkpoint,12,up_given_onset,D3,9,0.8,0.9,13,0.835535753963,0.307692307692
primary_high_movement,checkpoint,12,up_given_onset,D3,10,0.9,1,1,0.92197542544,0
primary_high_movement,checkpoint,6,directional_onset,A0,1,0,0.1,0,,
primary_high_movement,checkpoint,6,directional_onset,A0,2,0.1,0.2,0,,
primary_high_movement,checkpoint,6,directional_onset,A0,3,0.2,0.3,0,,
primary_high_movement,checkpoint,6,directional_onset,A0,4,0.3,0.4,154,0.384311196317,0.279220779221
primary_high_movement,checkpoint,6,directional_onset,A0,5,0.4,0.5,272,0.441196043369,0.389705882353
primary_high_movement,checkpoint,6,directional_onset,A0,6,0.5,0.6,134,0.54303945676,0.55223880597
primary_high_movement,checkpoint,6,directional_onset,A0,7,0.6,0.7,79,0.64664832561,0.632911392405
primary_high_movement,checkpoint,6,directional_onset,A0,8,0.7,0.8,66,0.742407971583,0.575757575758
primary_high_movement,checkpoint,6,directional_onset,A0,9,0.8,0.9,34,0.848766538489,0.794117647059
primary_high_movement,checkpoint,6,directional_onset,A0,10,0.9,1,27,0.928384935591,0.851851851852
primary_high_movement,checkpoint,6,directional_onset,A1,1,0,0.1,0,,
primary_high_movement,checkpoint,6,directional_onset,A1,2,0.1,0.2,0,,
primary_high_movement,checkpoint,6,directional_onset,A1,3,0.2,0.3,0,,
primary_high_movement,checkpoint,6,directional_onset,A1,4,0.3,0.4,127,0.37053853214,0.291338582677
primary_high_movement,checkpoint,6,directional_onset,A1,5,0.4,0.5,260,0.445160405218,0.361538461538
primary_high_movement,checkpoint,6,directional_onset,A1,6,0.5,0.6,141,0.54569760709,0.524822695035
primary_high_movement,checkpoint,6,directional_onset,A1,7,0.6,0.7,102,0.645667853402,0.607843137255
primary_high_movement,checkpoint,6,directional_onset,A1,8,0.7,0.8,64,0.745120991151,0.578125
primary_high_movement,checkpoint,6,directional_onset,A1,9,0.8,0.9,33,0.844865374896,0.727272727273
primary_high_movement,checkpoint,6,directional_onset,A1,10,0.9,1,39,0.94013599833,0.846153846154
primary_high_movement,checkpoint,6,directional_onset,A2,1,0,0.1,0,,
