symbol,source_file,source_file_hash,source_hash_scope,bounded_source_rows,development_start,development_end,data_snapshot_hash,run_id_v2,git_sha,contract_hash,source_artifact_hash,dictionary_version,dictionary_hash,state_model_version,session,timestamp,semantic_loop_id,legacy_cycle_id,research_only,execution_enabled,order_placement,broker_connected,strategy_promotion
MP,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=MP/timeframe=5m/data.parquet,bc6b68e2b772b912eaa3627b1fbc615a451b01def10d1eca441f7386fa943a36,filtered_2024_development_rows_only,19799,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
MRNA,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=MRNA/timeframe=5m/data.parquet,c29f7d1381e81f5cd6227e46dd42a78a6957c63901b2f2637c6139bb6ce51a40,filtered_2024_development_rows_only,19802,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
MSTR,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=MSTR/timeframe=5m/data.parquet,34bc5a47b706a7772d8d4211fa5105a2fef557213f7495892f4b875f4d64f7b4,filtered_2024_development_rows_only,19801,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
NVTS,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=NVTS/timeframe=5m/data.parquet,fcdaffecc20342ce0ad38d240e6b0ba155d79858bf4b65f605685a944a243cf6,filtered_2024_development_rows_only,19801,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
OKLO,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=OKLO/timeframe=5m/data.parquet,561ca9857da506a3281b0569fe208c56f63b93032833e738b0678d740acd256d,filtered_2024_development_rows_only,19791,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
QBTS,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=QBTS/timeframe=5m/data.parquet,0b89191f2ad16f828c7a04c4db5abb560bc30a92119d12ef9773c7f2c5db23fc,filtered_2024_development_rows_only,19800,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
RGTI,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=RGTI/timeframe=5m/data.parquet,f70e9cc0dbf11f1e09eca57f4a0cccd32957c52fd092b080c9d499b6800d1ff3,filtered_2024_development_rows_only,19799,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
RIOT,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=RIOT/timeframe=5m/data.parquet,cb3b8c52daf18516261d89ed39fc6659bf6ff38c4be8734e9d2f893ecf4fd73e,filtered_2024_development_rows_only,19798,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
RIVN,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=RIVN/timeframe=5m/data.parquet,4ccf030f3a92eda91242fed9fa28ff4bc7ef0690c9d09d53bb564662c4dbc666,filtered_2024_development_rows_only,19799,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
SMCI,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=SMCI/timeframe=5m/data.parquet,33c567b25f3d41281f6b8528672b368d495e0d4ea14a48ce167f099a38b4352f,filtered_2024_development_rows_only,19799,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
SOFI,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=SOFI/timeframe=5m/data.parquet,c6ba702220863b7ae954c553c3081bca32da882e8ee5ba6ef266eb2e7c75aecb,filtered_2024_development_rows_only,19798,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
VTI,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=VTI.US/timeframe=5m/data.parquet,b1c46d7e5efa9cd26e36ee656e0ecd0f19a0b3e20b698308f91e22994ef9e848,filtered_2024_development_rows_only,19800,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
WULF,/Users/michaelsalerno/StockerLocal/data/processed/source=eodhd/instrument_type=stock/symbol=WULF/timeframe=5m/data.parquet,8d76f04e6c3051161a91ef23bf88125acf13ee1026b578c510ed927a55408e7b,filtered_2024_development_rows_only,19799,2024-01-01 00:00:00+00:00,2024-12-31 23:59:59+00:00,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
