record_type,draw,comparison,metric,real_value,null_value,null_q90,real_percentile,draws,activity_bundle_sha256
draw,33,A2_minus_A1,brier,-0.00218595411169,-0.00107612846435,,,50,172f2a97c8d659bd2c60fc8f5fcc7ca46a9f9d029c567516bd30bcd335313979
draw,34,A2_minus_A1,brier,-0.00218595411169,-0.00578683481285,,,50,778900b667cee982f3f9ca36a830ce2fab2af7c006e04a1e092010630856dadd
draw,35,A2_minus_A1,brier,-0.00218595411169,-0.00162792959873,,,50,9b53fda4ae23c37b79222aff64532f78c2ef444d43e4a72c2c62fe9759daed6f
draw,36,A2_minus_A1,brier,-0.00218595411169,-0.00248242308193,,,50,bebea73de867d68237f555d8a874470104a71a165cb67b483d9f1edfaf87d869
draw,37,A2_minus_A1,brier,-0.00218595411169,0.000145749029558,,,50,b8b782662cbddd6a221350abab4680e9634ef0826042badab4785227133c2d32
draw,38,A2_minus_A1,brier,-0.00218595411169,-0.0027431002608,,,50,53b403afba41e33e67c85a0b2805e512b7f0af9282e20d4dd379f18832feec93
draw,39,A2_minus_A1,brier,-0.00218595411169,-0.000972698379454,,,50,a6d57eeb55be9153ef35c9a41b181d90bed2991dc29fa44e33fcab06f1fa9c3b
draw,40,A2_minus_A1,brier,-0.00218595411169,-0.0067573906021,,,50,fc75a225e87ec9b9f432769dbc55f56432a616bd4827768e442695c7bca57efc
draw,41,A2_minus_A1,brier,-0.00218595411169,-0.00155448978168,,,50,1aaba12dde7c32b150eb4a536c428b93c0151f440019fb1c0cc2033ff19331dd
draw,42,A2_minus_A1,brier,-0.00218595411169,-0.0022181872808,,,50,d0bad1a21216e9a7c03c87f2633caa051fc2c2f3ac6cafea089d5f25acf8d274
draw,43,A2_minus_A1,brier,-0.00218595411169,-0.00283618526913,,,50,a79057aa06eba761f4e84608521686e8cbd36965ee53cd0f833e13bf36ffa371
draw,44,A2_minus_A1,brier,-0.00218595411169,-0.00210112243483,,,50,8195e65affa43e39851cab5c95de4a83500cabb658ed1ecae95d7e387ce6038f
draw,45,A2_minus_A1,brier,-0.00218595411169,-0.00433642063371,,,50,3e1b15ee220d093dddf4e96c0259e8c2a2cce8602824ac8ec4d5de284795302f
draw,46,A2_minus_A1,brier,-0.00218595411169,-0.00320148083473,,,50,8ef441ed723d451db5da25ab98491c4cad4117a100d27cc72f5433c9f7f398e6
draw,47,A2_minus_A1,brier,-0.00218595411169,-0.00174842407219,,,50,198fb6be848db87530b27373b902c531b0b7db7031eb699841e0aed8f7a9728f
draw,48,A2_minus_A1,brier,-0.00218595411169,-0.00327305443405,,,50,9d922e8d9df99aa4a9a0693c9eca2221ce0ee4c9f41a5adee10d03ff7bbb1b5b
draw,49,A2_minus_A1,brier,-0.00218595411169,-0.00218128035502,,,50,d8dd622605e027b7842be97b2cc5cc75292bc97fe6afd6bf93a0bc10c3a815d0
draw,0,A3_minus_A2,brier,-0.00355079840748,-0.00096402498653,,,50,f2c6fef07b8d68c64ee3ffd42125af8fbe3f98be5e81883b266a8359179eb1e1
draw,1,A3_minus_A2,brier,-0.00355079840748,-0.0017992271942,,,50,56afe97fc07abfba2f8caaacf616d4c768c78a5b27855445a298647050314d91
draw,2,A3_minus_A2,brier,-0.00355079840748,-0.00153439211406,,,50,110ee76bf3a5c1f9979b8b879a26baf6cb6c777472a682d47680b43f5bb53c46
draw,3,A3_minus_A2,brier,-0.00355079840748,-0.00356742693074,,,50,8aad592d0c386fd44c0537cd5162d7d99e99cb162b5077fab48375c185ca0d7d
draw,4,A3_minus_A2,brier,-0.00355079840748,-0.000912163911347,,,50,97ae920252c53d6e4534b78a59dcd3d86a5141ef1c0712cab5773fbe62391d47
