candidate,scope_type,scope_value,horizon,friction_bps,mean_signed_return_bps,mean_cohort_relative_signed_return_bps,positive_selection_pct,rows
interaction_system,checkpoint,6,30_minute_terminal,10,-39.3748127818,-35.3842086543,0.407894736842,152
interaction_system,checkpoint,6,30_minute_terminal,20,-49.3748127818,-45.3842086543,0.407894736842,152
price_system,checkpoint,6,15_minute_terminal,0,-19.1465226539,1.11466915322,0.394736842105,152
price_system,checkpoint,6,15_minute_terminal,10,-29.1465226539,-8.88533084678,0.375,152
price_system,checkpoint,6,15_minute_terminal,20,-39.1465226539,-18.8853308468,0.375,152
price_system,checkpoint,6,30_minute_terminal,0,-4.83993057924,2.64501006479,0.473684210526,152
price_system,checkpoint,6,30_minute_terminal,10,-14.8399305792,-7.35498993521,0.467105263158,152
price_system,checkpoint,6,30_minute_terminal,20,-24.8399305792,-17.3549899352,0.453947368421,152
random_admitted_stock,checkpoint,6,15_minute_terminal,0,-10.025396006,-23.7838204552,0.440789473684,152
random_admitted_stock,checkpoint,6,15_minute_terminal,10,-20.025396006,-33.7838204552,0.394736842105,152
random_admitted_stock,checkpoint,6,15_minute_terminal,20,-30.025396006,-43.7838204552,0.375,152
random_admitted_stock,checkpoint,6,30_minute_terminal,0,-24.1785803239,-27.894820508,0.467105263158,152
random_admitted_stock,checkpoint,6,30_minute_terminal,10,-34.1785803239,-37.894820508,0.447368421053,152
random_admitted_stock,checkpoint,6,30_minute_terminal,20,-44.1785803239,-47.894820508,0.434210526316,152
strongest_one_minute_reversal,checkpoint,6,15_minute_terminal,0,18.9000386714,7.75995902922,0.552631578947,152
strongest_one_minute_reversal,checkpoint,6,15_minute_terminal,10,8.90003867137,-2.24004097078,0.532894736842,152
strongest_one_minute_reversal,checkpoint,6,15_minute_terminal,20,-1.09996132863,-12.2400409708,0.5,152
strongest_one_minute_reversal,checkpoint,6,30_minute_terminal,0,24.7117769889,3.6314224439,0.546052631579,152
strongest_one_minute_reversal,checkpoint,6,30_minute_terminal,10,14.7117769889,-6.3685775561,0.526315789474,152
strongest_one_minute_reversal,checkpoint,6,30_minute_terminal,20,4.71177698889,-16.3685775561,0.506578947368,152
activity_system,month,2025-01,15_minute_terminal,0,-105.814286653,-107.911653744,0.35,40
activity_system,month,2025-01,15_minute_terminal,10,-115.814286653,-117.911653744,0.35,40
activity_system,month,2025-01,15_minute_terminal,20,-125.814286653,-127.911653744,0.35,40
activity_system,month,2025-01,30_minute_terminal,0,-49.1165106658,-67.7213188682,0.475,40
activity_system,month,2025-01,30_minute_terminal,10,-59.1165106658,-77.7213188682,0.475,40
activity_system,month,2025-01,30_minute_terminal,20,-69.1165106658,-87.7213188682,0.45,40
highest_one_minute_relative_momentum,month,2025-01,15_minute_terminal,0,-32.9298238832,-28.0871937274,0.475,40
highest_one_minute_relative_momentum,month,2025-01,15_minute_terminal,10,-42.9298238832,-38.0871937274,0.475,40
highest_one_minute_relative_momentum,month,2025-01,15_minute_terminal,20,-52.9298238832,-48.0871937274,0.425,40
highest_one_minute_relative_momentum,month,2025-01,30_minute_terminal,0,-26.6823119644,-22.1080380529,0.45,40
highest_one_minute_relative_momentum,month,2025-01,30_minute_terminal,10,-36.6823119644,-32.1080380529,0.45,40
highest_one_minute_relative_momentum,month,2025-01,30_minute_terminal,20,-46.6823119644,-42.1080380529,0.45,40
interaction_system,month,2025-01,15_minute_terminal,0,-13.1792272916,-15.832301354,0.425,40
interaction_system,month,2025-01,15_minute_terminal,10,-23.1792272916,-25.832301354,0.425,40
interaction_system,month,2025-01,15_minute_terminal,20,-33.1792272916,-35.832301354,0.425,40
interaction_system,month,2025-01,30_minute_terminal,0,-39.3912871977,-63.7562252983,0.475,40
interaction_system,month,2025-01,30_minute_terminal,10,-49.3912871977,-73.7562252983,0.475,40
interaction_system,month,2025-01,30_minute_terminal,20,-59.3912871977,-83.7562252983,0.475,40
price_system,month,2025-01,15_minute_terminal,0,-50.9320825487,-45.7258700525,0.4,40
price_system,month,2025-01,15_minute_terminal,10,-60.9320825487,-55.7258700525,0.4,40
price_system,month,2025-01,15_minute_terminal,20,-70.9320825487,-65.7258700525,0.4,40
price_system,month,2025-01,30_minute_terminal,0,2.27533434831,-18.9506810367,0.45,40
price_system,month,2025-01,30_minute_terminal,10,-7.72466565169,-28.9506810367,0.45,40
price_system,month,2025-01,30_minute_terminal,20,-17.7246656517,-38.9506810367,0.45,40
random_admitted_stock,month,2025-01,15_minute_terminal,0,5.2437760208,-8.96377063252,0.45,40
random_admitted_stock,month,2025-01,15_minute_terminal,10,-4.7562239792,-18.9637706325,0.45,40
random_admitted_stock,month,2025-01,15_minute_terminal,20,-14.7562239792,-28.9637706325,0.4,40
random_admitted_stock,month,2025-01,30_minute_terminal,0,-32.843284882,-45.0064505735,0.5,40
random_admitted_stock,month,2025-01,30_minute_terminal,10,-42.843284882,-55.0064505735,0.5,40
random_admitted_stock,month,2025-01,30_minute_terminal,20,-52.843284882,-65.0064505735,0.5,40
strongest_one_minute_reversal,month,2025-01,15_minute_terminal,0,-19.1219022102,-14.8208043768,0.475,40
strongest_one_minute_reversal,month,2025-01,15_minute_terminal,10,-29.1219022102,-24.8208043768,0.45,40
strongest_one_minute_reversal,month,2025-01,15_minute_terminal,20,-39.1219022102,-34.8208043768,0.425,40
strongest_one_minute_reversal,month,2025-01,30_minute_terminal,0,0.186156272384,-8.94700135942,0.525,40
strongest_one_minute_reversal,month,2025-01,30_minute_terminal,10,-9.81384372762,-18.9470013594,0.5,40
strongest_one_minute_reversal,month,2025-01,30_minute_terminal,20,-19.8138437276,-28.9470013594,0.475,40
activity_system,month,2025-02,15_minute_terminal,0,64.3479760654,49.3169706407,0.5,38
activity_system,month,2025-02,15_minute_terminal,10,54.3479760654,39.3169706407,0.5,38
activity_system,month,2025-02,15_minute_terminal,20,44.3479760654,29.3169706407,0.473684210526,38
activity_system,month,2025-02,30_minute_terminal,0,44.5049107966,29.3709412284,0.421052631579,38
activity_system,month,2025-02,30_minute_terminal,10,34.5049107966,19.3709412284,0.421052631579,38
activity_system,month,2025-02,30_minute_terminal,20,24.5049107966,9.37094122843,0.421052631579,38
highest_one_minute_relative_momentum,month,2025-02,15_minute_terminal,0,-12.0428042978,-3.60668332528,0.5,38
highest_one_minute_relative_momentum,month,2025-02,15_minute_terminal,10,-22.0428042978,-13.6066833253,0.5,38
highest_one_minute_relative_momentum,month,2025-02,15_minute_terminal,20,-32.0428042978,-23.6066833253,0.5,38
highest_one_minute_relative_momentum,month,2025-02,30_minute_terminal,0,-4.90550870628,-2.62680614477,0.5,38
highest_one_minute_relative_momentum,month,2025-02,30_minute_terminal,10,-14.9055087063,-12.6268061448,0.5,38
highest_one_minute_relative_momentum,month,2025-02,30_minute_terminal,20,-24.9055087063,-22.6268061448,0.5,38
interaction_system,month,2025-02,15_minute_terminal,0,68.0857071947,61.2301863987,0.552631578947,38
interaction_system,month,2025-02,15_minute_terminal,10,58.0857071947,51.2301863987,0.552631578947,38
interaction_system,month,2025-02,15_minute_terminal,20,48.0857071947,41.2301863987,0.526315789474,38
interaction_system,month,2025-02,30_minute_terminal,0,61.6742511381,60.0648442634,0.5,38
interaction_system,month,2025-02,30_minute_terminal,10,51.6742511381,50.0648442634,0.5,38
interaction_system,month,2025-02,30_minute_terminal,20,41.6742511381,40.0648442634,0.5,38
price_system,month,2025-02,15_minute_terminal,0,-46.6852802892,-10.3958927652,0.342105263158,38
price_system,month,2025-02,15_minute_terminal,10,-56.6852802892,-20.3958927652,0.342105263158,38
