stage,model,feature_group,diagnostic,scope,value
direction,D3,absorption_interactions,assessment_permutation_brier_increase,pooled,0.00459484132854
direction,D3,absorption_interactions,mean_absolute_standardised_coefficient,pooled,0.24427076293
direction,D3,activity_timing,assessment_permutation_brier_increase,pooled,0.000920718229336
direction,D3,activity_timing,mean_absolute_standardised_coefficient,pooled,0.225924138473
direction,D3,continuation_interactions,assessment_permutation_brier_increase,pooled,0.0169898907796
direction,D3,continuation_interactions,mean_absolute_standardised_coefficient,pooled,0.235438721091
direction,D3,price_only_sequence,assessment_permutation_brier_increase,pooled,-0.000875018090778
direction,D3,price_only_sequence,mean_absolute_standardised_coefficient,pooled,0.239255263877
direction,D3,raw_activity,assessment_permutation_brier_increase,pooled,0.00597386578414
direction,D3,raw_activity,mean_absolute_standardised_coefficient,pooled,0.185027135466
direction,activity_vs_price,raw_activity,brier_improvement_by_activity_quintile,quintile_1,-0.0356109234819
direction,activity_vs_price,raw_activity,brier_improvement_by_activity_quintile,quintile_2,-0.0143903552882
direction,activity_vs_price,raw_activity,brier_improvement_by_activity_quintile,quintile_3,-0.0365442083726
direction,activity_vs_price,raw_activity,brier_improvement_by_activity_quintile,quintile_4,-0.0289286138948
direction,activity_vs_price,raw_activity,brier_improvement_by_activity_quintile,quintile_5,-0.0162992122258
onset,A3,absorption_interactions,assessment_permutation_brier_increase,pooled,0.000768337845058
onset,A3,absorption_interactions,mean_absolute_standardised_coefficient,pooled,0.140494852608
onset,A3,activity_timing,assessment_permutation_brier_increase,pooled,5.7581589956e-05
onset,A3,activity_timing,mean_absolute_standardised_coefficient,pooled,0.0602847385625
onset,A3,continuation_interactions,assessment_permutation_brier_increase,pooled,0.0114466280888
onset,A3,continuation_interactions,mean_absolute_standardised_coefficient,pooled,0.201414073659
onset,A3,price_only_sequence,assessment_permutation_brier_increase,pooled,0.00973607005318
onset,A3,price_only_sequence,mean_absolute_standardised_coefficient,pooled,0.175287849499
onset,A3,raw_activity,assessment_permutation_brier_increase,pooled,0.0233117793417
onset,A3,raw_activity,mean_absolute_standardised_coefficient,pooled,0.172108380137
onset,activity_vs_price,raw_activity,brier_improvement_by_activity_quintile,quintile_1,0.000864650972884
onset,activity_vs_price,raw_activity,brier_improvement_by_activity_quintile,quintile_2,0.000535462206117
onset,activity_vs_price,raw_activity,brier_improvement_by_activity_quintile,quintile_3,-0.00154411751999
onset,activity_vs_price,raw_activity,brier_improvement_by_activity_quintile,quintile_4,-0.00115631095759
onset,activity_vs_price,raw_activity,brier_improvement_by_activity_quintile,quintile_5,-0.00961743263337
onset,descriptive,absorption_interactions,directional_onset_rate_by_pattern_quintile,quintile_1,0.121794871795
onset,descriptive,absorption_interactions,directional_onset_rate_by_pattern_quintile,quintile_2,0.135048231511
onset,descriptive,absorption_interactions,directional_onset_rate_by_pattern_quintile,quintile_3,0.163461538462
onset,descriptive,absorption_interactions,directional_onset_rate_by_pattern_quintile,quintile_4,0.173633440514
onset,descriptive,absorption_interactions,directional_onset_rate_by_pattern_quintile,quintile_5,0.371794871795
onset,descriptive,activity_timing,directional_onset_rate_by_pattern_quintile,quintile_1,0.179487179487
onset,descriptive,activity_timing,directional_onset_rate_by_pattern_quintile,quintile_2,0.173633440514
onset,descriptive,activity_timing,directional_onset_rate_by_pattern_quintile,quintile_3,0.201923076923
onset,descriptive,activity_timing,directional_onset_rate_by_pattern_quintile,quintile_4,0.20578778135
onset,descriptive,activity_timing,directional_onset_rate_by_pattern_quintile,quintile_5,0.205128205128
onset,descriptive,continuation_interactions,directional_onset_rate_by_pattern_quintile,quintile_1,0.272435897436
onset,descriptive,continuation_interactions,directional_onset_rate_by_pattern_quintile,quintile_2,0.170418006431
onset,descriptive,continuation_interactions,directional_onset_rate_by_pattern_quintile,quintile_3,0.0929487179487
onset,descriptive,continuation_interactions,directional_onset_rate_by_pattern_quintile,quintile_4,0.167202572347
onset,descriptive,continuation_interactions,directional_onset_rate_by_pattern_quintile,quintile_5,0.262820512821
onset,descriptive,price_only_sequence,directional_onset_rate_by_pattern_quintile,quintile_1,0.125
onset,descriptive,price_only_sequence,directional_onset_rate_by_pattern_quintile,quintile_2,0.131832797428
onset,descriptive,price_only_sequence,directional_onset_rate_by_pattern_quintile,quintile_3,0.211538461538
onset,descriptive,price_only_sequence,directional_onset_rate_by_pattern_quintile,quintile_4,0.147909967846
onset,descriptive,price_only_sequence,directional_onset_rate_by_pattern_quintile,quintile_5,0.349358974359
onset,descriptive,raw_activity,directional_onset_rate_by_pattern_quintile,quintile_1,0.0833333333333
onset,descriptive,raw_activity,directional_onset_rate_by_pattern_quintile,quintile_2,0.138263665595
onset,descriptive,raw_activity,directional_onset_rate_by_pattern_quintile,quintile_3,0.144230769231
onset,descriptive,raw_activity,directional_onset_rate_by_pattern_quintile,quintile_4,0.189710610932
onset,descriptive,raw_activity,directional_onset_rate_by_pattern_quintile,quintile_5,0.410256410256
