scope,candidate,symbol,row_share,selection_share,passes
assessment_admitted_rows,all,AAL,0.00449293966624,,True
assessment_admitted_rows,all,AAOI,0.0757381258023,,True
assessment_admitted_rows,all,APLD,0.0770218228498,,True
assessment_admitted_rows,all,ASTS,0.0507060333761,,True
assessment_admitted_rows,all,CIFR,0.0616174582798,,True
assessment_admitted_rows,all,HIMS,0.0795892169448,,True
assessment_admitted_rows,all,IONQ,0.0738125802311,,True
assessment_admitted_rows,all,IREN,0.0468549422336,,True
assessment_admitted_rows,all,MARA,0.0218228498074,,True
assessment_admitted_rows,all,MP,0.0494223363286,,True
assessment_admitted_rows,all,MRNA,0.0211810012837,,True
assessment_admitted_rows,all,MSTR,0.017971758665,,True
assessment_admitted_rows,all,NVTS,0.0667522464698,,True
assessment_admitted_rows,all,QBTS,0.109756097561,,True
assessment_admitted_rows,all,RGTI,0.089216944801,,True
assessment_admitted_rows,all,RIOT,0.0288831835687,,True
assessment_admitted_rows,all,RIVN,0.00577663671374,,True
assessment_admitted_rows,all,SMCI,0.0455712451861,,True
assessment_admitted_rows,all,SOFI,0.0109114249037,,True
assessment_admitted_rows,all,WULF,0.0629011553273,,True
economic_selections,activity_system,AAL,,0.0066889632107,True
economic_selections,activity_system,AAOI,,0.0635451505017,True
economic_selections,activity_system,APLD,,0.0936454849498,True
economic_selections,activity_system,ASTS,,0.0468227424749,True
economic_selections,activity_system,CIFR,,0.0501672240803,True
economic_selections,activity_system,HIMS,,0.0869565217391,True
economic_selections,activity_system,IONQ,,0.0602006688963,True
economic_selections,activity_system,IREN,,0.0267558528428,True
economic_selections,activity_system,MARA,,0,True
economic_selections,activity_system,MP,,0.0635451505017,True
economic_selections,activity_system,MRNA,,0.0200668896321,True
economic_selections,activity_system,MSTR,,0.0066889632107,True
economic_selections,activity_system,NVTS,,0.120401337793,True
economic_selections,activity_system,QBTS,,0.137123745819,True
economic_selections,activity_system,RGTI,,0.120401337793,True
economic_selections,activity_system,RIOT,,0.0133779264214,True
economic_selections,activity_system,RIVN,,0.00334448160535,True
economic_selections,activity_system,SMCI,,0.0267558528428,True
