scope,layer,model,rows,brier,log_loss,auc,quintile,mean_realised,mean_probability
overall,burst,B0,6294,0.0874304959579,0.289283024079,0.874755859044,,,
quintile,burst,B0,1259,,,,1,0.455917394758,0.418318130303
quintile,burst,B0,1259,,,,2,0.863383637808,0.860407859453
quintile,burst,B0,1258,,,,3,0.950715421304,0.938646191474
quintile,burst,B0,1259,,,,4,0.977760127085,0.964244756846
quintile,burst,B0,1259,,,,5,0.980937251787,0.980643878591
overall,burst,B1,6294,0.0866164182675,0.28642989482,0.878608715302,,,
quintile,burst,B1,1259,,,,1,0.45194598888,0.415400261971
quintile,burst,B1,1259,,,,2,0.85941223193,0.857680296864
quintile,burst,B1,1258,,,,3,0.9586645469,0.939825549926
quintile,burst,B1,1259,,,,4,0.975377283558,0.963962476254
quintile,burst,B1,1259,,,,5,0.983320095314,0.9800115972
