model,log_loss,brier_score,auc,average_precision,expected_calibration_error,calibration_intercept,calibration_slope,base_rate,mean_probability_realised_class,top_decile_precision,top_decile_lift,top_quintile_precision,top_quintile_lift,rows,sessions,stocks,positive_outcomes
G0,0.586554288592838,0.19921835740811378,0.6114171797678417,0.3775501156943945,0.03902956393368066,-0.00819676244948869,1.2561388353336975,0.2854600290750837,0.5863315715898875,0.43818879833107954,1.535026811812676,0.39230447689257,1.3742886461676331,10265,154,20,2921
G1,0.5882774181358088,0.19995996581151315,0.6047052720032352,0.37499625741750164,0.04087865388821008,-0.11936024240400044,1.1123721437094172,0.2854600290750837,0.5855133007171979,0.4280669292056372,1.4995687157764706,0.38704476812326877,1.3558632687642076,10265,154,20,2921
G2,0.5733184199148175,0.1935618604216039,0.6584159403595221,0.43079450708137945,0.052119336014206805,-0.10987241831098284,1.235744309015496,0.2854600290750837,0.59333321611105,0.4915396140026187,1.7219209834569535,0.44737185256371464,1.5671961290455965,10265,154,20,2921
G3,0.5719294141065532,0.19307884385907204,0.6552366923691743,0.42736601882873115,0.04302907755399721,-0.1025479254186322,1.167899673466783,0.2854600290750837,0.5973467201091434,0.4761313216585904,1.6679439261647204,0.44202821722897184,1.5484767470289384,10265,154,20,2921
G4,0.5720716039288329,0.1931445516120565,0.6546299548400885,0.4268738849910899,0.043099723835675466,-0.11489600454750426,1.1501363436128724,0.2854600290750837,0.5974910029016504,0.47713094515440974,1.6714457246443823,0.4388360862874215,1.5372943375270087,10265,154,20,2921
