comparison,earlier_model,later_model,scope,group,rows,sessions,stocks,positive_outcomes,earlier_log_loss,later_log_loss,earlier_brier,later_brier,earlier_auc,later_auc,earlier_average_precision,later_average_precision,log_loss_improvement,brier_improvement,auc_improvement,average_precision_improvement,expected_calibration_error_improvement,top_decile_precision_improvement,top_quintile_precision_improvement,mean_realised_class_probability_improvement
G1-G0,G0,G1,month,2025-01,767,19,15,258,0.6018114080442655,0.6057211370713365,0.20706838334571434,0.20888435850959428,0.6681995868132004,0.6519409428458383,0.44869214699560483,0.42977135570496283,-0.003909729027070985,-0.0018159751638799349,-0.016258643967362096,-0.018920791290642003,0.01268126708091677,-0.0033195059331880272,0.009705554332233246,-0.0007497207338096334
G2-G1,G1,G2,month,2025-01,767,19,15,258,0.6057211370713365,0.5801115631885019,0.20888435850959428,0.1974956103629304,0.6519409428458383,0.7014442933442164,0.42977135570496283,0.5295529757345018,0.02560957388283458,0.01138874814666388,0.049503350498378174,0.09978162002953894,0.014928697572227652,0.02337701931945685,0.04571637906629955,0.0071148233243490955
G3-G2,G2,G3,month,2025-01,767,19,15,258,0.5801115631885019,0.5802608074488876,0.1974956103629304,0.19781548657067763,0.7014442933442164,0.6987747703471806,0.5295529757345018,0.5157284575393997,-0.00014924426038576133,-0.0003198762077472328,-0.0026695229970358225,-0.013824518195102109,0.0033192751273614304,0.007980260753482904,0.00038600491509599433,0.0023998362461422618
G4-G3,G3,G4,month,2025-01,767,19,15,258,0.5802608074488876,0.5800934596766265,0.19781548657067763,0.19777637032716341,0.6987747703471806,0.698616855392411,0.5157284575393997,0.5162700406117692,0.0001673477722611283,3.91162435142145e-05,-0.00015791495476957795,0.0005415830723695114,-0.0026195383131604327,-0.0010909318101739451,-0.00011893873479945638,0.0001470221375495795
G1-G0,G0,G1,month,2025-02,988,19,14,289,0.5814470061604851,0.5793873181042419,0.19716412664625318,0.19612272820077073,0.6446969278397998,0.6537622424793874,0.4114131581593891,0.43521704153673557,0.0020596880562431252,0.0010413984454824554,0.009065314639587596,0.023803883377346458,-0.009056088932337149,0.055905974352889354,0.009527662288641547,0.0008308229266642542
G2-G1,G1,G2,month,2025-02,988,19,14,289,0.5793873181042419,0.5618083029779198,0.19612272820077073,0.18867863835963822,0.6537622424793874,0.7037955120296899,0.43521704153673557,0.4820709556521786,0.017579015126322095,0.007444089841132512,0.05003326955030252,0.04685391411544304,-0.01454531203005048,0.01605480098461798,0.0408663012832568,0.00676489461455243
G3-G2,G2,G3,month,2025-02,988,19,14,289,0.5618083029779198,0.5611624048986863,0.18867863835963822,0.18849348065465155,0.7037955120296899,0.698201387793443,0.4820709556521786,0.470909705830472,0.0006458980792335423,0.0001851577049866715,-0.0055941242362469445,-0.011161249821706631,0.010822063604623268,0.006746624000818047,0.012437029888685058,0.0037825047979925808
G4-G3,G3,G4,month,2025-02,988,19,14,289,0.5611624048986863,0.5619873078527183,0.18849348065465155,0.18885672349219015,0.698201387793443,0.6951662670777179,0.470909705830472,0.4691979571767887,-0.0008249029540320363,-0.00036324283753860764,-0.0030351207157250926,-0.001711748653683287,0.004180461381924384,0.007060179066654126,-0.009616844308663997,-0.0003045290416230362
G1-G0,G0,G1,month,2025-03,1510,20,18,457,0.6080690742954794,0.6094506136286687,0.2089746272280404,0.20961854441050032,0.59146789746506,0.5850450688815184,0.41326352706811,0.4032544942947666,-0.0013815393331892967,-0.0006439171824599299,-0.0064228285835415955,-0.010009032773343363,-0.0007983686906353898,-0.009034306923259572,0.017606550045315805,0.004502846600179633
G2-G1,G1,G2,month,2025-03,1510,20,18,457,0.6094506136286687,0.6022294458068143,0.20961854441050032,0.20644359437544355,0.5850450688815184,0.6151202832322904,0.4032544942947666,0.4303806302092833,0.007221167821854446,0.0031749500350567728,0.030075214350771984,0.02712613591451668,0.024476206365029382,-0.033136035421506005,-0.0053232277001658,-0.0032447481962252223
G3-G2,G2,G3,month,2025-03,1510,20,18,457,0.6022294458068143,0.6047647867826814,0.20644359437544355,0.20757086443011225,0.6151202832322904,0.6072460913587319,0.4303806302092833,0.4108567365693334,-0.002535340975867162,-0.0011272700546686998,-0.007874191873558534,-0.019523893639949885,-0.00864105428699146,0.019816513383356882,-0.015242292936410329,0.001964651591012001
G4-G3,G3,G4,month,2025-03,1510,20,18,457,0.6047647867826814,0.6045831719261161,0.20757086443011225,0.20747887884421407,0.6072460913587319,0.6085189072645414,0.4108567365693334,0.4119157298757313,0.00018161485656531529,9.198558589817996e-05,0.0012728159058095212,0.0010589933063978596,-0.0007144087385955386,0.005340463374757132,-0.005051613415914646,6.487237064778384e-05
G1-G0,G0,G1,month,2025-04,1299,19,18,412,0.606826240090721,0.6129258493964734,0.2086684269741913,0.211206129471544,0.5896785524647861,0.5652582244099762,0.37639907483892865,0.35250670299135056,-0.006099609305752485,-0.0025377024973526896,-0.02442032805480987,-0.023892371847578087,-0.008893425434788549,-0.071255865549609,-0.022641802384500587,0.0007325870143126689
G2-G1,G1,G2,month,2025-04,1299,19,18,412,0.6129258493964734,0.5968926026356355,0.211206129471544,0.20428945543459842,0.5652582244099762,0.6314658138866849,0.35250670299135056,0.4180009072248693,0.01603324676083795,0.006916674036945569,0.06620758947670868,0.06549420423351876,0.009886494521957043,0.12190313414378795,0.09242663732442491,0.0029017685099895774
G3-G2,G2,G3,month,2025-04,1299,19,18,412,0.5968926026356355,0.5950608517019512,0.20428945543459842,0.2035076323548112,0.6314658138866849,0.6316247148483571,0.4180009072248693,0.4227786083509946,0.001831750933684262,0.0007818230797872194,0.0001589009616722592,0.0047777011261253,-0.004419065870323528,-0.02462738646974777,-0.002985837514905665,0.004417074610043925
G4-G3,G3,G4,month,2025-04,1299,19,18,412,0.5950608517019512,0.596645832882776,0.2035076323548112,0.2041408890030854,0.6316247148483571,0.6261387116082933,0.4227786083509946,0.4176656385712989,-0.0015849811808247294,-0.0006332566482742108,-0.005486003240063875,-0.00511296977969572,-0.006061792800577989,0.013938252184919897,0.01332268230715189,-0.0004482285170813727
G1-G0,G0,G1,month,2025-05,1264,20,18,324,0.5764616528032497,0.5838407485625715,0.19426559356080045,0.19747596609686446,0.605945885965256,0.5932685119954006,0.3611708342629067,0.3383429087522282,-0.00737909575932183,-0.0032103725360640156,-0.012677373969855354,-0.02282792551067847,-0.012098180121111121,-0.051805198007368713,-0.021592766474829328,-0.007099345498861265
G2-G1,G1,G2,month,2025-05,1264,20,18,324,0.5838407485625715,0.5648048592992969,0.19747596609686446,0.18922181500327664,0.5932685119954006,0.6607793286733437,0.3383429087522282,0.4260097130851276,0.019035889263274597,0.00825415109358782,0.06751081667794301,0.08766680433289936,-0.007574015713195867,0.10136074291722752,0.06551197126656383,0.011738941647626233
G3-G2,G2,G3,month,2025-05,1264,20,18,324,0.5648048592992969,0.5640155271969279,0.18922181500327664,0.18899033526983403,0.6607793286733437,0.6505666364471245,0.4260097130851276,0.41606735439842035,0.0007893321023689781,0.00023147973344261885,-0.010212692226219122,-0.009942358686707231,0.009006298404853882,0.008156787297321166,-0.020160649873673553,0.0038162669087311585
