comparison,earlier_model,later_model,log_loss_improvement,brier_improvement,auc_improvement,average_precision_improvement,expected_calibration_error_improvement,top_decile_precision_improvement,top_quintile_precision_improvement,mean_realised_class_probability_improvement
G1-G0,G0,G1,-0.0017231295429708249,-0.0007416084033993742,-0.006711907764606506,-0.002553858276892862,-0.001849089954529426,-0.010121869125442329,-0.005259708769301208,-0.0008182708726895971
G2-G1,G1,G2,0.014958998220991337,0.006398105389909259,0.053710668356286906,0.05579824966387781,-0.011240682125996722,0.06347268479698148,0.06032708444044588,0.007819915393852184
G3-G2,G2,G3,0.0013890058082642875,0.0004830165625318572,-0.0031792479903478554,-0.0034284882526482985,0.009090258460209596,-0.015408292344028296,-0.005343635334742802,0.004013503998093304
G4-G3,G3,G4,-0.00014218982227975907,-6.570775298445075e-05,-0.000606737529085799,-0.0004921338376412399,-7.06462816782577e-05,0.000999623495819335,-0.003192130941550353,0.00014428279250700005
