period,model_id,class,precision,recall,f1,support,predicted_rows
2025,M0_clock_prior,long,0.0,0.0,0.0,2364,0
2025,M0_clock_prior,neutral,0.5033112582781457,1.0,0.6696035242290749,4940,9815
2025,M0_clock_prior,short,0.0,0.0,0.0,2511,0
2025,M1_price_context,long,0.2951388888888889,0.03595600676818951,0.0641025641025641,2364,288
2025,M1_price_context,neutral,0.5119190160008708,0.9520242914979757,0.6658172294188434,4940,9187
2025,M1_price_context,short,0.3,0.04062126642771804,0.0715538407576289,2511,340
2025,M2_price_plus_activity,long,0.3064516129032258,0.04018612521150592,0.07105459985041136,2364,310
2025,M2_price_plus_activity,neutral,0.5109289617486339,0.9463562753036437,0.6635911994322214,4940,9150
2025,M2_price_plus_activity,short,0.28732394366197184,0.04062126642771804,0.07117934403349616,2511,355
2026,M0_clock_prior,long,0.0,0.0,0.0,1214,0
2026,M0_clock_prior,neutral,0.4950011108642524,1.0,0.6622083519096448,2228,4501
2026,M0_clock_prior,short,0.0,0.0,0.0,1059,0
2026,M1_price_context,long,0.2222222222222222,0.008237232289950576,0.015885623510722795,1214,45
2026,M1_price_context,neutral,0.49412562132851334,0.9815978456014363,0.6573489630297565,2228,4426
2026,M1_price_context,short,0.16666666666666666,0.004721435316336166,0.009182736455463728,1059,30
2026,M2_price_plus_activity,long,0.22448979591836735,0.009060955518945634,0.01741884402216944,1214,49
2026,M2_price_plus_activity,neutral,0.49445324881141045,0.9802513464991023,0.6573363431151241,2228,4417
2026,M2_price_plus_activity,short,0.2857142857142857,0.009442870632672332,0.018281535648994516,1059,35
