period,model_id,opportunities,directional_outputs,directional_coverage,mean_net_per_directional_bps,mean_net_per_opportunity_bps,directional_precision,long_outputs,long_precision,short_outputs,short_precision,sessions,stocks,same_bar_ambiguous_rate
2025,M0_clock_prior,9815,1470,0.1497707590422822,-23.818043185999443,-3.5672464068689944,0.22108843537414966,56,0.10714285714285714,1414,0.2256011315417256,103,20,0.0
2025,M1_price_context,9815,4440,0.45236882322975036,-14.856093402728488,-6.720433490383543,0.24414414414414415,1875,0.2592,2565,0.2331384015594542,250,20,0.0
2025,M2_price_plus_activity,9815,4545,0.4630667345899134,-12.333841938763907,-5.711391911531528,0.24818481848184817,1927,0.2599896211728075,2618,0.23949579831932774,250,20,0.0
2026,M0_clock_prior,4501,85,0.01888469229060209,-128.36527063187037,-2.4241386366827333,0.11764705882352941,85,0.11764705882352941,0,,5,19,0.0
2026,M1_price_context,4501,2228,0.4950011108642524,-19.378342729315378,-9.592301177719321,0.23159784560143626,1439,0.2453092425295344,789,0.20659062103929024,122,19,0.0
2026,M2_price_plus_activity,4501,2298,0.5105532103976894,-17.634017630474872,-9.003104313448402,0.23455178416013925,1527,0.24688932547478717,771,0.21011673151750973,122,19,0.0
