run_id,period,session,episode_id,pair,loop,orientation,regime,component,source_artifact,source_hash,lag_sessions,paired_rows,rank_correlation,median_current,median_future,raw_fill_weighting_used
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,all_pairs,all_loops,all_orientations,all_regimes,common,session_regime_loop_orientation_panel.parquet,8bbc9c8eb5b08cc6cca834ae5387c2f29beeeb4bee6adc46a4f1a5cea15b73b7,1,249,0.0117446606081,-6.3510460222,-6.3510460222,False
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,all_pairs,all_loops,all_orientations,all_regimes,common,session_regime_loop_orientation_panel.parquet,8bbc9c8eb5b08cc6cca834ae5387c2f29beeeb4bee6adc46a4f1a5cea15b73b7,2,248,0.0534218839922,-6.72663114508,-6.72663114508,False
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,all_pairs,all_loops,all_orientations,all_regimes,common,session_regime_loop_orientation_panel.parquet,8bbc9c8eb5b08cc6cca834ae5387c2f29beeeb4bee6adc46a4f1a5cea15b73b7,3,247,-0.0368059661676,-6.3510460222,-6.3510460222,False
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,all_pairs,all_loops,all_orientations,all_regimes,loop_excess,session_regime_loop_orientation_panel.parquet,8bbc9c8eb5b08cc6cca834ae5387c2f29beeeb4bee6adc46a4f1a5cea15b73b7,1,1401,0.01697475728,0,0,False
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,all_pairs,all_loops,all_orientations,all_regimes,loop_excess,session_regime_loop_orientation_panel.parquet,8bbc9c8eb5b08cc6cca834ae5387c2f29beeeb4bee6adc46a4f1a5cea15b73b7,2,1381,0.0105868905724,0,0,False
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,all_pairs,all_loops,all_orientations,all_regimes,loop_excess,session_regime_loop_orientation_panel.parquet,8bbc9c8eb5b08cc6cca834ae5387c2f29beeeb4bee6adc46a4f1a5cea15b73b7,3,1379,0.00104588765132,0,0,False
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,all_pairs,all_loops,all_orientations,all_regimes,regime,session_regime_loop_orientation_panel.parquet,8bbc9c8eb5b08cc6cca834ae5387c2f29beeeb4bee6adc46a4f1a5cea15b73b7,1,1004,0.0410685198357,0,0,False
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,all_pairs,all_loops,all_orientations,all_regimes,regime,session_regime_loop_orientation_panel.parquet,8bbc9c8eb5b08cc6cca834ae5387c2f29beeeb4bee6adc46a4f1a5cea15b73b7,2,990,-0.0200206695746,0,0,False
profitable-loop-episode-anatomy-v1-frozen-run,2023,all_sessions,all_episodes,all_pairs,all_loops,all_orientations,all_regimes,regime,session_regime_loop_orientation_panel.parquet,8bbc9c8eb5b08cc6cca834ae5387c2f29beeeb4bee6adc46a4f1a5cea15b73b7,3,999,-0.0522162466359,0,0,False
profitable-loop-episode-anatomy-v1-frozen-run,2025,all_sessions,all_episodes,all_pairs,all_loops,all_orientations,all_regimes,common,session_regime_loop_orientation_panel.parquet,8bbc9c8eb5b08cc6cca834ae5387c2f29beeeb4bee6adc46a4f1a5cea15b73b7,1,249,0.0314807617567,3.29742039676,3.58197930268,False
