model_name,hindsight_positive_episodes,episodes_detected,fraction_hindsight_positive_episodes_detected,mean_activation_delay_sessions,median_activation_delay_sessions,mean_termination_delay_sessions,detected_change_points,false_change_points,operational_state_transitions,mean_fraction_episode_captured_after_activation,net_payoff_captured_after_activation_bps,net_payoff_missed_before_activation_bps,loss_incurred_during_decaying_bps,detection_lag_ratio
v1_60_session_selector,215,127,0.5906976744186047,2.354330708661417,0.0,13.533678756476684,301,198,301,0.7928973607852535,48349.268754049495,47658.98683865978,0.0,0.14575954405383235
ewma_short_memory,215,15,0.06976744186046512,24.333333333333332,11.0,10.491978609625669,0,0,318,0.2793583565796274,982.8261129067885,95025.42947980246,-32795.2857288261,0.589653660857587
payoff_only_change_point,215,24,0.11162790697674418,8.25,5.5,16.783625730994153,537,275,509,0.3258931688272529,3114.6993393632365,92893.55625334602,-4520.708273879727,0.49827012858031267
hierarchical_payoff_history_change_point,215,54,0.25116279069767444,9.24074074074074,4.0,9.941489361702128,568,471,1025,0.23740657187370673,580.4425021263306,95427.81309058295,-16455.187163772098,0.4284021591870537
hierarchical_change_point,215,47,0.2186046511627907,10.446808510638299,4.0,10.610810810810811,568,471,956,0.205986801857467,-357.06230625055997,96365.31789895984,-11430.717232406767,0.49317463291716507
