model_name,hindsight_positive_episodes,episodes_detected,fraction_hindsight_positive_episodes_detected,mean_activation_delay_sessions,median_activation_delay_sessions,mean_termination_delay_sessions,detected_change_points,false_change_points,mean_fraction_episode_captured_after_activation,net_payoff_captured_after_activation_bps,net_payoff_missed_before_activation_bps,loss_incurred_during_decaying_bps,detection_lag_ratio
v1_60_session_selector,215,127,0.5906976744186047,2.354330708661417,0.0,13.533678756476684,301,198,0.7928973607852535,48349.268754049495,47658.98683865978,0.0,0.14575954405383235
ewma_short_memory,215,15,0.06976744186046512,24.333333333333332,11.0,10.491978609625669,318,174,0.2793583565796274,982.8261129067885,95025.42947980246,-32795.2857288261,0.589653660857587
payoff_only_change_point,215,24,0.11162790697674418,8.25,5.5,16.783625730994153,1015,540,0.3258931688272529,3114.6993393632365,92893.55625334602,-4520.708273879727,0.49827012858031267
hierarchical_change_point,215,41,0.19069767441860466,8.048780487804878,4.0,10.475675675675676,1267,872,0.23351301227858798,218.89716472040186,95789.35842798885,-10511.806413992681,0.4899156385676229
