model_name,dimension,value,opportunities,accepted_signals,accepted_trades,gross_pnl_bps,total_cost_bps,net_pnl_bps,mean_net_trade_bps,hit_rate
payoff_only_change_point,stock,RIVN,436,14,14,775.0704162606237,140.0,635.0704162606237,45.36217259004455,0.35714285714285715
payoff_only_change_point,stock,SMCI,428,12,12,569.164316444778,120.0,449.16431644477797,37.4303597037315,0.5833333333333334
payoff_only_change_point,stock,SOFI,411,20,19,-760.3647523170765,190.0,-950.3647523170765,-50.01919749037245,0.42105263157894735
payoff_only_change_point,stock,WULF,713,14,14,-1782.1701773739107,140.0,-1922.170177373911,-137.29786981242222,0.5
payoff_only_change_point,state_change_phase,after_change_1_3,1474,71,70,1186.0782697474901,700.0,486.0782697474899,6.943975282106999,0.4714285714285714
payoff_only_change_point,state_change_phase,change_session,680,11,11,-909.8762986834386,110.0,-1019.8762986834386,-92.71602715303987,0.36363636363636365
payoff_only_change_point,state_change_phase,other,8228,258,243,11344.556159329122,2430.0,8914.556159329122,36.68541629353548,0.4897119341563786
v1_60_session_selector,year,2023,5120,2450,2342,26349.34300689319,23420.0,2929.3430068931884,1.250786937187527,0.4713919726729291
v1_60_session_selector,year,2025,5262,1964,1888,18854.353216834614,18880.0,-25.64678316538493,-0.013584101252852188,0.4867584745762712
v1_60_session_selector,month,2023-03,51,25,23,6491.469948853673,230.0,6261.469948853673,272.2378238632032,0.6521739130434783
v1_60_session_selector,month,2023-04,480,271,264,4731.914741370735,2640.0,2091.914741370735,7.923919474889148,0.49242424242424243
v1_60_session_selector,month,2023-05,572,317,297,21923.54599135855,2970.0,18953.545991358555,63.816653169557426,0.5521885521885522
v1_60_session_selector,month,2023-06,632,388,370,-6147.811550952598,3700.0,-9847.8115509526,-26.615706894466484,0.43513513513513513
v1_60_session_selector,month,2023-07,581,190,180,907.4718014270125,1800.0,-892.5281985729882,-4.958489992072157,0.5055555555555555
v1_60_session_selector,month,2023-08,635,256,249,4918.6827479941,2490.0,2428.6827479941003,9.753745975879921,0.5060240963855421
v1_60_session_selector,month,2023-09,488,210,196,-6284.636392081224,1960.0,-8244.636392081222,-42.0644713881695,0.35714285714285715
v1_60_session_selector,month,2023-10,563,312,297,-3499.4129537035424,2970.0,-6469.4129537035415,-21.782535197655022,0.45454545454545453
v1_60_session_selector,month,2023-11,567,244,239,-498.6736679504738,2390.0,-2888.673667950474,-12.086500702721647,0.41841004184100417
v1_60_session_selector,month,2023-12,551,237,227,3806.7923405769525,2270.0,1536.7923405769532,6.770010310911688,0.4933920704845815
v1_60_session_selector,month,2025-04,670,313,305,12089.394146134007,3050.0,9039.394146134007,29.637357856177072,0.5442622950819672
v1_60_session_selector,month,2025-05,575,220,212,-9529.914078710852,2120.0,-11649.914078710852,-54.95242489957949,0.44339622641509435
v1_60_session_selector,month,2025-06,563,219,201,1885.8194606280108,2010.0,-124.18053937198943,-0.6178136287163652,0.4975124378109453
v1_60_session_selector,month,2025-07,565,141,137,-568.3014490093151,1370.0,-1938.3014490093146,-14.148185759192078,0.4233576642335766
v1_60_session_selector,month,2025-08,486,85,80,1927.1291505331442,800.0,1127.1291505331446,14.089114381664308,0.55
v1_60_session_selector,month,2025-09,548,200,194,5051.623396873638,1940.0,3111.623396873638,16.03929586017339,0.4639175257731959
v1_60_session_selector,month,2025-10,672,237,227,-983.8455748833908,2270.0,-3253.8455748833903,-14.334121475257225,0.4713656387665198
v1_60_session_selector,month,2025-11,618,265,252,7875.866981277783,2520.0,5355.8669812777825,21.25344040189596,0.5158730158730159
v1_60_session_selector,month,2025-12,565,284,280,1106.5811839915877,2800.0,-1693.418816008414,-6.047924342887193,0.4642857142857143
v1_60_session_selector,loop,cycle_01,72,15,14,-279.08798236883854,140.0,-419.0879823688386,-29.93485588348847,0.42857142857142855
v1_60_session_selector,loop,cycle_02,37,0,0,0.0,0.0,0.0,,
v1_60_session_selector,loop,cycle_04,248,208,203,5769.395723735612,2030.0,3739.395723735612,18.4206685898306,0.5123152709359606
v1_60_session_selector,loop,cycle_05,255,155,149,4591.752967814657,1490.0,3101.7529678146566,20.817134012178904,0.5167785234899329
v1_60_session_selector,loop,cycle_06,5302,1707,1641,8695.450412989268,16410.0,-7714.54958701073,-4.7011271096957525,0.46617915904936014
v1_60_session_selector,loop,cycle_07,2177,1243,1190,15800.603864593508,11900.0,3900.6038645935096,3.277818373607991,0.48739495798319327
v1_60_session_selector,loop,cycle_08,68,1,1,-321.8842583194248,10.0,-331.8842583194248,-331.8842583194248,0.0
v1_60_session_selector,loop,cycle_09,246,180,175,2064.711885175201,1750.0,314.71188517520113,1.798353629572578,0.4742857142857143
v1_60_session_selector,loop,cycle_10,31,0,0,0.0,0.0,0.0,,
v1_60_session_selector,loop,cycle_11,451,190,184,4379.463453085678,1840.0,2539.4634530856774,13.801431810248246,0.483695652173913
v1_60_session_selector,loop,cycle_13,1488,715,673,4503.290157022132,6730.0,-2226.709842977867,-3.308632753310352,0.4739970282317979
v1_60_session_selector,loop,cycle_20,7,0,0,0.0,0.0,0.0,,
v1_60_session_selector,orientation,state_0,255,155,149,4591.752967814657,1490.0,3101.7529678146566,20.817134012178904,0.5167785234899329
v1_60_session_selector,orientation,state_1,103,14,13,-46.17664622256549,130.0,-176.1766462225655,-13.552049709428115,0.46153846153846156
v1_60_session_selector,orientation,state_2,41,22,18,202.67948864303042,180.0,22.679488643030567,1.259971591279476,0.4444444444444444
v1_60_session_selector,orientation,state_3,72,20,19,1586.3782112496317,190.0,1396.3782112496317,73.49359006577009,0.47368421052631576
v1_60_session_selector,orientation,state_4,2229,1451,1394,9997.995601144492,13940.0,-3942.0043988555044,-2.827836728016861,0.4727403156384505
v1_60_session_selector,orientation,state_5,2304,1507,1429,25364.198820202448,14290.0,11074.198820202451,7.749614289854759,0.489853044086774
v1_60_session_selector,orientation,state_6,4264,712,692,-1556.9098202486348,6920.0,-8476.909820248635,-12.249869682440224,0.4725433526011561
v1_60_session_selector,orientation,state_7,1114,533,516,5063.777601144746,5160.0,-96.22239885525414,-0.18647751716134522,0.45930232558139533
v1_60_session_selector,sector,unavailable,10382,4414,4230,45203.6962237278,42300.0,2903.6962237277985,0.6864530079734749,0.4782505910165485
v1_60_session_selector,stock,AAL,292,128,123,-985.9768109181662,1230.0,-2215.9768109181664,-18.016071633481026,0.43089430894308944
v1_60_session_selector,stock,AAOI,536,215,208,4573.748101583512,2080.0,2493.748101583512,11.989173565305347,0.5528846153846154
v1_60_session_selector,stock,APLD,614,285,276,10713.877598318193,2760.0,7953.877598318193,28.81839709535577,0.5108695652173914
v1_60_session_selector,stock,ASTS,494,208,200,9733.994784515895,2000.0,7733.994784515894,38.66997392257947,0.54
v1_60_session_selector,stock,CIFR,667,269,256,8963.585830066604,2560.0,6403.585830066604,25.014007148697672,0.47265625
v1_60_session_selector,stock,HIMS,477,256,246,-4234.026600311445,2460.0,-6694.026600311445,-27.211490245168473,0.4268292682926829
v1_60_session_selector,stock,IONQ,546,239,234,-3290.7235572982813,2340.0,-5630.723557298282,-24.062921185035393,0.44017094017094016
v1_60_session_selector,stock,IREN,641,272,260,9808.12586088842,2600.0,7208.125860888422,27.723561003417007,0.49615384615384617
v1_60_session_selector,stock,MARA,526,200,192,-2353.536234650355,1920.0,-4273.536234650355,-22.258001222137267,0.4739583333333333
v1_60_session_selector,stock,MP,459,186,177,6070.816988482617,1770.0,4300.8169884826175,24.298401064873545,0.5423728813559322
v1_60_session_selector,stock,MRNA,402,172,166,2718.5024193195236,1660.0,1058.5024193195236,6.376520598310383,0.4879518072289157
v1_60_session_selector,stock,MSTR,400,163,160,-3519.650880194119,1600.0,-5119.650880194119,-31.997818001213243,0.4625
v1_60_session_selector,stock,NVTS,505,233,221,3174.667739907881,2210.0,964.6677399078792,4.365012397773209,0.4796380090497738
v1_60_session_selector,stock,QBTS,645,303,285,-1854.41433556231,2850.0,-4704.41433556231,-16.5067169668853,0.45614035087719296
v1_60_session_selector,stock,RGTI,651,244,227,1451.719521295036,2270.0,-818.2804787049625,-3.6047598180835356,0.4889867841409692
v1_60_session_selector,stock,RIOT,539,212,199,877.7462170381186,1990.0,-1112.253782961881,-5.5892149897581955,0.457286432160804
v1_60_session_selector,stock,RIVN,436,174,172,7103.3475472854225,1720.0,5383.3475472854225,31.298532251659434,0.5
v1_60_session_selector,stock,SMCI,428,195,188,840.6648988118452,1880.0,-1039.3351011881546,-5.5283781978093325,0.4521276595744681
v1_60_session_selector,stock,SOFI,411,182,174,-2395.5705488575068,1740.0,-4135.570548857507,-23.767646832514405,0.43103448275862066
v1_60_session_selector,stock,WULF,713,278,266,-2193.2023159930823,2660.0,-4853.202315993083,-18.2451214886958,0.45864661654135336
v1_60_session_selector,state_change_phase,after_change_1_3,1474,532,513,-7732.948008247976,5130.0,-12862.948008247977,-25.073972725629584,0.4580896686159844
v1_60_session_selector,state_change_phase,change_session,680,244,239,-5596.407795468003,2390.0,-7986.407795468005,-33.4159321986109,0.47280334728033474
v1_60_session_selector,state_change_phase,other,8228,3638,3478,58533.05202744379,34780.0,23753.052027443773,6.829514671490447,0.4815986198964922
