model_name,scope,probability_bin_lower,probability_bin_upper,rows,mean_probability,observed_positive_rate,absolute_calibration_error
v1_60_session_selector,pooled,0.0,0.1,1494,0.0010000000000000002,0.45917001338688085,0.45817001338688085
v1_60_session_selector,pooled,0.9,1.0,1307,0.9990000000000001,0.4797245600612089,0.5192754399387912
v1_60_session_selector,2025,0.0,0.1,795,0.0010000000000000002,0.4742138364779874,0.4732138364779874
v1_60_session_selector,2025,0.9,1.0,586,0.999,0.5170648464163823,0.4819351535836177
v1_60_session_selector,2023,0.0,0.1,699,0.0010000000000000002,0.44206008583690987,0.44106008583690987
v1_60_session_selector,2023,0.9,1.0,721,0.999,0.44937586685159503,0.549624133148405
ewma_short_memory,pooled,0.0,0.1,120,0.06403987935283541,0.4666666666666667,0.4026267873138313
ewma_short_memory,pooled,0.1,0.2,247,0.1541672243494806,0.44534412955465585,0.29117690520517525
ewma_short_memory,pooled,0.2,0.30000000000000004,294,0.24987942195291854,0.4557823129251701,0.20590289097225153
ewma_short_memory,pooled,0.30000000000000004,0.4,353,0.348654762213488,0.5042492917847026,0.15559452957121456
ewma_short_memory,pooled,0.4,0.5,379,0.45040721314883453,0.49340369393139843,0.042996480782563906
ewma_short_memory,pooled,0.5,0.6000000000000001,419,0.547167911839131,0.4701670644391408,0.07700084739999025
ewma_short_memory,pooled,0.6000000000000001,0.7000000000000001,372,0.6484218446686931,0.43548387096774194,0.2129379737009512
ewma_short_memory,pooled,0.7000000000000001,0.8,294,0.749064360946288,0.46938775510204084,0.2796766058442472
ewma_short_memory,pooled,0.8,0.9,224,0.8469525702146968,0.47767857142857145,0.3692739987861254
ewma_short_memory,pooled,0.9,1.0,99,0.9427386031654531,0.4444444444444444,0.4982941587210087
ewma_short_memory,2025,0.0,0.1,52,0.06691808005724155,0.5384615384615384,0.4715434584042969
ewma_short_memory,2025,0.1,0.2,141,0.15358984132681897,0.45390070921985815,0.3003108678930392
ewma_short_memory,2025,0.2,0.30000000000000004,127,0.24640671152477253,0.4251968503937008,0.17879013886892828
ewma_short_memory,2025,0.30000000000000004,0.4,143,0.3467382737140406,0.5104895104895105,0.16375123677546993
ewma_short_memory,2025,0.4,0.5,138,0.452436667567932,0.5869565217391305,0.1345198541711985
ewma_short_memory,2025,0.5,0.6000000000000001,189,0.5481527433449827,0.47619047619047616,0.07196226715450649
ewma_short_memory,2025,0.6000000000000001,0.7000000000000001,198,0.6479174006564291,0.494949494949495,0.15296790570693414
ewma_short_memory,2025,0.7000000000000001,0.8,180,0.7479346014654378,0.4777777777777778,0.27015682368766
ewma_short_memory,2025,0.8,0.9,140,0.8484676504737209,0.5071428571428571,0.34132479333086374
ewma_short_memory,2025,0.9,1.0,73,0.944629061245082,0.4794520547945205,0.4651770064505614
ewma_short_memory,2023,0.0,0.1,68,0.06183890234358365,0.4117647058823529,0.3499258035387693
ewma_short_memory,2023,0.1,0.2,106,0.15493525270981356,0.4339622641509434,0.27902701144112985
ewma_short_memory,2023,0.2,0.30000000000000004,167,0.25252034545216734,0.47904191616766467,0.22652157071549733
ewma_short_memory,2023,0.30000000000000004,0.4,210,0.34995979962025464,0.5,0.15004020037974536
ewma_short_memory,2023,0.4,0.5,241,0.4492451189171522,0.43983402489626555,0.009411094020886634
ewma_short_memory,2023,0.5,0.6000000000000001,230,0.546358637253888,0.4652173913043478,0.0811412459495402
ewma_short_memory,2023,0.6000000000000001,0.7000000000000001,174,0.6489958671654074,0.367816091954023,0.2811797752113844
ewma_short_memory,2023,0.7000000000000001,0.8,114,0.7508481917055254,0.45614035087719296,0.29470784082833246
ewma_short_memory,2023,0.8,0.9,84,0.8444274364496568,0.42857142857142855,0.41585600787822824
ewma_short_memory,2023,0.9,1.0,26,0.9374307785572645,0.34615384615384615,0.5912769324034184
payoff_only_change_point,pooled,0.0,0.1,401,0.02975760826974003,0.5012468827930174,0.4714892745232774
payoff_only_change_point,pooled,0.1,0.2,268,0.15034897872609887,0.41044776119402987,0.260098782467931
payoff_only_change_point,pooled,0.2,0.30000000000000004,271,0.24810894154066504,0.4280442804428044,0.17993533890213936
payoff_only_change_point,pooled,0.30000000000000004,0.4,241,0.3480320636769454,0.5352697095435685,0.18723764586662306
payoff_only_change_point,pooled,0.4,0.5,251,0.4493872605804728,0.47410358565737054,0.02471632507689775
payoff_only_change_point,pooled,0.5,0.6000000000000001,265,0.5509228002423332,0.4679245283018868,0.0829982719404464
payoff_only_change_point,pooled,0.6000000000000001,0.7000000000000001,254,0.6500794295425502,0.5275590551181102,0.12252037442443997
payoff_only_change_point,pooled,0.7000000000000001,0.8,230,0.7485612075508327,0.4652173913043478,0.28334381624648486
payoff_only_change_point,pooled,0.8,0.9,244,0.8525300206267304,0.4713114754098361,0.38121854521689436
payoff_only_change_point,pooled,0.9,1.0,376,0.9654946096704403,0.42021276595744683,0.5452818437129935
payoff_only_change_point,2025,0.0,0.1,194,0.023846872119393386,0.5257731958762887,0.5019263237568953
