period,statistic,estimate,draws,seed,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
assessment,m1c_bottom_tail_remains_below_iv_rate,0.9013513513513515,100,2026072751,0.8825323586661553,0.9167961244056486,0.874146371857865,0.9229525961561824,0.8726258794316456,0.9294312084823709
assessment,bottom_tail_npv_lift,0.16892016574470836,100,2026072751,0.1500889223833568,0.1856063787723173,0.14253167679770976,0.19214426873611193,0.13882238745419798,0.19326270007040594
assessment,mean_terminal_iv_residual,-0.005592884050811417,100,2026072751,-0.006011699623401322,-0.005198015304397054,-0.006098119571065179,-0.005146941099728247,-0.006275988925058438,-0.005073721096891103
assessment,median_terminal_iv_residual,-0.005576454074799081,100,2026072751,-0.005891440714226875,-0.00518868140457341,-0.0059892046234989935,-0.005062680035671435,-0.00627525168214532,-0.004992278761458119
assessment,mean_terminal_absolute_movement,0.00420432670541733,100,2026072751,0.003933710781928081,0.004546582980451495,0.0038297686405292463,0.0046211160415910585,0.0038077437025876297,0.004663449916399154
assessment,p95_terminal_absolute_movement,0.011844036176253923,100,2026072751,0.010862832658763982,0.013538917270574408,0.010474051391851927,0.014087300319809258,0.009850402070180108,0.014349743935065384
assessment,breach_1_5_sigma_rate,0.029729729729729735,100,2026072751,0.018176746544947386,0.04142921769220391,0.015526873898695795,0.044617680884889904,0.013770728190338862,0.0494890914389653
assessment,breach_2_0_sigma_rate,0.012162162162162163,100,2026072751,0.00828479965566869,0.01819849874895747,0.006343419549074341,0.02172138177077973,0.005085934248518641,0.02410382905523222
assessment,m1c_minus_m0_remains_below_iv_difference,0.06275486012328113,100,2026072751,0.043710347952889826,0.08319802838715895,0.03887496074199109,0.08626540092355299,0.028928947951927478,0.08941980409418712
assessment,m1c_minus_m0_mean_residual_difference,-0.0012851250534002216,100,2026072751,-0.0016016858965205738,-0.0009544012720672285,-0.0017012743567897252,-0.0008957769058367392,-0.001823013511458575,-0.0008611354611045203
assessment,m1c_minus_m0_1_5_sigma_breach_difference,-0.027287814129919406,100,2026072751,-0.03607809515432797,-0.014096155302304488,-0.039787441216442836,-0.012973966623616509,-0.04015332799668358,-0.01203142703816658
assessment,fresh_quiet_episode_remains_below_iv_rate,0.8701298701298702,100,2026072751,0.840655450821302,0.8879414702944116,0.8327974276527331,0.8960329301715289,0.8267929260031265,0.907253829997529
assessment,fresh_quiet_episode_mean_residual,-0.004526337249831174,100,2026072751,-0.004883530264830227,-0.0041805926280973306,-0.004948749044023449,-0.004103081330034256,-0.004985585485655176,-0.00390781036161668
assessment,fresh_episode_1_5_sigma_breach_difference_vs_full,-0.10587374591680299,100,2026072751,-0.12113609564512894,-0.09049661539613169,-0.1235985940136986,-0.0865665297989344,-0.12434453952359903,-0.08121035940396538
stress,m1c_bottom_tail_remains_below_iv_rate,0.9151472650771388,100,2026072752,0.9030458820968924,0.9289432350660273,0.899062840075704,0.9305960547343907,0.8946696813097482,0.934127714889238
stress,bottom_tail_npv_lift,0.18011568034766878,100,2026072752,0.1662921881692247,0.1923960999211818,0.16005877417003075,0.19550017445700937,0.15045546081218886,0.19660507521961024
stress,mean_terminal_iv_residual,-0.00494157021493227,100,2026072752,-0.00526737488654413,-0.004612945645289746,-0.005336825733288635,-0.004499370525627006,-0.005415247788415859,-0.004458145634771871
stress,median_terminal_iv_residual,-0.004707072484970976,100,2026072752,-0.00500126468443128,-0.004457133868474643,-0.005088624000581467,-0.004365875559000844,-0.0051317710550024915,-0.004352230515386744
stress,mean_terminal_absolute_movement,0.004090338427251603,100,2026072752,0.0038839224511706687,0.004383745796472557,0.0037828588877812023,0.0044560529756359855,0.0037410604192858127,0.0045010606300642415
stress,p95_terminal_absolute_movement,0.01110261922911097,100,2026072752,0.010386745744867984,0.011918875478068611,0.010144183221640754,0.012448991622868284,0.010041964722896903,0.012554463355818097
stress,breach_1_5_sigma_rate,0.011921458625525946,100,2026072752,0.006629291276373651,0.01642163488945814,0.005339385948691582,0.017708727982131252,0.004894066695192812,0.018146277590722036
stress,breach_2_0_sigma_rate,0.002805049088359046,100,2026072752,0.0008192081169644122,0.004823364465207416,0.0005588235294117648,0.005157233518694745,0.0,0.005900364702875822
stress,m1c_minus_m0_remains_below_iv_difference,0.08963196214147351,100,2026072752,0.07598621480906681,0.10014275973526233,0.07114295789103141,0.10325660493337419,0.070588132968157,0.10896755171928232
stress,m1c_minus_m0_mean_residual_difference,-0.0008695325024998491,100,2026072752,-0.0010971638815606636,-0.0006100801992310096,-0.001159535017887533,-0.0005921761001252882,-0.0012017776792208426,-0.0004971360710078306
stress,m1c_minus_m0_1_5_sigma_breach_difference,-0.04669815411651029,100,2026072752,-0.05495874862207257,-0.037447318051825565,-0.057207883759277364,-0.03561056931089392,-0.05867576274759076,-0.0337680674905166
stress,fresh_quiet_episode_remains_below_iv_rate,0.8983364140480592,100,2026072752,0.8862193748701747,0.9139232270657125,0.8817478088414049,0.9198203712840753,0.8794168572200513,0.9255999685704023
stress,fresh_quiet_episode_mean_residual,-0.004569717002957511,100,2026072752,-0.00486359820827501,-0.004322301437197228,-0.004902958518047271,-0.0042388211366605946,-0.004923202977393761,-0.004198930575336745
stress,fresh_episode_1_5_sigma_breach_difference_vs_full,-0.11275473915990805,100,2026072752,-0.12583890856016222,-0.09566085501012657,-0.12977003278340318,-0.09090771775322264,-0.13355246240017288,-0.08450667624675164
