period,population,horizon_minutes,sigma_boundary,rows,sessions,stocks,containment_rate,one_sided_breach_rate,two_sided_breach_rate,any_breach_rate,mean_distance_beyond_boundary_when_breached,median_distance_beyond_boundary_when_breached,maximum_breach,mean_time_to_breach_minutes,median_time_to_breach_minutes,breach_mean_reverted_rate,up_breach_rate,down_breach_rate,both_breach_rate
assessment,full_checkpoint_population,15,1.0,13914,154,20,0.6364908503767492,0.35575888051668464,0.0077502691065662,0.3635091496232508,0.0058100018470350736,0.0037507691643299027,0.07055396826878849,10.291044460425569,10.0,0.49964042472185793,0.19062483981752013,0.17130555128402278,0.00157875852170793
assessment,full_checkpoint_population,15,1.5,13914,154,20,0.8616587216156646,0.13740837562150804,0.0009329027628274131,0.13834127838433546,0.006114360568715402,0.003640841564356502,0.06441438662301616,11.339064063136833,10.0,0.5302160139316017,0.07540622276897843,0.06279153211338358,0.00014352350197344816
assessment,full_checkpoint_population,15,2.0,13914,154,20,0.9472909939002513,0.052709006099748844,0.0,0.052709006099748844,0.00707602722822417,0.0039038252273823296,0.06002094015238943,11.72226004084411,10.0,0.5119128658951667,0.03074991029781127,0.02195909580193757,0.0
assessment,full_checkpoint_population,30,1.0,13910,154,20,0.6589620271337306,0.33525949321656745,0.005778479649702105,0.3410379728662696,0.007800716970060341,0.005061312193360267,0.10874043820244411,18.18451754517846,20.0,0.5130198153772138,0.17741009259923912,0.16319718613164888,0.00043069413538152334
assessment,full_checkpoint_population,30,1.5,13910,154,20,0.8771086067044722,0.12260426387194032,0.0002871294235876822,0.122891393295528,0.008283824187409866,0.005092303197651613,0.09898876850883848,20.53446261682243,20.0,0.5420560747663552,0.06507070562055849,0.05760534060727875,0.00021534706769076167
assessment,full_checkpoint_population,30,2.0,13910,154,20,0.9537721628023833,0.04622783719761684,0.0,0.04622783719761684,0.009435595113438638,0.005617091757084525,0.08923709881523283,21.40916149068323,25.0,0.5108695652173911,0.025913430478788323,0.020314406718828518,0.0
assessment,full_checkpoint_population,60,1.0,11132,154,20,0.6637355740287688,0.33173649626621926,0.004527929705012106,0.33626442597123135,0.01027603425562548,0.006548162486823004,0.10822959456917856,33.372916865060475,35.0,0.5241024664317684,0.173707266462579,0.16210884963686903,0.0004483098717833768
assessment,full_checkpoint_population,60,1.5,11132,154,20,0.8892546528160266,0.1099383894147635,0.0008069577692100783,0.11074534718397358,0.011274075176643267,0.006790125299682924,0.09698422472766577,38.0323270876706,40.0,0.5138214203099699,0.062058895108298866,0.04832780417824801,0.0003586478974267014
assessment,full_checkpoint_population,60,2.0,11132,154,20,0.9589348157446429,0.04106518425535731,0.0,0.04106518425535731,0.012693735008528946,0.007531496658593883,0.08573885488615299,39.45414847161572,40.0,0.5524017467248908,0.025284676768582447,0.01569084551241819,8.966197435667535e-05
assessment,M1C_bottom_10_fresh_episode,15,1.0,308,123,20,0.8798701298701298,0.12012987012987014,0.0,0.12012987012987014,0.004552567227252066,0.0021751998864474906,0.025680902275295868,12.567567567567563,15.0,0.4054054054054053,0.051948051948051965,0.06818181818181819,0.0
