period,analysis,entity,value,share
assessment,tail_row_share_by_stock,AAL,11.0,0.014864864864864866
assessment,tail_row_share_by_stock,AAOI,11.0,0.014864864864864866
assessment,tail_row_share_by_stock,APLD,47.0,0.06351351351351352
assessment,tail_row_share_by_stock,ASTS,74.0,0.1
assessment,tail_row_share_by_stock,CIFR,31.0,0.041891891891891894
assessment,tail_row_share_by_stock,HIMS,4.0,0.005405405405405406
assessment,tail_row_share_by_stock,IONQ,33.0,0.0445945945945946
assessment,tail_row_share_by_stock,IREN,20.0,0.02702702702702703
assessment,tail_row_share_by_stock,MARA,32.0,0.043243243243243246
assessment,tail_row_share_by_stock,MP,12.0,0.016216216216216217
assessment,tail_row_share_by_stock,MRNA,20.0,0.02702702702702703
assessment,tail_row_share_by_stock,MSTR,38.0,0.051351351351351354
assessment,tail_row_share_by_stock,NVTS,1.0,0.0013513513513513514
assessment,tail_row_share_by_stock,QBTS,11.0,0.014864864864864866
assessment,tail_row_share_by_stock,RGTI,93.0,0.12567567567567567
assessment,tail_row_share_by_stock,RIOT,38.0,0.051351351351351354
assessment,tail_row_share_by_stock,RIVN,83.0,0.11216216216216217
assessment,tail_row_share_by_stock,SMCI,60.0,0.08108108108108109
assessment,tail_row_share_by_stock,SOFI,90.0,0.12162162162162163
assessment,tail_row_share_by_stock,WULF,31.0,0.041891891891891894
assessment,tail_row_share_by_month,2025-01,57.0,0.07702702702702703
assessment,tail_row_share_by_month,2025-02,89.0,0.12027027027027028
assessment,tail_row_share_by_month,2025-03,57.0,0.07702702702702703
assessment,tail_row_share_by_month,2025-04,45.0,0.060810810810810814
assessment,tail_row_share_by_month,2025-05,93.0,0.12567567567567567
assessment,tail_row_share_by_month,2025-06,99.0,0.13378378378378378
assessment,tail_row_share_by_month,2025-07,161.0,0.21756756756756757
assessment,tail_row_share_by_month,2025-08,139.0,0.18783783783783783
assessment,tail_row_share_by_session,2025-01-02,4.0,0.005405405405405406
assessment,tail_row_share_by_session,2025-01-03,1.0,0.0013513513513513514
assessment,tail_row_share_by_session,2025-01-07,1.0,0.0013513513513513514
