period,omitted_stock,remains_below_iv_rate,npv_lift,mean_iv_residual,breach_1_5_sigma_rate,breach_2_0_sigma_rate
assessment,AAL,0.8998628257887519,0.1685679603166712,-0.00562066049176267,0.030178326474622777,0.01234567901234568
assessment,AAOI,0.8998628257887519,0.16731256123848726,-0.005519863911549091,0.030178326474622777,0.01234567901234568
assessment,APLD,0.898989898989899,0.16607064433151386,-0.005445230775288881,0.030303030303030307,0.011544011544011546
assessment,ASTS,0.8948948948948949,0.16183713475380146,-0.005302937310462963,0.031531531531531536,0.013513513513513514
assessment,CIFR,0.9040902679830747,0.171006135581536,-0.00559635206202119,0.029619181946403388,0.012693935119887164
assessment,HIMS,0.9021739130434783,0.17036438923395447,-0.0056089956877844495,0.02853260869565218,0.010869565217391306
assessment,IONQ,0.8967468175388968,0.16376499735984473,-0.0054721241282953935,0.031117397454031123,0.012729844413012732
assessment,IREN,0.9,0.1693127767754633,-0.0055942009416541484,0.02916666666666667,0.011111111111111112
assessment,MARA,0.9025423728813559,0.16771682976088176,-0.005679364535837314,0.028248587570621476,0.01129943502824859
assessment,MP,0.8997252747252747,0.1667279523122963,-0.005585430008941741,0.030219780219780223,0.012362637362637362
assessment,MRNA,0.9013888888888889,0.1695793650793651,-0.005625524658959123,0.030555555555555558,0.012499999999999999
assessment,MSTR,0.913105413105413,0.17898023683900655,-0.005809397293358726,0.027065527065527065,0.01282051282051282
assessment,NVTS,0.9012178619756429,0.1693167590536837,-0.00558428790553779,0.029769959404600813,0.012178619756427604
assessment,QBTS,0.8998628257887519,0.16739046184317363,-0.005567502351051563,0.030178326474622777,0.01234567901234568
assessment,RGTI,0.9010819165378671,0.1703093329048716,-0.0055305749682384,0.03245749613601237,0.013910355486862444
assessment,RIOT,0.9031339031339032,0.1703673309274243,-0.005692964794753857,0.028490028490028494,0.011396011396011397
assessment,RIVN,0.9025875190258752,0.1698948006829326,-0.005845849693018623,0.03196347031963471,0.013698630136986302
assessment,SMCI,0.901470588235294,0.17198152921373788,-0.005491267785142694,0.02941176470588236,0.01323529411764706
assessment,SOFI,0.9015384615384615,0.16801773843440504,-0.005724453957991965,0.0276923076923077,0.01076923076923077
assessment,WULF,0.9026798307475316,0.16976857533627598,-0.005563999915120171,0.02820874471086037,0.009873060648801129
stress,AAL,0.916366258111031,0.18529142424798573,-0.005007793142609792,0.012256669069935113,0.0028839221341023795
stress,AAOI,0.9148629148629149,0.17999674174218605,-0.004882516912019441,0.011544011544011547,0.002164502164502165
stress,APLD,0.9159090909090909,0.179869287044078,-0.004730986045158866,0.012121212121212123,0.002272727272727273
stress,ASTS,0.9130757800891532,0.17928654887694473,-0.004858063511604656,0.012630014858841012,0.002971768202080238
stress,CIFR,0.9158878504672899,0.17984804660227705,-0.004869703272476989,0.01222142343637671,0.0028756290438533435
stress,HIMS,0.9145985401459855,0.1799965140967814,-0.004933969058806077,0.012408759124087593,0.002919708029197081
stress,IONQ,0.9149999999999999,0.17918879907621255,-0.004928008607858592,0.011428571428571434,0.0028571428571428576
stress,IREN,0.9132616487455198,0.17727263775650903,-0.0048711726557133786,0.012186379928315413,0.0028673835125448033
stress,MARA,0.913232104121475,0.17715964035335907,-0.004923107705169098,0.012292118582791035,0.002892263195950832
stress,MP,0.9143059490084986,0.17831693801948778,-0.004953483805270193,0.012039660056657225,0.0028328611898017
stress,MRNA,0.915830115830116,0.1843539942671637,-0.005048304081878447,0.01235521235521236,0.0030888030888030892
stress,MSTR,0.9164785553047403,0.1795641539166548,-0.0050782849875989034,0.01053423626787058,0.003009781790820166
stress,NVTS,0.9158945117605133,0.1818707574152062,-0.004919443660354597,0.01211689237348539,0.0028510334996436214
stress,QBTS,0.9146953405017922,0.1770906019869123,-0.004890342833397603,0.012186379928315413,0.0028673835125448033
stress,RGTI,0.9172876304023845,0.1814020482007086,-0.004873430154556667,0.011177347242921014,0.0022354694485842027
stress,RIOT,0.9158453373768005,0.18086274886838483,-0.004961888734262907,0.012130401819560275,0.003032600454890068
stress,RIVN,0.9183987682832949,0.1834466082369045,-0.005065243641213548,0.010777521170130871,0.002309468822170901
stress,SMCI,0.9094583670169766,0.17828104143558143,-0.005048602492075157,0.012934518997574777,0.0032336297493936943
stress,SOFI,0.9171826625386997,0.18263536131989533,-0.0050790120937919325,0.0108359133126935,0.0030959752321981426
stress,WULF,0.9152907394113426,0.17650664190698984,-0.004936732090707253,0.012203876525484568,0.0028715003589375454
