period,m1c_rows,m0_rows,remains_below_iv_rate_difference,movement_exceeds_iv_rate_difference,mean_iv_residual_difference,median_iv_residual_difference,mean_absolute_movement_difference,p95_absolute_movement_difference,p99_absolute_movement_difference,maximum_excursion_difference,surprise_1_5_sigma_rate_difference,surprise_2_0_sigma_rate_difference
assessment,740,1140,0.06275486012328113,-0.06275486012328119,-0.0012851250534002216,-0.0008905796534320184,-0.001231387968821658,-0.004267151869691423,-0.0037402617431435,-0.0018779606854642137,-0.027287814129919406,-0.008890469416785212
stress,1426,2287,0.08963196214147351,-0.08963196214147369,-0.0008695325024998491,-0.00022132329279210636,-0.0016676393900690832,-0.00515119329808748,-0.006457362004343149,-0.002612485755830539,-0.04669815411651029,-0.013372340043433587
