period,draw,seed,remains_below_iv_rate,npv_lift,mean_iv_residual,median_iv_residual,mean_maximum_excursion,breach_1_5_sigma_rate,breach_2_0_sigma_rate,selected_rows,exact_match_rows,nearest_cell_fallback_rows,maximum_fallback_distance,real_tail_beats_remains_below_iv_rate,real_tail_beats_npv_lift,real_tail_beats_mean_iv_residual,real_tail_beats_median_iv_residual,real_tail_beats_mean_maximum_excursion,real_tail_beats_breach_1_5_sigma_rate,real_tail_beats_breach_2_0_sigma_rate
assessment,1,2026072701,0.8202702702702702,0.08783908466362711,-0.00340788055999346,-0.004103371952547278,0.008841914440731341,0.06486486486486487,0.028378378378378383,740,586,154,3,True,True,True,True,True,True,True
assessment,2,2026072702,0.8162162162162163,0.08378503060957321,-0.0035300664300624254,-0.004152499972167755,0.008683270626162353,0.05945945945945947,0.02027027027027027,740,586,154,3,True,True,True,True,True,True,True
assessment,3,2026072703,0.8224172856178258,0.08998610001118268,-0.0034602243319779334,-0.003972058171013004,0.008841697154273447,0.06819716407832546,0.023632680621201895,740,586,154,3,True,True,True,True,True,True,True
assessment,4,2026072704,0.8216216216216217,0.08919043601497856,-0.0035374857366947104,-0.0039963217125538655,0.008631129108272292,0.05270270270270271,0.01891891891891892,740,586,154,3,True,True,True,True,True,True,True
assessment,5,2026072705,0.8237677245104661,0.09133653890382298,-0.0034325192371023722,-0.00395615462827387,0.0087037832886921,0.060094530722484815,0.020931802835921675,740,586,154,3,True,True,True,True,True,True,True
assessment,6,2026072706,0.813639432815665,0.08120824720902187,-0.0034256581772001094,-0.004030096558882093,0.008696464928552172,0.0661715057393653,0.017555705604321407,740,586,154,3,True,True,True,True,True,True,True
assessment,7,2026072707,0.8229729729729729,0.09054178736632978,-0.0035761313948898155,-0.0042275754691839685,0.008632152177035498,0.06756756756756757,0.014864864864864867,740,586,154,3,True,True,True,True,True,True,True
assessment,8,2026072708,0.827027027027027,0.09459584142038391,-0.0034047247439597146,-0.003943551727142489,0.0088688962938277,0.06756756756756757,0.021621621621621626,740,586,154,3,True,True,True,True,True,True,True
assessment,9,2026072709,0.8108108108108109,0.07837962520416775,-0.0034754440250340042,-0.003991458109589913,0.008697925654743782,0.06621621621621623,0.01756756756756757,740,586,154,3,True,True,True,True,True,True,True
assessment,10,2026072710,0.8094594594594596,0.07702827385281652,-0.003493320004813289,-0.003954837318088049,0.008665818709287754,0.06486486486486487,0.022972972972972974,740,586,154,3,True,True,True,True,True,True,True
assessment,11,2026072711,0.814864864864865,0.08243367925822187,-0.0032315697849202196,-0.003833984584886801,0.008951134411185918,0.06891891891891894,0.02432432432432433,740,586,154,3,True,True,True,True,True,True,True
assessment,12,2026072712,0.8202702702702702,0.08783908466362711,-0.0033396704501881752,-0.0037777854991328805,0.0088759524167808,0.05945945945945947,0.02027027027027027,740,586,154,3,True,True,True,True,True,True,True
assessment,13,2026072713,0.8013513513513514,0.06892016574470827,-0.0032885721917068136,-0.0039041888238732043,0.00890503243105975,0.06486486486486487,0.016216216216216217,740,586,154,3,True,True,True,True,True,True,True
assessment,14,2026072714,0.8135135135135134,0.08108232790687031,-0.003467783411591797,-0.004172374982643287,0.008774975924923519,0.06756756756756757,0.024324324324324326,740,586,154,3,True,True,True,True,True,True,True
assessment,15,2026072715,0.8175675675675675,0.08513638196092443,-0.0034532974222418965,-0.003940206957829144,0.00886510356607846,0.05945945945945947,0.021621621621621626,740,586,154,3,True,True,True,True,True,True,True
assessment,16,2026072716,0.8000000000000002,0.06756881439335705,-0.0034313419404717084,-0.0039381264473223486,0.008779625985045354,0.05675675675675676,0.02027027027027027,740,586,154,3,True,True,True,True,True,True,True
assessment,17,2026072717,0.8175675675675675,0.08513638196092443,-0.0034436729988541544,-0.004064894437389396,0.008755993066612323,0.06621621621621622,0.02027027027027027,740,586,154,3,True,True,True,True,True,True,True
assessment,18,2026072718,0.8094594594594595,0.07702827385281641,-0.003375136542775419,-0.003950485305327494,0.00885659338375476,0.06351351351351353,0.021621621621621626,740,586,154,3,True,True,True,True,True,True,True
assessment,19,2026072719,0.8189189189189188,0.08648773331227566,-0.0033250038426275745,-0.003963816683572791,0.00873906276141912,0.05810810810810811,0.02027027027027027,740,586,154,3,True,True,True,True,True,True,True
assessment,20,2026072720,0.8244429439567861,0.09201175835014297,-0.0034615652523364523,-0.004040112755640769,0.00868638387251209,0.06347062795408509,0.020256583389601623,740,586,154,3,True,True,True,True,True,True,True
stress,1,2026072701,0.7945212339743588,0.059489649244888754,-0.0031034507277394583,-0.003675241141997371,0.008716360312635299,0.06525440705128206,0.018229166666666668,1426,1208,218,3,True,True,True,True,True,True,True
stress,2,2026072702,0.7884285732160506,0.05339698848658059,-0.003062892235765599,-0.003594904301866065,0.008702602487333608,0.07081993468550193,0.016816606398818833,1426,1208,218,3,True,True,True,True,True,True,True
stress,3,2026072703,0.7821223458164936,0.04709076108702359,-0.0030179257580691564,-0.00365770818873567,0.008815278674550224,0.0700316562605573,0.015415222532250597,1426,1208,218,3,True,True,True,True,True,True,True
stress,4,2026072704,0.786808894230769,0.051777309501298996,-0.003092473319534636,-0.003630384630447074,0.008749275551672602,0.06385216346153848,0.016826923076923076,1426,1208,218,3,True,True,True,True,True,True,True
stress,5,2026072705,0.7840044070512819,0.04897282232181188,-0.0030520716615809905,-0.003622378477607255,0.008726567656421864,0.06876001602564102,0.01893028846153846,1426,1208,218,3,True,True,True,True,True,True,True
stress,6,2026072706,0.798026842948718,0.0629952582192479,-0.0032826918743490605,-0.003683185141850236,0.0085655552931459,0.059645432692307696,0.011919070512820512,1426,1208,218,3,True,True,True,True,True,True,True
stress,7,2026072707,0.8001302083333334,0.06509862360386331,-0.0031825435197699223,-0.003714891417128096,0.008747935843090712,0.06525440705128206,0.013321314102564102,1426,1208,218,3,True,True,True,True,True,True,True
stress,8,2026072708,0.790976012819871,0.0559444280904009,-0.003123318615746391,-0.0036594712657741285,0.008710109388247003,0.06455005258150134,0.015423907055936704,1426,1208,218,3,True,True,True,True,True,True,True
stress,9,2026072709,0.787510016025641,0.05247843129617091,-0.0029825969089078597,-0.0034710616504105046,0.008783790976996969,0.06805889423076923,0.016826923076923076,1426,1208,218,3,True,True,True,True,True,True,True
stress,10,2026072710,0.7959234775641025,0.06089189283463248,-0.0031369136830904864,-0.00369149226146076,0.008739344144270689,0.06665665064102565,0.018229166666666668,1426,1208,218,3,True,True,True,True,True,True,True
stress,11,2026072711,0.798026842948718,0.0629952582192479,-0.0031528494508234355,-0.003661801326723467,0.008697160557149601,0.06385216346153845,0.015424679487179488,1426,1208,218,3,True,True,True,True,True,True,True
stress,12,2026072712,0.8057391826923077,0.07070759796283765,-0.0032640968486728115,-0.0037292252076284267,0.00871189399017314,0.06595552884615385,0.014022435897435898,1426,1208,218,3,True,True,True,True,True,True,True
stress,13,2026072713,0.7959234775641025,0.06089189283463248,-0.0032705680519419865,-0.003815997724265148,0.008633149333920075,0.06876001602564102,0.016826923076923076,1426,1208,218,3,True,True,True,True,True,True,True
stress,14,2026072714,0.7861077724358974,0.0510761877064273,-0.0030217191406807526,-0.0036542314603248095,0.00879727561981889,0.072265625,0.020332532051282052,1426,1208,218,3,True,True,True,True,True,True,True
stress,15,2026072715,0.7832640592919025,0.048232474562432404,-0.003086671348688091,-0.0035657099384063043,0.008785913772607696,0.06805548600330515,0.018929340477740503,1426,1208,218,3,True,True,True,True,True,True,True
stress,16,2026072716,0.7776943108974358,0.04266272616796574,-0.0030880560432565013,-0.003612242115918613,0.00883648536032879,0.06876001602564102,0.01612580128205128,1426,1208,218,3,True,True,True,True,True,True,True
stress,17,2026072717,0.7952223557692307,0.06019077103976067,-0.0030224211898913856,-0.0036095240878653216,0.008839442659445983,0.07507011217948718,0.018229166666666668,1426,1208,218,3,True,True,True,True,True,True,True
stress,18,2026072718,0.8050380608974359,0.07000647616796585,-0.003265390397191139,-0.003715968699941088,0.008503003791056254,0.05684094551282051,0.013321314102564104,1426,1208,218,3,True,True,True,True,True,True,True
