period,dimension,level,rows,sessions,stocks,months,positive_movement_exceeds_iv_outcomes,negative_movement_remains_below_iv_outcomes,maximum_stock_share,maximum_month_share,maximum_session_share,remains_below_iv_rate,movement_exceeds_iv_rate,mean_absolute_movement,median_absolute_movement,mean_iv_expectation,median_iv_expectation,mean_iv_residual,median_iv_residual,trimmed_mean_iv_residual_10_percent,mean_terminal_iv_ratio,median_terminal_iv_ratio,absolute_movement_p90,absolute_movement_p95,absolute_movement_p99,maximum_absolute_movement,mean_maximum_absolute_excursion,median_maximum_absolute_excursion,mean_excursion_sigma_ratio,terminal_above_1_0x_iv_expected_rate,excursion_above_1_0x_iv_sigma_rate,terminal_above_1_25x_iv_expected_rate,excursion_above_1_25x_iv_sigma_rate,terminal_above_1_5x_iv_expected_rate,excursion_above_1_5x_iv_sigma_rate,terminal_above_2_0x_iv_expected_rate,excursion_above_2_0x_iv_sigma_rate,surprise_1_5_sigma_rate,surprise_2_0_sigma_rate,npv_lift,relative_surprise_1_5_sigma_reduction,relative_surprise_2_0_sigma_reduction
assessment,checkpoint_group,early,6,4,4,3,0,6,0.3333333333333333,0.5,0.3333333333333333,1.0,0.0,0.003037771231181777,0.001618025634670081,0.011771456008795948,0.011670912673266119,-0.00873368477761417,-0.00868133019573407,-0.00889747418168837,0.2467775747048078,0.10968343665561825,0.009336243055535695,0.009849068761029048,0.009849068761029048,0.009849068761029048,0.0068369445405393895,0.0051739327804012,0.4588359828404946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37113070141816784,1.0,1.0
assessment,checkpoint_group,late,664,123,20,8,73,591,0.13403614457831325,0.21084337349397592,0.03765060240963856,0.8900602409638556,0.10993975903614459,0.004228476533451772,0.0031277181753145674,0.00951552011365332,0.008900549491829089,-0.005287043580201549,-0.005316798965780297,-0.005485492995122283,0.47026686763586617,0.3542726078248609,0.008902596792969496,0.012025082575179284,0.020263290923091447,0.033168144968806525,0.006653768527813528,0.005396400486042671,0.5851098466996424,0.10993975903614459,0.09789156626506025,0.0677710843373494,0.06024096385542169,0.03463855421686747,0.03313253012048193,0.012048192771084338,0.01355421686746988,0.03313253012048193,0.01355421686746988,0.0742935023029484,0.4986809985038193,0.3027108433734941
assessment,checkpoint_group,middle,70,32,13,8,0,70,0.21428571428571427,0.2571428571428571,0.08571428571428572,1.0,0.0,0.004075238805853678,0.0032980563210531287,0.012300026687009894,0.012307687131621685,-0.008224787881156215,-0.008014394419501416,-0.008295587810492208,0.3383483761471327,0.29838903359010716,0.007904263125686036,0.010661117513159487,0.015628598396923626,0.016565775783093144,0.006935773320842251,0.006292832591938062,0.45764452272974365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24676762241525108,1.0,1.0
assessment,previous_close_atm_iv_group,high,381,68,16,8,22,359,0.17060367454068243,0.2204724409448819,0.049868766404199474,0.942257217847769,0.05774278215223098,0.004920346526464654,0.004044742904039258,0.012646656742195372,0.012199750903773487,-0.007726310215730719,-0.008531170892407696,-0.008136178408609682,0.3922358040402499,0.31186239118630277,0.010278351480065381,0.01401886207257958,0.021549118620851574,0.033168144968806525,0.007991580795328676,0.006994539273678755,0.5100629868246058,0.05774278215223098,0.04986876640419948,0.03412073490813649,0.02624671916010499,0.013123359580052495,0.015748031496062995,0.005249343832020997,0.013123359580052495,0.015748031496062995,0.013123359580052495,0.20585245594300694,0.8863348817950428,0.743517402344251
assessment,previous_close_atm_iv_group,low,359,87,17,8,51,308,0.181058495821727,0.2646239554317549,0.052924791086350974,0.8579387186629527,0.1420612813370474,0.0034444282323838195,0.0025188403227009264,0.006773146910397874,0.0067654821902839585,-0.0033287186780140542,-0.003978797499172012,-0.0037573411163451254,0.5236223135081005,0.4019093435627422,0.007543587254083791,0.009447056835340018,0.016002536542872408,0.021870737857788525,0.0052920217803625385,0.00427550774376999,0.6377912889039352,0.1420612813370474,0.12813370473537608,0.08913649025069639,0.08356545961002787,0.050139275766016726,0.044568245125348196,0.016713091922005575,0.011142061281337049,0.044568245125348196,0.011142061281337049,0.1285121276106529,0.6774746693391355,0.7931877046376387
assessment,stock_local_volatility_group,high,109,45,13,8,14,95,0.26605504587155965,0.22935779816513763,0.07339449541284404,0.871559633027523,0.1284403669724771,0.0067142402716375,0.004917046258331462,0.013919645129000353,0.013888780368776995,-0.0072054048573628555,-0.008598201013220804,-0.007997489651667779,0.4992750007735082,0.35559481490517386,0.015770899574269526,0.020656405717568268,0.027271565550641533,0.033168144968806525,0.009794985157180358,0.0076675291520848735,0.5778718735744325,0.1284403669724771,0.08256880733944957,0.06422018348623855,0.055045871559633044,0.04587155963302753,0.03669724770642203,0.027522935779816522,0.027522935779816522,0.03669724770642203,0.027522935779816522,0.21073286137397962,0.8207959236168101,0.6716637641609364
assessment,stock_local_volatility_group,low,631,118,20,8,59,572,0.13946117274167988,0.23613312202852615,0.04120443740095087,0.9064976228209191,0.09350237717908085,0.0037707600196518814,0.0028434481963670512,0.009085094517509088,0.00852597628103173,-0.005314334497857206,-0.005287523674227696,-0.00547389802755715,0.44849647671066706,0.33675506244732745,0.007907180722856798,0.010021187617643776,0.015207955363313576,0.02037041960727104,0.00614417546757166,0.005049733169547562,0.5710190752410054,0.09350237717908085,0.08874801901743265,0.0602218700475436,0.05388272583201268,0.028526148969889073,0.028526148969889073,0.007923930269413631,0.009508716323296357,0.028526148969889073,0.009508716323296357,0.11089704394971778,0.6422149878111082,0.6235376444195313
assessment,market_volatility_group,high,340,79,20,8,44,296,0.17941176470588235,0.20294117647058824,0.061764705882352944,0.8705882352941178,0.12941176470588237,0.004970386062191523,0.0036099993429849877,0.010780914257965644,0.010545714462410288,-0.0058105281957741214,-0.006053052392448154,-0.006091039394980362,0.4876829837023488,0.36990270838820777,0.011244212095936247,0.015287779088891302,0.022016203595916113,0.033168144968806525,0.007837311888426913,0.0064639616987372615,0.6120603200563915,0.12941176470588237,0.11176470588235295,0.07941176470588236,0.07058823529411766,0.04411764705882353,0.0411764705882353,0.01470588235294118,0.017647058823529415,0.0411764705882353,0.017647058823529415,0.1623925749746029,0.7410555032273713,0.7204561144571142
assessment,market_volatility_group,low,400,79,19,8,29,371,0.19,0.3525,0.0675,0.9275,0.07250000000000001,0.0035531762521592647,0.002811717800472683,0.008961062779752385,0.008525976281031696,-0.005407886527593119,-0.0053630801173811605,-0.005548439802738576,0.4290250935748617,0.3323328261160516,0.007373182554297276,0.008795421974740597,0.014142646205364312,0.021870737857788525,0.005699855150263066,0.004840148785041045,0.5380014046937862,0.07250000000000001,0.0675,0.04500000000000001,0.040000000000000015,0.02,0.02,0.0075000000000000015,0.0075000000000000015,0.02,0.0075000000000000015,0.15842374649120528,0.8132227032227033,0.7970505226480836
assessment,option_dte_group,11-16 DTE,52,15,12,6,3,49,0.23076923076923078,0.4230769230769231,0.15384615384615385,0.9423076923076924,0.05769230769230769,0.0038023245752950487,0.0024686683124609038,0.008875318877275882,0.007744547562980034,-0.005072994301980835,-0.004689777130805328,-0.00524854040423181,0.4337134156934666,0.36862632511273624,0.009181915322414658,0.013213741588622005,0.021840731492778095,0.021870737857788525,0.006529793076010091,0.004944176180177496,0.5849079759379955,0.05769230769230769,0.07692307692307691,0.05769230769230769,0.05769230769230769,0.03846153846153846,0.03846153846153846,0.01923076923076923,0.01923076923076923,0.03846153846153846,0.01923076923076923,0.16992673992674012,0.6577574967405477,0.5410839160839163
