period,population,tail_remains_below_iv_rate,full_population_remains_below_iv_rate,bottom_tail_npv_lift,tail_1_5_sigma_surprise_rate,full_population_1_5_sigma_surprise_rate,relative_1_5_sigma_surprise_reduction,relative_2_0_sigma_surprise_reduction
assessment,M1C_bottom_10_percent_checkpoints,0.9013513513513515,0.7324311856066431,0.16892016574470836,0.029729729729729735,0.13834127838433546,0.7850986337777253,0.7692583666034993
stress,M1C_bottom_10_percent_checkpoints,0.9151472650771388,0.7350315847294701,0.18011568034766878,0.011921458625525946,0.13308745635029623,0.9104238750033078,0.9447680113450193
