period,population,model,tail,horizon_minutes,rows,sessions,stocks,months,positive_movement_exceeds_iv_outcomes,negative_movement_remains_below_iv_outcomes,maximum_stock_share,maximum_month_share,maximum_session_share,remains_below_iv_rate,movement_exceeds_iv_rate,mean_absolute_movement,median_absolute_movement,mean_iv_expectation,median_iv_expectation,mean_iv_residual,median_iv_residual,trimmed_mean_iv_residual_10_percent,mean_terminal_iv_ratio,median_terminal_iv_ratio,absolute_movement_p90,absolute_movement_p95,absolute_movement_p99,maximum_absolute_movement,mean_maximum_absolute_excursion,median_maximum_absolute_excursion,mean_excursion_sigma_ratio,terminal_above_1_0x_iv_expected_rate,excursion_above_1_0x_iv_sigma_rate,terminal_above_1_25x_iv_expected_rate,excursion_above_1_25x_iv_sigma_rate,terminal_above_1_5x_iv_expected_rate,excursion_above_1_5x_iv_sigma_rate,terminal_above_2_0x_iv_expected_rate,excursion_above_2_0x_iv_sigma_rate,surprise_1_5_sigma_rate,surprise_2_0_sigma_rate
assessment,bottom_10_percent_checkpoint,M1C,bottom_10_percent,5,740,123,20,8,65,675,0.12567567567567567,0.21756756756756757,0.03648648648648649,0.9121621621621623,0.08783783783783786,0.0023884847689956187,0.0017783226260741478,0.005656422267416165,0.0053592628774983084,-0.003267937498420546,-0.003155866057007847,-0.003279684305779035,0.43786788927308445,0.33586701467938057,0.005153163424098417,0.00707299633218619,0.011105092412625873,0.021754442574913466,0.0038025211609482887,0.0032316122838067533,0.5576558989611097,0.08783783783783786,0.08783783783783786,0.03513513513513514,0.025675675675675677,0.016216216216216217,0.00945945945945946,0.004054054054054054,0.002702702702702703,0.00945945945945946,0.002702702702702703
assessment,bottom_10_percent_checkpoint,M1C,bottom_10_percent,10,740,123,20,8,63,677,0.12567567567567567,0.21756756756756757,0.03648648648648649,0.914864864864865,0.08513513513513515,0.00349993760593594,0.0026198644166819333,0.007999389085089114,0.007579142245680767,-0.004499451479153173,-0.004505617978059091,-0.004658444563424281,0.4565015892033593,0.3348790118180933,0.007446305391393369,0.010661150619378149,0.016975199269546038,0.02845048181483131,0.0054698859626840035,0.004489093157354521,0.5688076793846782,0.08513513513513515,0.08513513513513513,0.05270270270270271,0.04594594594594595,0.03648648648648649,0.028378378378378383,0.012162162162162163,0.008108108108108109,0.028378378378378383,0.008108108108108109
assessment,bottom_10_percent_checkpoint,M1C,bottom_10_percent,15,740,123,20,8,73,667,0.12567567567567567,0.21756756756756757,0.03648648648648649,0.9013513513513515,0.09864864864864867,0.00420432670541733,0.0031277181753145674,0.009797210756228747,0.00928251559494485,-0.005592884050811417,-0.005576454074799081,-0.005790609694356556,0.45597601606586935,0.3392380628742578,0.00882646244597404,0.011844036176253923,0.019681735209001922,0.033168144968806525,0.006681929867797806,0.005514632976531886,0.5720284739144427,0.09864864864864867,0.08783783783783786,0.060810810810810814,0.054054054054054064,0.031081081081081086,0.029729729729729735,0.010810810810810811,0.012162162162162163,0.029729729729729735,0.012162162162162163
assessment,bottom_10_percent_checkpoint,M1C,bottom_10_percent,30,740,123,20,8,75,665,0.12567567567567567,0.21756756756756757,0.03648648648648649,0.8986486486486487,0.10135135135135136,0.005889002603479354,0.00443806938255904,0.013855348324886262,0.013127459447310768,-0.007966345721406908,-0.00812404428514195,-0.008231010312897203,0.4515973767448831,0.34065755444520096,0.012444154356797731,0.015512677349530725,0.03178803283903649,0.04076997756271521,0.009332690902617843,0.007870289544843534,0.5705182288901969,0.10135135135135136,0.10810810810810813,0.054054054054054064,0.05810810810810811,0.029729729729729735,0.032432432432432434,0.008108108108108109,0.00945945945945946,0.032432432432432434,0.00945945945945946
assessment,bottom_10_percent_checkpoint,M1C,bottom_10_percent,60,241,65,18,8,17,224,0.14522821576763487,0.24896265560165975,0.05394190871369295,0.9294605809128631,0.07053941908713693,0.007927132418742749,0.006519365158200366,0.02176615969892408,0.02264985062553284,-0.01383902728018133,-0.014164327520648386,-0.014045770920825361,0.391957542899604,0.2907437453268576,0.01713528788866401,0.022921703176627433,0.03332780365955151,0.047172556236776755,0.013070429091459251,0.011573565394022932,0.5071034240975173,0.07053941908713693,0.07883817427385893,0.03734439834024897,0.05394190871369295,0.020746887966804982,0.024896265560165977,0.004149377593360996,0.004149377593360996,0.024896265560165977,0.004149377593360996
assessment,bottom_10_percent_fresh_episode,M1C,bottom_10_percent,5,308,123,20,8,30,278,0.11038961038961038,0.20454545454545456,0.032467532467532464,0.9025974025974026,0.09740259740259741,0.0023741185703909326,0.0017391514212848828,0.005152546530569737,0.004844649576343189,-0.0027784279601788036,-0.002733592171422527,-0.002779888208688928,0.4666979413304643,0.36469534598143094,0.005153809969514816,0.006869093535355077,0.011810799032425432,0.01680555756081771,0.0038408265768678247,0.0031533269140583938,0.6052657771711454,0.09740259740259741,0.11038961038961041,0.04545454545454546,0.03571428571428572,0.016233766233766236,0.016233766233766236,0.006493506493506494,0.003246753246753247,0.016233766233766236,0.003246753246753247
assessment,bottom_10_percent_fresh_episode,M1C,bottom_10_percent,10,308,123,20,8,32,276,0.11038961038961038,0.20454545454545456,0.032467532467532464,0.8961038961038961,0.10389610389610393,0.0036535839197969927,0.002684853322353542,0.007286801184290158,0.006851369135809607,-0.0036332172644931654,-0.003816006115396914,-0.0038509133464733063,0.5062201596354469,0.394379540886775,0.007962789331991396,0.01155613512289446,0.018520436594423276,0.02845048181483131,0.005643037106413677,0.0044247844720090935,0.625926324335641,0.10389610389610393,0.12012987012987014,0.0616883116883117,0.048701298701298704,0.03896103896103897,0.03246753246753247,0.012987012987012988,0.012987012987012988,0.03246753246753247,0.012987012987012988
assessment,bottom_10_percent_fresh_episode,M1C,bottom_10_percent,15,308,123,20,8,40,268,0.11038961038961038,0.20454545454545456,0.032467532467532464,0.8701298701298702,0.12987012987012989,0.004398135129478354,0.0032850751472142375,0.00892447237930953,0.00839117921109344,-0.004526337249831174,-0.004688808314669989,-0.00471769464427542,0.5031235260299722,0.4159050381721451,0.009371013958421747,0.012903672260043741,0.02100055327248952,0.033168144968806525,0.0069553762442524075,0.005494097932599672,0.6322906070957309,0.12987012987012989,0.12012987012987014,0.07142857142857144,0.06168831168831169,0.03246753246753247,0.03246753246753247,0.012987012987012988,0.012987012987012988,0.03246753246753247,0.012987012987012988
assessment,bottom_10_percent_fresh_episode,M1C,bottom_10_percent,30,308,123,20,8,46,262,0.11038961038961038,0.20454545454545456,0.032467532467532464,0.8506493506493507,0.14935064935064937,0.006558616387072622,0.0049583946695357555,0.01262110987584362,0.011866919444631509,-0.006062493488770997,-0.006387569044198586,-0.006412149075543758,0.5389693891506089,0.4306995087346322,0.013023640824671093,0.017567586898116005,0.03372042504091636,0.040189165652033496,0.010164441831613845,0.00848965960747495,0.664924900799545,0.14935064935064937,0.15909090909090912,0.07792207792207793,0.08441558441558443,0.042207792207792215,0.048701298701298704,0.012987012987012988,0.019480519480519484,0.048701298701298704,0.019480519480519484
assessment,bottom_10_percent_fresh_episode,M1C,bottom_10_percent,60,106,65,18,8,13,93,0.14150943396226415,0.2358490566037736,0.05660377358490566,0.8773584905660378,0.12264150943396229,0.009373116177610864,0.007203572899060111,0.02013694608148749,0.01891249712885305,-0.010763829903876627,-0.010233490947212442,-0.010878379019812515,0.4999239434036662,0.42204207780861624,0.021467892334388873,0.02666747311723856,0.03985497677586298,0.047172556236776755,0.014460494176054368,0.011935389532907629,0.6058339251920313,0.12264150943396229,0.12264150943396229,0.06603773584905662,0.0849056603773585,0.04716981132075473,0.03773584905660378,0.009433962264150945,0.009433962264150945,0.03773584905660378,0.009433962264150945
