period,population,model,tail,horizon_minutes,rows,sessions,stocks,months,positive_movement_exceeds_iv_outcomes,negative_movement_remains_below_iv_outcomes,maximum_stock_share,maximum_month_share,maximum_session_share,remains_below_iv_rate,movement_exceeds_iv_rate,mean_absolute_movement,median_absolute_movement,mean_iv_expectation,median_iv_expectation,mean_iv_residual,median_iv_residual,trimmed_mean_iv_residual_10_percent,mean_terminal_iv_ratio,median_terminal_iv_ratio,absolute_movement_p90,absolute_movement_p95,absolute_movement_p99,maximum_absolute_movement,mean_maximum_absolute_excursion,median_maximum_absolute_excursion,mean_excursion_sigma_ratio,terminal_above_1_0x_iv_expected_rate,excursion_above_1_0x_iv_sigma_rate,terminal_above_1_25x_iv_expected_rate,excursion_above_1_25x_iv_sigma_rate,terminal_above_1_5x_iv_expected_rate,excursion_above_1_5x_iv_sigma_rate,terminal_above_2_0x_iv_expected_rate,excursion_above_2_0x_iv_sigma_rate,surprise_1_5_sigma_rate,surprise_2_0_sigma_rate
stress,bottom_10_percent_checkpoint,M1C,bottom_10_percent,5,1426,63,20,4,137,1289,0.13253856942496495,0.3709677419354839,0.04978962131837307,0.9039270687237028,0.09607293127629733,0.002398134255143662,0.0018513080166062878,0.005214574885860967,0.004753735034060038,-0.0028164406307173047,-0.0026978209364032827,-0.002773450040934452,0.4684134416932086,0.3770558519466343,0.005087958616180738,0.006503464478363756,0.010329338634816665,0.019511144357730412,0.0037120331903229098,0.003134806811041331,0.5794268611655742,0.09607293127629733,0.08625525946704068,0.03646563814866761,0.023842917251051893,0.014025245441795233,0.006311360448807854,0.002103786816269285,0.0007012622720897616,0.006311360448807854,0.0007012622720897616
stress,bottom_10_percent_checkpoint,M1C,bottom_10_percent,10,1426,63,20,4,112,1314,0.13253856942496495,0.3709677419354839,0.04978962131837307,0.9214586255259467,0.0785413744740533,0.003218219502915795,0.00247553047938124,0.007374522525594712,0.006722796557095831,-0.004156303022678918,-0.0038976591114399622,-0.004082057370190298,0.4470373792435637,0.366293644401339,0.007097066407833487,0.008831878790982147,0.01358276751215759,0.022767937814391973,0.005176365313300802,0.004395815154531483,0.5710991109078835,0.0785413744740533,0.07012622720897616,0.03295932678821879,0.02173913043478261,0.01612903225806452,0.010518934081346423,0.00420757363253857,0.0007012622720897616,0.010518934081346423,0.0007012622720897616
stress,bottom_10_percent_checkpoint,M1C,bottom_10_percent,15,1426,63,20,4,121,1305,0.13253856942496495,0.3709677419354839,0.04978962131837307,0.9151472650771388,0.08485273492286115,0.004090338427251603,0.003034385457619503,0.009031908642183874,0.008233710604712152,-0.00494157021493227,-0.004707072484970976,-0.004890569047292175,0.4587075119521439,0.37158403193512834,0.008741488535869311,0.01110261922911097,0.01860483406003709,0.04082746771308721,0.00642902226275889,0.005431641454951098,0.5768975976753092,0.08485273492286115,0.07503506311360449,0.03997194950911641,0.028050490883590466,0.01683029453015428,0.011921458625525946,0.00420757363253857,0.002805049088359046,0.011921458625525946,0.002805049088359046
stress,bottom_10_percent_checkpoint,M1C,bottom_10_percent,30,1426,63,20,4,111,1315,0.13253856942496495,0.3709677419354839,0.04978962131837307,0.9221598877980364,0.07784011220196355,0.005439698248640444,0.003878676527711959,0.012773047695891198,0.011644225205839104,-0.007333349447250756,-0.0068145259344302815,-0.007172307637789723,0.43205748476090594,0.3443209800745629,0.012377347655404887,0.016126931813208397,0.024470103054918573,0.046293128095812895,0.009021655731347784,0.007590231278115006,0.5712555076670589,0.07784011220196355,0.08976157082748948,0.029453015427769985,0.03015427769985975,0.013323983169705473,0.010518934081346423,0.002103786816269285,0.002103786816269285,0.010518934081346423,0.002103786816269285
stress,bottom_10_percent_checkpoint,M1C,bottom_10_percent,60,517,59,20,4,32,485,0.1528046421663443,0.41005802707930367,0.06963249516441006,0.9381044487427465,0.06189555125725339,0.007605374619653015,0.005286713713125281,0.018835997137895986,0.017766598819505795,-0.01123062251824297,-0.009958688929103435,-0.01082859922374055,0.4051234696858276,0.3177459913789504,0.01851860609285093,0.02229857668734207,0.03348944376935926,0.04430211535510136,0.012335820063171674,0.010135378966205507,0.5299479708354891,0.06189555125725339,0.06189555125725339,0.02321083172147002,0.015473887814313348,0.003868471953578336,0.003868471953578336,0.0,0.0,0.003868471953578336,0.0
stress,bottom_10_percent_fresh_episode,M1C,bottom_10_percent,5,541,63,20,4,57,484,0.10536044362292052,0.33086876155268025,0.033271719038817,0.8946395563770796,0.10536044362292053,0.0024723131960874274,0.0019144854336485375,0.005082495277737549,0.004581011631349973,-0.002610182081650123,-0.002561832866217288,-0.0026032588977357397,0.48910022529459196,0.38978983209366236,0.0052023558088099674,0.0060839036801652825,0.011492872063898141,0.019511144357730412,0.0038839926793871543,0.003324102783838622,0.6154122441671145,0.10536044362292053,0.09796672828096119,0.04066543438077635,0.03327171903881701,0.020332717190388174,0.009242144177449169,0.0036968576709796677,0.0,0.009242144177449169,0.0
stress,bottom_10_percent_fresh_episode,M1C,bottom_10_percent,10,541,63,20,4,50,491,0.10536044362292052,0.33086876155268025,0.033271719038817,0.9075785582255085,0.0924214417744917,0.0034833754956558,0.0027929910123087993,0.007187733752473654,0.006478528778444027,-0.0037043582568178518,-0.0037063404494661256,-0.003746226534929548,0.4859125220748535,0.4126639394990317,0.007284948833303234,0.009419395241177407,0.01584372518993487,0.02112636947657615,0.005455442740412091,0.004721937819479096,0.6064603858839382,0.0924214417744917,0.08687615526802218,0.04066543438077635,0.031423290203327174,0.020332717190388174,0.01478743068391867,0.0036968576709796677,0.0,0.01478743068391867,0.0
stress,bottom_10_percent_fresh_episode,M1C,bottom_10_percent,15,541,63,20,4,55,486,0.10536044362292052,0.33086876155268025,0.033271719038817,0.8983364140480592,0.10166358595194087,0.004233423047312817,0.0032758376896035797,0.008803140050270329,0.00793454489556214,-0.004569717002957511,-0.004666198681931677,-0.004662951913290359,0.4815682116219282,0.4010755012968718,0.008907428785329758,0.010877650348884953,0.02047507314128456,0.04082746771308721,0.00677249487028604,0.005777523905981067,0.6163279668214732,0.10166358595194087,0.0924214417744917,0.049907578558225515,0.038817005545286505,0.02772643253234751,0.020332717190388174,0.005545286506469502,0.0036968576709796677,0.020332717190388174,0.0036968576709796677
stress,bottom_10_percent_fresh_episode,M1C,bottom_10_percent,30,541,63,20,4,52,489,0.10536044362292052,0.33086876155268025,0.033271719038817,0.9038817005545285,0.09611829944547136,0.005767438269725385,0.004279895163585184,0.012449520050562069,0.01122114100256219,-0.006682081780836683,-0.006654959600689978,-0.006680109212996185,0.463263234004484,0.3829401106475947,0.012700693913449704,0.016128997539786583,0.02768440976086914,0.046293128095812895,0.009456394241724408,0.008106160820896801,0.6084311199754227,0.09611829944547136,0.10166358595194086,0.03696857670979668,0.04066543438077635,0.014787430683918674,0.016635859519408505,0.005545286506469502,0.005545286506469502,0.016635859519408505,0.005545286506469502
stress,bottom_10_percent_fresh_episode,M1C,bottom_10_percent,60,247,59,20,4,24,223,0.14979757085020243,0.3522267206477733,0.048582995951417005,0.9028340080971659,0.09716599190283402,0.008556959470994153,0.005932653328951902,0.018293523478155313,0.016554164479293188,-0.00973656400716116,-0.008955843494462056,-0.009474875628517196,0.4567075772389326,0.3813045046096128,0.02009274267247099,0.02551312605656608,0.04018690020990963,0.04430211535510136,0.01340845324001356,0.010578925887641356,0.5826179794488987,0.09716599190283402,0.09311740890688261,0.036437246963562764,0.020242914979757085,0.004048582995951417,0.008097165991902834,0.0,0.0,0.008097165991902834,0.0
