period,draw,seed,rows,remains_below_iv_rate,npv_lift,mean_iv_residual,median_iv_residual,mean_maximum_excursion,breach_1_5_sigma_rate,breach_2_0_sigma_rate,real_tail_beats_remains_below_iv_rate,real_tail_beats_npv_lift,real_tail_beats_mean_iv_residual,real_tail_beats_median_iv_residual,real_tail_beats_mean_maximum_excursion,real_tail_beats_breach_1_5_sigma_rate,real_tail_beats_breach_2_0_sigma_rate
assessment,1,2026072731,740,0.8594594594594596,0.12702827385281645,-0.004297632246225864,-0.004522186240221728,0.007722654642718799,0.05000000000000001,0.013513513513513516,True,True,True,True,True,True,True
assessment,2,2026072732,740,0.8243243243243243,0.09189313871768123,-0.003914104951698617,-0.00437803453993546,0.008155789560325172,0.054054054054054064,0.02027027027027027,True,True,True,True,True,True,True
assessment,3,2026072733,740,0.8364864864864866,0.1040553008798435,-0.004048791787705723,-0.004283803457982364,0.007988385223098343,0.05135135135135136,0.016216216216216217,True,True,True,True,True,True,True
assessment,4,2026072734,740,0.8459459459459459,0.11351476033930274,-0.004174000545446237,-0.004501946730790236,0.008160704949128243,0.04864864864864866,0.013513513513513514,True,True,True,True,True,True,True
assessment,5,2026072735,740,0.8472972972972973,0.1148661116906542,-0.004312444912569318,-0.004649904834905909,0.0077605132071543155,0.051351351351351354,0.01756756756756757,True,True,True,True,True,True,True
assessment,6,2026072736,740,0.8662162162162164,0.13378503060957325,-0.004138986505586352,-0.004457337952475137,0.007818043899118653,0.05000000000000001,0.013513513513513516,True,True,True,True,True,True,True
assessment,7,2026072737,740,0.841891891891892,0.10946070628524884,-0.004235411061586464,-0.004583700403375761,0.007891394465153944,0.044594594594594604,0.01756756756756757,True,True,True,True,True,True,True
assessment,8,2026072738,740,0.8540540540540541,0.12162286844741099,-0.004017465425388857,-0.004387446907694741,0.007812855094297202,0.047297297297297314,0.016216216216216217,True,True,True,True,True,True,True
assessment,9,2026072739,740,0.8364864864864866,0.1040553008798435,-0.004052367693493352,-0.004406685716519893,0.007701817661943331,0.045945945945945955,0.016216216216216217,True,True,True,True,True,True,True
assessment,10,2026072740,740,0.8567567567567568,0.12432557115011367,-0.004241932582261009,-0.004433562749859612,0.007924478431502794,0.04324324324324325,0.014864864864864867,True,True,True,True,True,True,True
stress,1,2026072731,1426,0.8464235624123421,0.11139197768287201,-0.004129229545987519,-0.004484375800502138,0.008097962705508633,0.034361851332398316,0.007713884992987378,True,True,True,True,True,True,True
stress,2,2026072732,1426,0.8520336605890604,0.11700207585959033,-0.00409297626852193,-0.004490057369434048,0.008303574861906488,0.04277699859747546,0.01332398316970547,True,True,True,True,True,True,True
stress,3,2026072733,1426,0.8345021037868164,0.09947051905734638,-0.003901035478075722,-0.004323570056925447,0.00840615584044926,0.04628330995792427,0.01612903225806452,True,True,True,True,True,True,True
stress,4,2026072734,1426,0.8457223001402525,0.11069071541078246,-0.003984523217563271,-0.00437992266721415,0.00838445828999712,0.048387096774193554,0.011921458625525946,True,True,True,True,True,True,True
stress,5,2026072735,1426,0.8450210378681626,0.10998945313869257,-0.003935248264197733,-0.004266821195148475,0.008334595844920805,0.04488078541374474,0.01332398316970547,True,True,True,True,True,True,True
stress,6,2026072736,1426,0.8625525946704068,0.12752100994093674,-0.004112971439873673,-0.004484375800502138,0.00833545942661939,0.03646563814866761,0.011921458625525946,True,True,True,True,True,True,True
stress,7,2026072737,1426,0.8583450210378681,0.12331343630839808,-0.004311521355373002,-0.004592392312948771,0.008099518459426238,0.03225806451612903,0.007012622720897616,True,True,True,True,True,True,True
stress,8,2026072738,1426,0.8443197755960729,0.1092881908666028,-0.004152740949071873,-0.004597527339699232,0.008281912667250464,0.050490883590462846,0.00841514726507714,True,True,True,True,True,True,True
stress,9,2026072739,1426,0.8429172510518934,0.10788566632242336,-0.003997555540090322,-0.004341380346800703,0.00832976406912866,0.047685834502103785,0.009817671809256662,True,True,True,True,True,True,True
stress,10,2026072740,1426,0.8548387096774193,0.1198071249479492,-0.004193387258525653,-0.004468722539305072,0.00819137983339411,0.04207573632538569,0.012622720897615708,True,True,True,True,True,True,True
