period,stock,rows,sessions,stocks,months,positive_movement_exceeds_iv_outcomes,negative_movement_remains_below_iv_outcomes,maximum_stock_share,maximum_month_share,maximum_session_share,remains_below_iv_rate,movement_exceeds_iv_rate,mean_absolute_movement,median_absolute_movement,mean_iv_expectation,median_iv_expectation,mean_iv_residual,median_iv_residual,trimmed_mean_iv_residual_10_percent,mean_terminal_iv_ratio,median_terminal_iv_ratio,absolute_movement_p90,absolute_movement_p95,absolute_movement_p99,maximum_absolute_movement,mean_maximum_absolute_excursion,median_maximum_absolute_excursion,mean_excursion_sigma_ratio,terminal_above_1_0x_iv_expected_rate,excursion_above_1_0x_iv_sigma_rate,terminal_above_1_25x_iv_expected_rate,excursion_above_1_25x_iv_sigma_rate,terminal_above_1_5x_iv_expected_rate,excursion_above_1_5x_iv_sigma_rate,terminal_above_2_0x_iv_expected_rate,excursion_above_2_0x_iv_sigma_rate,surprise_1_5_sigma_rate,surprise_2_0_sigma_rate,npv_lift,relative_surprise_1_5_sigma_reduction,relative_surprise_2_0_sigma_reduction
assessment,AAL,11,7,1,4,0,11,1.0,0.5454545454545454,0.45454545454545453,1.0,0.0,0.001214257477398688,0.0008935657830293015,0.004966321032440737,0.005435254432465319,-0.0037520635550420496,-0.003821358429148752,-0.003952270708833074,0.2509955728916178,0.16440183140784387,0.0027464564108133993,0.0035012234966073823,0.0035698386862250187,0.0035698386862250187,0.002208555169024958,0.001792828888678217,0.3659786086277441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2511111111111112,1.0,1.0
assessment,AAOI,11,5,1,4,0,11,1.0,0.5454545454545454,0.5454545454545454,1.0,0.0,0.004161486416309365,0.0041828564124080595,0.01459361424186955,0.016545293008511132,-0.010432127825560187,-0.009844351843303383,-0.010421161426868067,0.2964425670119926,0.3118623911863019,0.007759519314178323,0.007963170952497075,0.00798168473779878,0.00798168473779878,0.007239710693742253,0.007960219328169277,0.41356249300459735,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27126436781609187,1.0,1.0
assessment,APLD,47,9,1,3,3,44,1.0,0.8085106382978723,0.2127659574468085,0.9361702127659576,0.06382978723404253,0.004665185482026801,0.003204362513163368,0.01243516995703221,0.013008040463915233,-0.007769984475005402,-0.00916974910796882,-0.008494372451974022,0.39187028095265475,0.257365965628877,0.00998835305194038,0.011535277060884294,0.02197890671877534,0.02197890671877534,0.0074687923627791185,0.0067405166138428604,0.49291708278578406,0.06382978723404253,0.04255319148936169,0.04255319148936169,0.021276595744680844,0.021276595744680844,0.021276595744680844,0.021276595744680844,0.021276595744680844,0.021276595744680844,0.021276595744680844,0.21742021276595758,0.8723404255319149,0.7082066869300914
assessment,ASTS,74,24,1,7,3,71,1.0,0.32432432432432434,0.12162162162162163,0.9594594594594594,0.04054054054054055,0.0055557545700116,0.004737897869944945,0.013758159283959098,0.01492920674771554,-0.0082024047139475,-0.00856770999331311,-0.00843526277217463,0.42191190860823374,0.31697130414057767,0.01172110387549425,0.015604414177223804,0.018921050890806906,0.019117559934479056,0.008335298521009886,0.007259597516625095,0.5080599442215956,0.04054054054054055,0.02702702702702703,0.02702702702702703,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.0,0.013513513513513514,0.0,0.2353568953568952,0.9115726464719753,1.0
assessment,CIFR,31,14,1,7,5,26,1.0,0.3225806451612903,0.12903225806451613,0.8387096774193548,0.16129032258064513,0.006381739550191065,0.0059427031487443065,0.01189530682849508,0.011198753283866247,-0.005513567278304016,-0.0054124003645953924,-0.005697625729094377,0.5304755542559437,0.5021542076176919,0.013306255581036487,0.020163896586472902,0.020592493499661874,0.020592493499661874,0.009710414494879945,0.0078023823134337296,0.6387829712400112,0.16129032258064513,0.16129032258064513,0.06451612903225806,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.11775729646697375,0.7934697088906373,1.0
assessment,HIMS,4,3,1,2,1,3,1.0,0.5,0.5,0.75,0.25,0.0062942621061385816,0.0026728402559500724,0.008922604953912224,0.009027214380217153,-0.0026283428477736435,-0.006354374124267081,-0.0026283428477736435,0.6833834567129308,0.29441028241852646,0.01845517637640967,0.01845517637640967,0.01845517637640967,0.01845517637640967,0.008997474203785228,0.004007781362767179,0.7832418181639622,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.25,-0.0017241379310344307,-1.364130434782608,-6.7678571428571415
assessment,IONQ,33,15,1,5,0,33,1.0,0.45454545454545453,0.21212121212121213,1.0,0.0,0.0031825476900946615,0.003197315281411218,0.011362621596022107,0.011866577889958967,-0.008180073905927447,-0.007744707115744101,-0.008159772696483637,0.2885067717907739,0.2469234785368004,0.005877334305448653,0.008427645734721701,0.009001914587695886,0.009001914587695886,0.0057370074738848816,0.00537644598379166,0.41047871592368174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2752688172043011,1.0,1.0
assessment,IREN,20,13,1,6,1,19,1.0,0.5,0.15,0.95,0.05,0.005122985137396526,0.004616793891270285,0.010668461117869598,0.011369282666676639,-0.005545475980473073,-0.005819054181787378,-0.006187482693457826,0.511583506943883,0.4165500503715842,0.007606964571214229,0.014876700977480247,0.021870737857788525,0.021870737857788525,0.007778163735484626,0.006251007193602263,0.6098266924745751,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.19137931034482747,0.6009174311926606,-0.1153846153846152
assessment,MARA,32,15,1,6,4,28,1.0,0.3125,0.21875,0.875,0.125,0.0037820504861630043,0.0034357847854062642,0.007461553805776442,0.007243309463794574,-0.0036795033196134375,-0.004467491884670525,-0.00433199205860333,0.5543614227486018,0.41549889072249163,0.007537584958776014,0.010463803105870594,0.019605214720314967,0.019605214720314967,0.006111012510348184,0.004709714536031465,0.6927997987774146,0.125,0.09375,0.09375,0.0625,0.0625,0.0625,0.03125,0.03125,0.0625,0.03125,0.1766393442622951,0.608304794520548,0.5070043103448276
assessment,MP,12,4,1,2,0,12,1.0,0.9166666666666666,0.5,1.0,0.0,0.0019126544388785758,0.0015155175280891268,0.007957750363117013,0.008204139035438675,-0.006045095924238438,-0.006339425812595104,-0.006145351244919785,0.2400706256413179,0.18544869577210354,0.003745015308152809,0.0037893286404538156,0.003796714195837317,0.003796714195837317,0.0035150431107950583,0.00313208331285532,0.3573701355024313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2909090909090909,1.0,1.0
assessment,MRNA,20,7,1,4,2,18,1.0,0.6,0.3,0.9,0.1,0.0030824642432871053,0.0023178016920847727,0.007500286400781102,0.007839423014399109,-0.004417822157493996,-0.004981356198085833,-0.004939698592450636,0.43255404645666706,0.31583192516167974,0.006339872945829998,0.008471402879130669,0.010291987767140342,0.010291987767140342,0.004326530714849425,0.003936532466112506,0.4793637457714917,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.1482758620689656,1.0,1.0
