period,horizon,selector,deleted_symbol,sessions,cumulative_return,annualized_return,annualized_volatility,descriptive_sharpe_zero_rate,maximum_drawdown,mean_daily_return
2025,6,unfiltered,AAL,190,-0.20972445303127263,-0.2681500138956191,0.1453781140891515,-2.0736106538421497,-0.2460351765746137,-0.0011962603421061273
2025,6,unfiltered,AAOI,190,-0.21878222052730656,-0.27925445284903605,0.1432775246229232,-2.2127475700229597,-0.2626203997253399,-0.0012580833113026908
2025,6,unfiltered,APLD,190,-0.2269097437609715,-0.2891827658702659,0.13324960498789215,-2.4935558871507153,-0.2606061773524462,-0.0013185132419764516
2025,6,unfiltered,ASTS,190,-0.19472517552646795,-0.24967018527089646,0.14299940264059607,-1.9363559506700438,-0.23502388819668618,-0.0010988005724023007
2025,6,unfiltered,CIFR,190,-0.1391592587566205,-0.18023929054035925,0.13265143434373974,-1.4316147167733426,-0.1808544703546372,-0.0007535942286015501
2025,6,unfiltered,HIMS,190,-0.2035351727462561,-0.2605382687401895,0.14440138886097753,-2.0171068856809895,-0.24218357366235277,-0.0011558453800530788
2025,6,unfiltered,IONQ,190,-0.17762250171632432,-0.22846147499928138,0.1420380771512529,-1.75432429417844,-0.22788799831478868,-0.0009888128946223592
2025,6,unfiltered,IREN,190,-0.18218044274973755,-0.23412789348535135,0.133238401977542,-1.9345784198288847,-0.22691895158704445,-0.0010228576871358687
2025,6,unfiltered,MARA,190,-0.16940041279662588,-0.21821388387953222,0.14246681790705318,-1.6561560970724591,-0.21710965888958889,-0.0009362987662987219
2025,6,unfiltered,MP,190,-0.1981732056125758,-0.2539283481264514,0.14502316201979162,-1.9465632497682734,-0.24291106241863358,-0.0011202252283845889
2025,6,unfiltered,MRNA,190,-0.20116775531254527,-0.2576216389188548,0.14865343310480283,-1.9287987664455986,-0.24832025782836187,-0.0011377879301605039
2025,6,unfiltered,MSTR,190,-0.18079484064416174,-0.23240640458871598,0.14544802278318272,-1.7451132310135422,-0.22406421434135937,-0.0010072351943797274
2025,6,unfiltered,NVTS,190,-0.1891910278536879,-0.24282332113038263,0.14148534237633467,-1.894436187301435,-0.22774764082402987,-0.0010636307641684983
2025,6,unfiltered,QBTS,190,-0.19121432700594565,-0.2453283271075959,0.13789706678683475,-1.9714171046837183,-0.24252639557032596,-0.001078780302179679
2025,6,unfiltered,RGTI,190,-0.17817996526296354,-0.22915506331488278,0.14094705277995465,-1.7753859084709316,-0.22361758667939513,-0.0009929976640715877
2025,6,unfiltered,RIOT,190,-0.18384028602494606,-0.2361888502443661,0.14399896759760009,-1.7984598856301601,-0.23522386676018525,-0.001027683995223972
2025,6,unfiltered,RIVN,190,-0.21158051169558556,-0.270428863287138,0.14723584262982323,-2.0668131322326304,-0.25534221031656545,-0.001207575290010538
2025,6,unfiltered,SMCI,190,-0.1961830075301303,-0.25147127003122294,0.14578990848743495,-1.9129670330636503,-0.2459081401249077,-0.001106711463054879
2025,6,unfiltered,SOFI,190,-0.201480723364459,-0.25800737378831995,0.14268281340564845,-2.019154574088584,-0.23950024808209114,-0.0011432486322692182
2025,6,unfiltered,WULF,190,-0.18607534881757815,-0.2389618721383795,0.13703655221534106,-1.9234055440449427,-0.2274565916854342,-0.0010459399375706002
2025,6,loop_only,AAL,190,-0.09247989566651227,-0.12076678684182329,0.06049039117845214,-2.0970940529664963,-0.10927462219429296,-0.0005033890460394801
2025,6,loop_only,AAOI,190,-0.10003268521144759,-0.13045873156898835,0.05991678485749107,-2.302621623806229,-0.11791492719383678,-0.0005474828747690656
2025,6,loop_only,APLD,190,-0.11170459099599206,-0.14538425330518523,0.05728266872021766,-2.7132663596432036,-0.12516506733625898,-0.0006167584842426689
2025,6,loop_only,ASTS,190,-0.0780511315898671,-0.10217825682913773,0.0576823784666392,-1.8395195831660414,-0.09839502807819656,-0.0004210629555276903
2025,6,loop_only,CIFR,190,-0.09107262826463003,-0.11895802567877856,0.058775747829445786,-2.1250435120260303,-0.10863636857471504,-0.000495638974561277
2025,6,loop_only,HIMS,190,-0.08646945161057706,-0.11303518159030856,0.06052997125548013,-1.9511004135019137,-0.10468798976279114,-0.00046865099978502466
2025,6,loop_only,IONQ,190,-0.07671798305985322,-0.10045594740431874,0.05777251306762695,-1.8033748996201195,-0.09087765295903438,-0.000413434523627515
2025,6,loop_only,IREN,190,-0.07671447372497509,-0.10045141258402301,0.055820028472895404,-1.868363094370838,-0.09089238398026667,-0.0004138574647836791
2025,6,loop_only,MARA,190,-0.08641863607676348,-0.11296974348857403,0.05841234149097445,-2.0227308321854265,-0.10262576460599437,-0.0004688589052140399
2025,6,loop_only,MP,190,-0.09579713125286038,-0.12502680831432755,0.05795475744607307,-2.275183660442399,-0.11285863229553572,-0.000523244909469079
2025,6,loop_only,MRNA,190,-0.09068735355772817,-0.1184626725762975,0.06107398176689575,-2.0336486523398567,-0.10874825414931633,-0.0004928691298145894
2025,6,loop_only,MSTR,190,-0.09089823598085256,-0.11873381555585716,0.059398640652809385,-2.0978623597255575,-0.10910783776964816,-0.0004944848112872742
2025,6,loop_only,NVTS,190,-0.08378285568344879,-0.10957386908755273,0.05708172569305857,-2.0043099358256864,-0.10019517153405477,-0.0004540058331772763
