period,horizon,left_block,right_block,common_supported_cells,sign_agreement,positive_cell_retention,profitable_cell_jaccard,spearman_cell_mean
2025,6,0,1,11,0.45454545454545453,0.4,0.2222222222222222,-0.28181818181818186
2025,6,1,2,13,0.3076923076923077,0.4,0.18181818181818182,-0.5054945054945055
2025,6,2,3,11,0.2727272727272727,0.3333333333333333,0.16666666666666666,-0.23636363636363636
2025,6,3,4,11,0.36363636363636365,0.3333333333333333,0.2222222222222222,-0.20909090909090913
2025,6,4,5,11,0.36363636363636365,0.2,0.125,-0.19090909090909092
2025,6,5,6,11,0.45454545454545453,0.0,0.0,-0.27272727272727276
2025,6,6,7,11,0.2727272727272727,1.0,0.2,-0.13636363636363638
2025,6,7,8,10,0.6,0.5555555555555556,0.5,0.33333333333333326
2025,6,8,9,10,0.6,0.4,0.25,-0.2727272727272727
2025,6,9,10,11,0.8181818181818182,0.5,0.3333333333333333,0.29090909090909095
2025,6,10,11,13,0.38461538461538464,0.3333333333333333,0.1,-0.2802197802197803
2025,6,11,12,10,0.8,0.6666666666666666,0.5,0.7939393939393938
2025,12,0,1,10,0.6,0.8,0.5,0.4666666666666666
2025,12,1,2,12,0.6666666666666666,0.5714285714285714,0.4444444444444444,-0.0979020979020979
2025,12,2,3,11,0.5454545454545454,0.8,0.4,0.0
2025,12,3,4,10,0.3,0.25,0.2222222222222222,-0.006060606060606061
2025,12,4,5,8,0.625,0.5,0.2,0.04761904761904763
2025,12,5,6,8,0.375,0.0,0.0,0.04761904761904763
2025,12,6,7,9,0.5555555555555556,0.5,0.2,0.6333333333333333
2025,12,7,8,9,0.5555555555555556,0.75,0.375,-0.016666666666666666
2025,12,8,9,10,0.4,0.42857142857142855,0.3333333333333333,-0.09090909090909088
2025,12,9,10,10,0.3,0.4,0.2,-0.4424242424242424
2025,12,10,11,12,0.5833333333333334,0.5714285714285714,0.36363636363636365,-0.2447552447552448
2025,12,11,12,7,0.5714285714285714,0.6666666666666666,0.2,-0.42857142857142866
2025,24,0,1,10,0.5,0.6,0.375,0.5757575757575757
2025,24,1,2,10,0.5,0.6666666666666666,0.36363636363636365,0.12727272727272726
2025,24,2,3,10,0.5,0.7142857142857143,0.4166666666666667,0.12727272727272726
2025,24,3,4,10,0.4,0.25,0.25,0.22424242424242422
2025,24,4,5,9,0.2222222222222222,0.0,0.0,-0.33333333333333337
2025,24,5,6,8,0.375,0.2,0.14285714285714285,0.4523809523809524
2025,24,6,7,8,0.5,0.5,0.2,0.07142857142857144
2025,24,7,8,8,0.625,0.5,0.3333333333333333,0.5714285714285715
2025,24,8,9,9,0.5555555555555556,0.5,0.25,-0.016666666666666666
2025,24,9,10,11,0.5454545454545454,0.6666666666666666,0.4444444444444444,-0.22727272727272727
2025,24,10,11,11,0.5454545454545454,0.42857142857142855,0.3333333333333333,0.2545454545454546
2025,24,11,12,6,0.3333333333333333,0.6666666666666666,0.25,-0.6
2023,6,0,1,11,0.6363636363636364,0.0,0.0,0.02727272727272728
2023,6,1,2,11,0.6363636363636364,0.0,0.0,-0.3181818181818182
2023,6,2,3,11,0.45454545454545453,1.0,0.25,-0.21818181818181823
2023,6,3,4,11,0.45454545454545453,0.375,0.3,-0.4272727272727273
2023,6,4,5,10,0.5,0.5,0.25,-0.05454545454545454
2023,6,5,6,10,0.9,1.0,0.8333333333333334,0.38181818181818183
2023,6,6,7,10,0.7,0.8333333333333334,0.625,0.13939393939393938
2023,6,7,8,11,0.6363636363636364,0.42857142857142855,0.42857142857142855,0.5090909090909091
2023,6,8,9,12,0.5,0.3333333333333333,0.14285714285714285,0.1398601398601399
2023,6,9,10,12,0.9166666666666666,1.0,0.8333333333333334,0.8321678321678322
2023,6,10,11,11,0.45454545454545453,0.5,0.3333333333333333,-0.05454545454545456
2023,6,11,12,10,0.5,0.6,0.3333333333333333,0.07878787878787878
2023,12,0,1,11,0.6363636363636364,0.25,0.2,0.3272727272727273
2023,12,1,2,11,0.9090909090909091,1.0,0.6666666666666666,0.3272727272727273
2023,12,2,3,10,0.7,1.0,0.3333333333333333,0.6363636363636362
2023,12,3,4,10,0.5,0.4,0.2857142857142857,-0.22424242424242422
2023,12,4,5,10,0.8,0.75,0.6,0.5393939393939393
2023,12,5,6,10,0.5,0.25,0.16666666666666666,0.23636363636363633
2023,12,6,7,10,0.4,0.6666666666666666,0.25,-0.09090909090909088
2023,12,7,8,10,0.7,0.5714285714285714,0.5,0.2606060606060606
2023,12,8,9,11,0.36363636363636365,0.2,0.125,-0.36363636363636365
2023,12,9,10,10,0.7,0.5,0.4,0.6727272727272726
2023,12,10,11,10,0.4,0.3333333333333333,0.14285714285714285,-0.29696969696969694
2023,12,11,12,10,0.6,0.4,0.3333333333333333,0.28484848484848485
2023,24,0,1,10,0.6,0.6,0.42857142857142855,0.32121212121212117
2023,24,1,2,10,0.5,0.4,0.2857142857142857,-0.3939393939393939
2023,24,2,3,10,0.6,0.75,0.42857142857142855,-0.11515151515151514
2023,24,3,4,10,0.5,0.5,0.375,0.0303030303030303
2023,24,4,5,10,0.6,0.4,0.3333333333333333,0.5515151515151515
2023,24,5,6,10,0.5,0.3333333333333333,0.16666666666666666,-0.16363636363636364
2023,24,6,7,10,0.2,0.25,0.1111111111111111,-0.9515151515151514
2023,24,7,8,10,0.5,0.5,0.375,0.5393939393939393
2023,24,8,9,10,0.6,0.75,0.375,0.01818181818181818
2023,24,9,10,9,0.4444444444444444,0.3333333333333333,0.2857142857142857,0.0
2023,24,10,11,10,0.7,0.3333333333333333,0.25,-0.05454545454545454
2023,24,11,12,9,0.5555555555555556,0.5,0.2,0.19999999999999998
