period,horizon,comparison,candidate,baseline,sessions,mean_daily_difference,ci_lower,ci_upper,p_one_sided,holm_adjusted_p,passes_holm_0_05
2025,6,absolute,loop_current_regime,zero,190,-0.0005641415148214875,-0.0012252055253361466,4.506642468018964e-05,0.9656068786242752,1.0,False
2025,6,versus_unfiltered,loop_current_regime,unfiltered,190,0.0005189026264771597,-0.00042678902830171986,0.001548986743189363,0.13257348530293941,1.0,False
2025,6,versus_loop_only,loop_current_regime,loop_only,190,-7.923575890259579e-05,-0.00042584503870300906,0.00027794763191912793,0.6796640671865627,1.0,False
2025,12,absolute,loop_current_regime,zero,190,-0.0005556113751183717,-0.0016446961314487126,0.0005254698061160991,0.8510297940411917,1.0,False
2025,12,versus_unfiltered,loop_current_regime,unfiltered,190,-0.000494197597762631,-0.0016128508684307595,0.0006880657803389221,0.7528494301139772,1.0,False
2025,12,versus_loop_only,loop_current_regime,loop_only,190,-0.0005510442063151906,-0.0010608671411440288,-6.6538730408742e-05,0.9878024395120976,1.0,False
2025,24,absolute,loop_current_regime,zero,190,-1.0565648834230668e-05,-0.0009678893120762233,0.0008461916001564625,0.5268946210757849,1.0,False
2025,24,versus_unfiltered,loop_current_regime,unfiltered,190,0.00033354032507830375,-0.001063873454102155,0.001651597651880318,0.3313337332533493,1.0,False
2025,24,versus_loop_only,loop_current_regime,loop_only,190,0.00019517215917748683,-0.0004938141694822627,0.0007901635757318985,0.3225354929014197,1.0,False
2023,6,absolute,loop_current_regime,zero,190,-0.0001087635661771349,-0.0009295218579326407,0.0006482210947185196,0.6484703059388123,1.0,False
2023,6,versus_unfiltered,loop_current_regime,unfiltered,190,5.8170895352341395e-05,-0.0008736651175095349,0.0009446788374941515,0.45250949810037994,1.0,False
2023,6,versus_loop_only,loop_current_regime,loop_only,190,7.685749897931362e-05,-0.0004982194323213036,0.0005504510138786725,0.45810837832433515,1.0,False
2023,12,absolute,loop_current_regime,zero,190,-0.0005529162581319333,-0.001369730595632272,0.0003557396691184377,0.8800239952009599,1.0,False
2023,12,versus_unfiltered,loop_current_regime,unfiltered,190,-0.00023569981092342874,-0.00124930584032224,0.0008795506092152142,0.633873225354929,1.0,False
2023,12,versus_loop_only,loop_current_regime,loop_only,190,-0.00016910967025538697,-0.000790875857110698,0.0005281119655958023,0.6854629074185163,1.0,False
2023,24,absolute,loop_current_regime,zero,190,6.377125972235091e-05,-0.0011217033452030703,0.001228340872689389,0.483503299340132,1.0,False
2023,24,versus_unfiltered,loop_current_regime,unfiltered,190,0.0001167793220217169,-0.0010914761708441347,0.0013518823342652797,0.41011797640471903,1.0,False
2023,24,versus_loop_only,loop_current_regime,loop_only,190,0.00054889374876789,-0.00029678894690728954,0.0013775254498061577,0.11257748450309939,1.0,False
